3-D '/T/r/i/d/i/
A /eI/
a /eI/
a' /A/
a-be /eI/_b/i/
A-Bomb '/eI/,b/A/m
a-c /eI/_s/i/
a-sea /eI/_s/i/
a-tiptoe /eI/_'t/I/p,t/oU/
aa '/A//A/
Aachen '/A/k/@/n
Aalborg '/O/lb/O/rg
Aalesund '/O/l/@/,s/U/n
aalii /A/'l/i//i/
Aalst /A/lst
Aalto '/A/lt/O/
Aandahl '/A/nd/A/l
Aaqbiye /A/k'b/i//j//E/
Aar /A/r
Aarau '/A/r/AU/
aardvark '/A/rd,v/A/rk
aardwolf '/A/rd,w/U/lf
Aargau '/A/rg/AU/
Aaron '/(@)/r/@/n
Aaron's-beard '/(@)/r/@/nz,b/i/rd
Aaronic /(@)/'r/A/n/I/k
Aaronical /(@)/'r/A/n/I/k/@/l
Aaronite '/(@)/r/@/,n/aI/t
Aaronitic ,/(@)/r,/@/n/I/t/I/k
Aase '/A/s/i/
Ab /&/b
aba /@/'b/A/
abac '/eI/b/&/k
abaca ,/A/b/A/'k/A/
abaci '/&/b/@/,s/aI/
abaciscus ,/&/b/@/'s/I/sk/@/s
abacist '/&/b/@/s/I/st
aback /@/'b/&/k
Abaco '/&/b/@/,k/oU/
abaculus /@/'b/&/k/j//@/l/@/s
abacus '/&/b/@/k/@/s
abacus_major '/&/b/@/k/@/s_'m/eI//dZ//@/r
Abadan /A/b/@/'d/A/n
Abaddon /@/'b/&/d/-/n
abaft /@/'b/&/ft
Abagtha /@/'b/&/g/T//@/
Abailard Ab/eI/'lAR
abaised /@/'b/eI/st
Abakumov /A/b/A/'k/u/m/O/f
abalone ,/&/b/@/'l/oU/n/i/
abalone_shell ,/&/b/@/'l/oU/n/i/_/S//E/l
abamp '/&/b,/&/mp
abampere /&/b'/&/mp/i/r
abandon /@/'b/&/nd/@/n
abandoned /@/'b/&/nd/@/nd
abandonedly /@/'b/&/nd/@/ndl/i/
abandoned_person /@/'b/&/nd/@/nd_'p/[@]/rs/@/n
abandoned_thing /@/'b/&/nd/@/nd_/T//I//N/
abandonee /@/,b/&/nd/@/'n/i/
abandon_hope /@/'b/&/nd/@/n_h/oU/p
Abantes /@/'b/&/nt/i/z
abaptiston ,/&/b/&/p't/I/st/@/n
Abarbarea /@/b/A/r'b/&/r/i//@/
Abaris '/&/b/@/r/I/s
Abas '/A/b/@/s
abase /@/'b/eI/s
abased /@/'b/eI/st
abase_yourself /@/'b/eI/s_/j//U/r's/E/lf
abash /@/'b/&//S/
abashedly /@/'b/&//S//I/dl/i/
abasia /@/'b/eI//Z//@/
abask /@/'b/A/sk
Abassieh /A/b/A/'s/i//E/
abatage /A/b/@/'t/A//Z/
abate /@/'b/eI/t
abatement /@/'b/eI/tm/@/nt
abatic /@/'b/&/t/I/k
abatis '/&/b/@/,t/i/
abatises '/&/b/@/,t/I/s/I/z
abatjour AbA'/Z//u/R
abattage '/A/b/@/'t/&//Z/
abattoir ,/&/b/@/'tw/A/r
abaxial /&/b'/&/ks/i//@/l
abb /&/b
Abba '/&/b/@/
abba /@/'b/A/
abbacy '/&/b/@/s/i/
Abbai /A/'b/aI/
Abbasid '/&/b/@/s/I/d
Abbasside '/&/b/@/,s/aI/d
abbatial /@/'b/eI//S//@/l
Abba_Eban '/A/b/A/_'/i/b/A/n
Abbe '/&/b/i/
abbe /&/'b/eI/
abbes /&/'b/eI/z
abbess '/&/b/I/s
Abbeville '/&/b/i/v/I/l
Abbevillian /&/b'v/I/l/i//@/n
abbey '/&/b/i/
Abbey '/&/b/i/
abbeystead '/&/b/i/,st/E/d
abbey_counter '/&/b/i/_'k/AU/nt/@/r
abbey_laird '/&/b/i/_l/(@)/rd
abbey_lubber '/&/b/i/_'l/@/b/@/r
Abbe_condenser '/&/b/i/_k/@/n'd/E/ns/@/r
Abbie '/&/b/i/
Abbot '/&/b/@/t
abbot '/&/b/@/t
Abbotsford '/&/b/@/tsf/A/rd
Abbott '/&/b/@/t
Abboud /A/'b/u/d
abbreviate /@/'br/i/v/i/,/eI/t
abbreviated /@/'br/i/v/i/,/eI/t/I/d
abbreviation /@/,br/i/v/i/'/eI//S//@/n
Abby /&/b/i/
abb_wool /&/b_w/U/l
abcoulomb /&/b'k/u/l/A/m
Abd-al-Kadir ,/A/bd/&/l_'k/A/d/i/r
Abd-al-Rahman /A/bd/A/l'R/A/m/A/n
Abd-el-Kadir ,/A/bd/E/l_'k/A/d/i/r
Abd-el_Krim ,/A/bd/E/l_'kr/i/m
Abddullah_al_Salim_al_Saba /A/b'd/@/l/@/_/&/l_s/A/'l/i/m_/&/l_s/A/'b/A/
Abdelhadi_Boutaleb '/&/bd/@/lh/&/d/i/_b/u/t'/A/l/@/b
Abdelkarim_Gheraieb /A/bd/E/l'kr/i/m_g/A/'r/aI//A/b
Abdel_Hakim_Amer '/A/bd/@/l_h/A/'k/i/m_'/A/m/i/r
Abdel_Rahman_Hakki '/A/bd/@/l_'r/A/m/A/n_'h/A/k/i/
Abdel_Rahman_Iriani '/A/bd/@/l_'r/A/m/A/n_/j/r'/j//A/n/i/
Abdel_Salam_Aref '/A/bd/@/l_s/A/'l/A/m_'/A/r/@/f
Abdenour '/&/bd/E/n/oU/r
Abderhalden '/A/pd/@/R,h/A/ld/-/n
Abderus /&/b'd/i/r/@/s
Abdias /&/b'd/aI//@/s
abdicant '/&/bd/@/k/@/nt
abdicate '/&/bd/@/,k/eI/t
abdication ,/&/bd/@/'k/eI//S//@/n
abdicative '/&/bd/@/,k/eI/t/I/v
abdomen '/&/bd/@/m/@/n
abdominal /&/b'd/A/m/@/n/-/l
abdominally /&/b'd/A/m/I/n/@/l/i/
abdominal_epilepsy /&/b'd/A/m/@/n/-/l_'/E/p/@/,l/E/ps/i/
abdominal_hernia /&/b'd/A/m/@/n/-/l_'h/[@]/rn/i//@/
abdominous /&/b'd/A/m/@/n/@/s
Abdon '/&/bd/A/n
Abdou_Diouf /A/bd/u/_d/i/'/u/f
abduce /&/b'd/u/s
abducens /&/b'd/u/s/E/nz
abducens_nerve /&/b'd/u/s/E/nz_n/[@]/rv
abducent /&/b'd/u/s/@/nt
abducentes ,/&/bd/U/'s/E/nt/i/z
abducent_nerve /&/b'd/u/s/@/nt_n/[@]/rv
abduct /&/b'd/@/kt
abduction /&/b'd/@/k/S//@/n
abductor /&/b'd/@/kt/@/r
Abdul-Aziz /A/b'd/U/l/A/'z/i/z
Abdul-Hamid ,/A/bd/U/lh/A/'m/i/d
Abdul-Mejid ,/A/bd/U/lm/E/'/dZ//i/d
Abdullah_Al-Sallal /&/b'd/@/l/A/_/&/ls/A/'l/A/l
Abdul_Jaffar_Khan '/A/bd/u/l_'/dZ//A/f/A/r_k/A/n
Abdul_Khaalis '/A/bd/u/l_'kh/A/l/i/s
Abdul_Rahman_Hourieh '/&/bhd/u/l_r/A/'m/A/n_h/u/'r/i//j//E/
Abe /eI/b
abeam /@/'b/i/m
Abebe_Mekonnen '/@/b/eI/b/eI/_'m/E/k/oU/n/E/n
abecedarian ,/eI/b/i/s/i/'d/(@)/r/i//@/n
abecedarium ,/eI/b/i/s/i/'d/(@)/r/i//@/m
abecedary ,/eI/b/i/'s/i/d/@/r/i/
abed /@/'b/E/d
Abednego '/@/b/E/dn/@/,g/oU/
Abeid_Karume /A/'b/eI/d_k/A/'r/u/m/eI/
Abel '/eI/b/@/l
Abel-meholah ,/eI/b/@/lm/I/'h/oU/l/@/
Abelard '/&/b/@/,l/A/rd
abele /@/'b/i/l
Abelian /@/'b/i/l/i//@/n
abelmosk '/eI/b/@/l,m/A/sk
Abenezra ,/A/b/@/'n/E/zr/@/
Abeokuta '/A/b/eI/'/oU/k/U/t/A/
Abercrombie '/&/b/@/r,kr/A/mb/i/
Aberdare '/&/b/@/r,d/(@)/r
Aberdeen '/&/b/@/r,d/i/n
Aberdeenshire ,/&/b/@/r'd/i/n/S//i/r
Aberdeen_Angus ,/&/b/@/d/i/n_'/&//N//@/s
Aberdeen_terrier '/&/b/@/r,d/i/n_'t/E/r/i//@/r
Aberdonian ,/&/b/@/r'd/oU/n/i//@/n
Aberfan '/&/b/[@]/rv/&/n
Aberglaube '/A/b/@/R,gl/AU/b/@/
aberrant /@/'b/E/r/@/nt
aberrant_duct /@/'b/E/r/@/nt_d/@/kt
aberration ,/&/b/@/'r/eI//S//@/n
aberration_constant ,/&/b/@/'r/eI//S//@/n_'k/A/nst/@/nt
Aberystwyth /&/b/[@]/r'/I/sstw/I//T/
abesse /A/b'/E/ss/E/
abessive /&/'b/E/s/I/v
abet /@/'b/E/t
abetter /@/'b/E/t/@/r
abettor /@/'b/E/t/@/r
abeyance /@/'b/eI//@/ns
abeyant /@/'b/eI//@/nt
abfarad /&/b'f/&/r/&/d
Abgatha '/&/bg/@//T//@/
abhenry /&/b'h/E/nr/i/
abhominable /&/b'h/A/m/@/n/@/b/@/l
abhor /&/b'h/O/r
abhorrence /&/b'h/O/r/@/ns
abhorrent /&/b'h/O/r/@/nt
abhorrently /&/b'h/O/r/@/ntl/i/
Abia '/&/b/i//@/
Abiathar /@/'b/aI//@//T//@/r
Abib '/eI/b/I/b
abidance /@/'b/aI/d/-/ns
abide /@/'b/aI/d
abide_with /@/'b/aI/d_w/I//T/
abiding /@/'b/aI/d/I//N/
abidingly /@/'b/aI/d/I//N/l/i/
abidingness /@/'b/aI/d/I//N/n/E/s
abiding_place /@/'b/aI/d/I//N/_pl/eI/s
Abidjan /A/b/i/'/dZ//A/n
Abie '/eI/b/i/
abient '/&/b/i//@/nt
abietate '/&/b/i//I/,t/eI/t
Abigail '/&/b/@/,g/eI/l
abigail '/&/b/@/,g/eI/l
Abihu /@/'b/aI/h/j//u/
Abilene '/&/b/@/,l/i/n
ability /@/'b/I/l/I/t/i/
Abilyne '/&/b/@/l/I/n
Abimelech /@/'b/I/m/@/,l/E/k
Abineri '/A/b/@/'n/(@)/r/i/
Abingdon '/&/b/I//N/d/@/n
Abinger '/&/b/@/n/dZ//@/r
Abington '/&/b/I//N/t/@/n
Abinoam /@/'b/I/n/oU//@/m
Abinoem /@/'b/I/n/oU/,/E/m
abiogenesis ,/eI/b/aI//oU/'/dZ//E/n/I/s/I/s
abiogenetic ,/eI/b/aI//oU//dZ//@/,n/E/t/I/k
abiogenist ,/eI/'b/aI//A//dZ//@/n/I/st
abiosis ,/eI/b/aI/'/oU/s/I/s
abiotic ,/eI/b/aI/'/A/t/I/k
abiotrophic '/&/b/i//@/'tr/A/f/I/k
abiotrophy ,/&/b/i/'/A/tr/@/f/i/
abirritant /&/b'/I/r/I/t/-/nt
abirritate /&/b'/I/r/I/,t/eI/t
Abisag '/&/b/I/,s/&/g
Abishag '/&/b/@/,/S//&/g
Abiu /@/'b/aI//j//u/
abject '/&/b/dZ//E/kt
abjection /@/b'/dZ//E/k/S//@/n
abjective /&/b'/dZ//E/kt/I/v
abjectly /&/b'/dZ//E/ktl/i/
abject_apology '/&/b/dZ//E/kt_/@/'p/A/l/@//dZ//i/
abject_defeat '/&/b/dZ//E/kt_d/I/'f/i/t
abject_fear '/&/b/dZ//E/kt_f/i/r
abjunction /&/b'/dZ//@//N/k/S//@/n
abjuration ,/&/b/dZ//U/'r/eI//S//@/n
abjure /&/b'/dZ//U/r
Abkhazia /A/b'/x//A/s/i/,/A/
Abkhazian /&/b'k/&/z/i//@/n
ablactate /&/b'l/&/kt/eI/t
ablate /&/'bl/eI/t
ablation /&/b'l/eI//S//@/n
ablatival ,/&/bl/@/'t/aI/v/@/l
ablative /&/b'l/eI/t/I/v
ablative_absolute /&/b'l/eI/t/I/v_'/&/bs/@/,l/u/t
ablaut '/A/bl/AU/t
ablaze /@/'bl/eI/z
able '/eI/b/@/l
able-bodied '/eI/b/@/l'b/A/d/i/d
ablegate '/&/bl/@/,g/eI/t
ablepharous /eI/'bl/E/f/@/r/@/s
ablepsia /@/'bl/E/ps/i//@/
ableptical /@/'bl/E/pt/I/k/@/l
ablins '/eI/bl/I/nz
ablock /@/'bl/A/k
abloom /@/'bl/u/m
abluent '/&/bl/u//@/nt
ablush /@/'bl/@//S/
ablution /&/b'l/u//S//@/n
ablution_room /&/b'l/u//S//@/n_r/u/m
ably '/eI/bl/i/
abmho '/&/bm/oU/
abmodality ,/&/bm/oU/'d/&/l/I/t/i/
Abnaki /&/b'n/A/k/i/
abnegate '/&/bn/@/,g/eI/t
abnegation ,/&/bn/I/'g/eI//S//@/n
Abner '/&/bn/@/r
abnormal /&/b'n/O/rm/@/l
abnormalcy /&/b'n/O/rm/@/ls/i/
abnormalise /&/b'n/O/rm/@/,l/aI/z
abnormality ,/&/bn/O/r'm/&/l/I/t/i/
abnormalize /&/b'n/O/rm/@/,l/aI/z
abnormally /&/b'n/O/rm/@/ll/i/
abnormal_psychology /&/b'n/O/rm/@/l_s/aI/'k/A/l/@//dZ//i/
abnormity /&/b'n/O/rm/I/t/i/
abo '/&/b/oU/
Abo '/O/b/u/
aboard /@/'b/oU/rd
aboardage /@/'b/oU/rd/I//dZ/
abode /@/'b/oU/d
abohm /&/b'/oU/m
Abolhassan_Bani-Sadr /A/b/U/l'h/A/s/A/n_'b/A/n/i/_'s/A/d/[@]/r
abolish /@/'b/A/l/I//S/
abolition ,/&/b/@/'l/I//S//@/n
abolitionise ,/&/b/@/'l/I//S//@/,n/aI/z
abolitionism ,/&/b/@/'l/I//S//@/,n/I/z/@/m
abolitionist ,/&/b/@/'l/I//S//@/n/I/st
abolitionize ,/&/b/@/'l/I//S//@/,n/aI/z
abolla /@/'b/A/l/@/
abollae /@/'b/A/l/i/
abomasum ,/&/b/@/'m/eI/s/@/m
abomasus ,/&/b/@/'m/eI/s/@/s
abominable /@/'b/A/m/@/n/@/b/@/l
abominableness /@/'b/A/m/@/n/@/b/@/ln/E/s
abominate /@/'b/A/m/@/,n/eI/t
abomination /@/,b/A/m/@/'n/eI//S//@/n
aboon /@/'b/u/n
aborad /&/b'/oU/r/&/d
aboral /&/b'/oU/r/@/l
aboriginal ,/&/b/@/'r/I//dZ//@/n/-/l
aboriginally ,/&/b/@/'r/I//dZ//@/n/-/ll/i/
aborigine ,/&/b/@/'r/I//dZ//@/n/i/
aborning /@/'b/O/rn/I//N/
abort /@/'b/O/rt
aborticide /@/'b/O/rt/I/,s/aI/d
abortifacient /@/,b/O/rt/@/'f/eI//S//@/nt
abortion /@/'b/O/r/S//@/n
abortionist /@/'b/O/r/S//@/n/I/st
abortive /@/'b/O/rt/I/v
abortively /@/'b/O/rt/I/vl/i/
abortive_attempt /@/'b/O/rt/I/v_/@/'t/E/mpt
abortus /@/'b/O/rt/@/s
aboudikro ,/A/b/u/'d/i/kr/oU/
abought /@/'b/O/t
Aboukir /A/b/u/'k/i/r
aboulia /@/'b/u/l/i//@/
abound /@/'b/AU/nd
abound_with /@/'b/AU/nd_w/I//T/
Abourezk '/A/b/u/r/E/sk
about /@/'b/AU/t
about-face /@/'b/AU/t_f/eI/s
about-face/n /@/'b/AU/t,f/eI/s
about-face/v /@/,b/AU/t'f/eI/s
about-facing /@/'b/AU/t_'f/eI/s/I//N/
about-ship /@/'b/AU/t_/S//I/p
about-sledge /@/'b/AU/t_sl/E//dZ/
about-turn /@/'b/AU/t_t/[@]/rn
about_face /@/'b/AU/t_f/eI/s
about_ship /@/'b/AU/t_/S//I/p
about_turn /@/'b/AU/t_t/[@]/rn
above /@/'b/@/v
above-found /@/'b/@/v_f/AU/nd
above-given /@/'b/@/v_'g/I/v/@/n
above-said /@/'b/@/v_'s/A//I/d
above-water /@/'b/@/v_'w/O/t/@/r
above-written /@/'b/@/v_'r/I/t/-/n
aboveboard /@/'b/@/v,b/oU/rd
aboveground /@/'b/@/v,gr/AU/nd
above_all /@/'b/@/v_/O/l
above_suspicion /@/'b/@/v_s/@/'sp/I//S//@/n
above_water /@/'b/@/v_'w/O/t/@/r
abox /@/'b/A/ks
Abplanalp '/&/bpl/A/n/&/lp
Abqaiq /A/b'k/aI/k
abracadabra ,/&/br/@/k/@/'d/&/br/@/
abradant /@/'br/eI/d/-/nt
abrade /@/'br/eI/d
Abraham '/eI/br/@/,h/&/m
Abraham-man '/eI/br/@/,h/&/m_m/A/n
Abram '/eI/br/@/m
Abramowitz /A/'br/A/m/oU/w/I/ts
abranchial /eI/'br/&//N/k/i//@/l
abranchiate /eI/'br/&//N/k/i//I/t
abraser /@/'br/eI/s/@/r
abrasion /@/'br/eI//Z//@/n
abrasive /@/'br/eI/s/I/v
abraxas /@/'br/&/ks/@/s
abraxas_stone /@/'br/&/ks/@/s_st/oU/n
abrazo /A/'bR/A//T//O/
abreact ,/&/br/i/'/&/kt
abreaction ,/&/br/i/'/&/k/S//@/n
