name,sex,meaning,origin
A'ishah,F,Lively,Arabic
Aakarshan,M,Attraction,Indian
Aaliyah,F,High exalted,Arabic
Aaliyah,F,To ascend,Hebrew
Aaron,M,Appeared in Titus Andronicus,Shakespearian
Aaron,M,"Revered, Sharer",Hebrew
Aaron,M,"Shining light, High mountain, Messenger",Arabic
Aarone,M,"Revered, Sharer",Hebrew
Aayesha,F,The prophet Muhammad's wife,Arabic
Ab,M,Allah's Servant,Arabic
Aba,M,Bright,Spanish
Aba,M,Father,Hungarian
Aba,F,Born on Thursday,African
Abacas,M,"Device for doing calculations, Clever",English
Abacus,M,"Device for doing calculations, Clever",English
Abagail,F,A father's joy,Hebrew
Abagail,F,Head of a monastery,Latin
Abaigael,F,Bringer of joy,Hebrew
Abaigeal,F,Bringer of joy,Hebrew
Abakus,M,"Device for doing calculations, Clever",English
Abarrane,F,Father of many,Hebrew
Abba,M,"Device for doing calculations, Clever",English
Abba,M,Father,Arabic
Abba,M,Father,Hebrew
Abba,F,Born on Thursday,African
Abbas,M,Harsh,Arabic
Abbe,M,Father,Arabic
Abbe,M,Father,Hebrew
Abbe,F,A father's joy,Hebrew
Abbe,F,Head of a monastery,Latin
Abbey,M,A father's joy,Hebrew
Abbey,M,Firm,German
Abbey,F,Bringer of joy,Hebrew
Abbey,F,Head of a monastery,Latin
Abbiah,M,The Lord is my father,Hebrew
Abbie,F,Bringer of joy,Hebrew
Abbie,F,Head of a monastery,Latin
Abbitt,M,"Father, Leader",Hebrew
Abbondanzio,M,Plentiful,Latin
Abbondazio,M,Plentiful,Latin
Abbondio,M,Plentiful,Latin
Abbot,M,Father,Arabic
Abbot,M,Father,Hebrew
Abbott,M,Father,Arabic
Abbott,M,Father,Hebrew
Abby,M,Firm,German
Abby,M,Spiritual,Hebrew
Abby,F,Bringer of joy,Hebrew
Abby,F,Head of a monastery,Latin
Abdallah,M,Allah's Servant,Arabic
Abdel,M,Allah's Servant,Arabic
Abdia,M,Servant of God,Hebrew
Abdiel,M,Servant of God,Hebrew
Abdieso,M,Servant of God,Persian
Abdon,M,Allah's Servant,Arabic
Abdone,M,Allah's Servant,Arabic
Abdul,M,Allah's Servant,Arabic
Abdul-Jabbar,M,Comforting,Arabic
Abdulah,M,Allah's Servant,Arabic
Abdulla,M,Allah's Servant,Arabic
Abdullah,M,Allah's Servant,Arabic
Abe,M,Firm,German
Abe,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abeba,F,Flower,African
Abebi,F,We asked and got her,African
Abedabun,F,Sight of day (Chippewa),Native American
Abeer,M,Strong,Hebrew
Abegayle,F,Bringer of joy,Hebrew
Abejundio,M,Relating to the abaje (bee),Spanish
Abel,M,"Breath, Child",Arabic
Abel,M,Firm,German
Abel,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abel,M,"Son of Adam and Eve, Naïve",Spanish
Abelard,M,"Resolute, Keeper of the abbey larder",English
Abelard,M,"Resolute, Keeper of the abbey larder",German
Abelardo,M,"Resolute, Keeper of the abbey larder",English
Abelardo,M,"Resolute, Keeper of the abbey larder",German
Abele,M,"Breath, Child",Arabic
Abele,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abelerd,M,Firm,German
Abelino,M,"Son of Adam and Eve, Naïve",Spanish
Abell,M,"Breath, Child",Arabic
Abell,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abella,F,Breath,French
Abella,F,Child,Arabic
Abena,F,Females born on Tuesday,African
Abequa,F,Stays at home (Chippewa),Native American
Abeque,F,Stays at home (Chippewa),Native American
Abey,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abey,F,Leaf,Native American
Abha,F,Lustrous beauty,Indian
Abhay,M,"Son of Dharma, Fearless",Indian
Abhaya,F,Fearless,Indian
Abhijat,M,"Noble, Wise",Indian
Abhijit,M,One who is victorious (Abhijeet),Indian
Abhilasha,F,Desire,Indian
Abhinav,M,Quite new,Indian
Abhishek,M,"Shower of milk, Water over an idol",Indian
Abhorson,M,Appeared in Measure for Measure,Shakespearian
Abhy,F,Bringer of joy,Hebrew
Abia,M,The Lord is my father,Hebrew
Abia,F,Great,Arabic
Abiageal,F,Bringer of joy,Irish
Abiam,M,The Lord is my father,Hebrew
Abichail,F,Bringer of joy,Hebrew
Abie,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abigail,F,A father's joy,Hebrew
Abigail,F,Head of a monastery,Latin
Abigale,F,A father's joy,Hebrew
Abigale,F,Head of a monastery,Latin
Abigayle,F,A father's joy,Hebrew
Abigayle,F,Head of a monastery,Latin
Abihail,F,A father's joy,Hebrew
Abihail,F,Head of a monastery,Latin
Abijah,M,The Lord is my father,Hebrew
Abilio,F,A father's joy,Hebrew
Abilio,F,Head of a monastery,Latin
Abina,F,Born on Tuesday,African
Abiona,F,Born on a journey,African
Abir,M,Strong,Hebrew
Abir,F,Fragrant,Arabic
Abira,F,Strong,Hebrew
Able,M,"Breath, Child",Arabic
Able,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Able,M,"Son of Adam and Eve, Naïve",Spanish
Abner,M,Cheerful leader,Hebrew
Abnir,M,Cheerful leader,Hebrew
Abnor,M,Cheerful leader,Hebrew
Abod,M,Father,Hungarian
Abony,M,Father,Hungarian
Abos,M,Father,Hungarian
Abott,M,"Father, Leader",Hebrew
Abotte,M,"Father, Leader",Hebrew
Abra,M,Father of many,Hebrew
Abra,F,Lesson,Arabic
Abra,F,Mother of many,Hebrew
Abraham,M,Appeared in Romeo & Juliet,Shakespearian
Abraham,M,Father of many,Hebrew
Abrahim,M,Father of many,Hebrew
Abrahm,M,Father of many,Hebrew
Abram,M,Father of many,Hebrew
Abramio,M,Father of many,Hebrew
Abramo,M,Father of many,Hebrew
Abran,M,Father of many,Hebrew
Abrasha,M,Father,Hebrew
Abraxas,M,Bright,Spanish
Abrihet,F,"She has made it light, She emanates light",African
Abril,F,"The month April, Spring",Spanish
Abs,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Absa,M,Father,Arabic
Absa,M,Father,Hebrew
Absalom,M,"Peaceful, Handsom, Vital, Father of Many",Hebrew
Abul,M,Allah's Servant,Arabic
Abun,M,Abundant living,Spanish
Abund,M,Abundant living,Spanish
Abundiantus,M,Plentiful,Latin
Abundio,M,Abundant living,Spanish
Acacia,F,Honorable,Spanish
Acacia,F,Thorny,African
Acacia,F,"Thorny, Naive",Greek
Acacio,M,The Lord holds,Hebrew
Acanit,F,Hard times,African
Acantha,F,Thorny,Greek
Acario,M,Ungrateful,Latin
Acatia,F,"Thorny, Naive",Greek
Acazia,F,"Thorny, Naive",Greek
Acca,F,From Acca,Anglo-Saxon
Accalia,F,Foster mother of Romulus and Remus,Latin
Accorso,M,To hasten,Latin
Accursio,M,To hasten,Latin
Accursius,M,To hasten,Latin
Ace,M,"One, Unity",Latin
Acelin,F,Noble,Teutonic
Aceline,F,Noble,French
Acey,M,"One, Unity",Latin
Achal,F,"Steady, Mountainous",Indian
Achala,F,"Steady, Mountain",Indian
Achan,F,Female child in the first pair of twins,African
Acharius,M,Ungrateful,Latin
Achazia,F,The Lord holds,Hebrew
Achazio,M,The Lord holds,Hebrew
Acheflow,F,White flower,Arthurian Legend
Achen,F,A twin,African
Achill,M,Hero of the Iliad,Greek
Achilla,M,Hero of the Iliad,Greek
Achille,M,Hero of the Iliad,Greek
Achilleo,M,Hero of the Iliad,Greek
Achilles,M,Appeared in Troilus & Cressida,Shakespearian
Achilles,M,Hero of the Iliad,Greek
Achintya,M,Beyond comprehension,Indian
Achlys,F,"Mist, Darknesss",Greek
Achyuta,M,"Indestructible, A name of Vishnu",Indian
Ackerley,M,Meadow of oaks,English
Ackill,M,Hero of the Iliad,Greek
Ackley,M,Meadow of oaks,English
Acton,M,Town with many oaks,English
Acuzio,M,Sharp,Latin
Ada,F,First born females,African
Ada,F,Happy,Teutonic
Ada,F,Joyful,German
Ada,F,Noble kind,Hebrew
Ada,F,Wealthy,English
Adah,M,Happy,Teutonic
Adah,M,Noble kind,Hebrew
Adah,F,Adorned,Latin
Adah,F,"Adorned with beauty, Spectacular ornament",Hebrew
Adah,F,Happy,Teutonic
Adailia,F,Adorned,Latin
Adailia,F,Noble kind,Hebrew
