name,description
’naner Man,
Ababaster,
Abbey,
Abbie,
Abbott,
Abby,
Abercrombie,
Abigail,
Abner,
About Face,
Abra,
Abracadabra,
Abraham,
Absinthe,
Academy,
Ace,
Acorn,
Action,
Adagio,
Adam,
Adam White,
Addison,
Adipose,
Adrianna,
Aerial,
Afton,
Aggie,
Aidan,
Aiden,
Aiko,
Aimee,
Ainsley,
Air,
Aisha,
A-jay,
Akane,
Akeeta,
Al Bundy,
Aladdin,
Alana,
Alaska,
Alastriona,"pronounced “al-as-TREE-na”, Irish form of Alastar, m."
Albert,
Albino,
Albus Percival Wolfric Brian Dumbledore,"“Albus”, “Big AL”, or “The Professor”"
Alby,
Aldous Hutchley,
Alec,
Aleister,
Alex,
Alexa,
Alexander,
Alexander Bunny,
Alexander Graham Bell,
Alexander Graham Bunny,
Alexander the Great,
Alexandra,
Alexia Lu,
Alexistarr,
Alexxis,
Alf,
Alfalfa,
Alfie,
Alfonsina,
Alfonsino,
Algernon,
Ali,
Ali Akbar Bhun,
Alice,
Alicia,
Alister,
Alley,
Allie,
Allison,
Almendro,
Alpha,
Alpine,
Alyse,
Alyssa,
Alzbeta,
Amanda,
Amaretto,
Amaria,
Amber,
Ambrose,
Ambrosius,
Amelia,
Amethyst,
Amidala,
Amie,"French, “friend”"
Amigo,
Amon-Ra,
Amos J. Calloway Esquire the Rabbit,
Amy,
Amy Baby,
Anais,
Anastasia,
Ancho,chilis
Andy,
Anejo,tequilas
Angel,
Angel Louise,
Angel our Silky Star,
AngelBill,
Angie,
Angora,
Angus,
Ani-Moomahla,
Anise,
Anisette,
Anita,
Ann,
Anna,
Annabel,
Annabell,
Annabelle,
Annabelle Lee,
Annie,
Annie Angora,
Annie Fannie,
Annie Potatoes,
Anniebelle,
Anoop,
Anselmo,
Anthony Bunny,
Antigone,
Antonio Bunderas,
Anuhea-mountain breeze,
Anya,
Aoife,
Apache,
Apachee,
Aphra,
Aphrodite,
Apollo,
Appallo,
Apple,
Apple Pie,
Applejack,
Apples,
Applesauce,
Appleton,
Appollo,
Apricot,
April,
Aquabella,
Aquabelle,
Aquarius,
Aragon,
Arby,
Archibald,
Archie,
Archimedes,
Arctica,
Arduina,pronounced “Ard-weena”
Arf,
Argos,
Ari,Ariana
Arianna,
Ariel,
Arielle,
Aristoteles,
Armand Agador Marcellus,
Arnie,
Arnold,
Arpeggio,
Arsenic,Nicky
Artemis,
Arthur,
Artichoke,
Artie,
Arya,Arya-bun
Ash,
Asha,
Ashe,
Ashes,
Ashley,
Asia,
Askhim,pronounced “ask-im”
Aslan,
Aspen,
Aspera,
Aster,
Asterix,
Astin,
Astro,
Ata,
Athabasca,
Athena,
Atom,
Atomic,
Attach,
Attila,
Attila the Bun,
Attitude,
Audi,
Audrey,
Audrey Hopburn,
Augie,
August Phelps,
Augusta,
Aura,
Aurora,
Aussie,
AussieStarr,
Austin,
Austingirl,
Auto,
Autumn,
Avalanche,
Avalon,
Avery,
Avignon,
Axel,
Ayee,
Ayla,
Ayosha,
Azure,
B. Diddy,
Babbit,
Babe,
Babe Ruth,
Babette,
Babies Breath,
Babs,
Baby,
Baby Belle,
Baby Huey,
Babycakes,
Babydoll,
BabyMisty,
Bacardi,
Bach,
Backdraft,
Badger,
Bagel,
Baggins,
Bagpuss,
Baguette,
Bailee,
Bailey,
Baja,
Baker,
Balls,
Balogny Bunny,
Baloo,
Balou,
Baly,
Bam,
Bam Bam,
BamBam,
Bam-Bam,
Bambi,
Bambina,
Bamboo,
Bamby,
Bamby Marii,
Bams,
Banana,
Banana Toad,
Band-aid,
Bandana,
Bandit,
Bandito,
Banditto,
Banger,
Bap,
Baracuda,
Barbie,
Barbie Q,
Barcode,
Barkley,
Barkly,
Barksalot,
Barley,
Barlow,
Barnaby,
Barnaby Bunny,
Barnet,
Barney,
Barnum,
Baron,
Baroness Streak Von Binkey,
Barron,
Barry White Bunny,
Bart,
Basher,
Bashful,
Basil,
Basilio Bunnyfacio Rabbitnovitch,
Baskin Fudge Bunny,
Basmati,
Basse,
Bastet,
Bathilda,
Batman,
Baxter,
Baylea,
Bazzle,
BB,
B-bop,
BC,
Beach Bum,
Beaker,
Beamer,
Bean,
Beanie,
Beans,
Bear,
BearBear,
Beastie Boy,
Beastly,
Beat Bunni,
Beaton,
Beatrice,
Beatrix,
Beau,
Beau Ty,"i.e., “Bow Tie”"
Beauchamp,pronounced “Beechuhm”
Beaumont,
Beautiful Bunny the Wizards Hare,
Beauty,
Beaver,
Bebe,
Becca,
Beckett,
Becky,
Bee,
Beebee,
Beechnut,
Beef,
Beefur Bunny-Wabbit,
Beejou,
Beelzabub,
Beethoven,
Beetle Bailey,
Beevis,
Beezie,
Beezle,
Beggin,
Begonia,
Beignet,
Beijing,
Bejay,
Bell,
Bella,
BellaDonna,
Belle,
Bellini,
Bells,
Ben,
Ben Bunn,
Ben Gunn,
Bendicks,
Benge,
Benitez,
Benito,
Benjamin,
Benjamin Bunny,
Benji,
Benjy,
Bennett,
Bennie,
Bennita Bunny,
Ben-n-Jerry,
Benny,
Benny MacBunny,
Benson,
Bentley,
Bently,
Benton,
Benton Kansas Storm,
Beowulf,
Beppe,
Beret,
Berlioz,
Bermuda,
Bernadette,Bernie for short
Bernice,
Bernie,
Berry,
Berry-Boo,
Bert,
Bertie,
Bertie Bubbles,
Bertie Bunny,
Beryl,
Bes,
Bessie,
Bessy Sue,
Bet,
Beta,
Beth,
Betsy,
Betsy Marie,
Bettina,
Betty,
Betty Boo,
Betty Bunny,
Betty White,
BettyBooperz,
Betulla,
Bhagat Singh,
Bianca,
Bianica,
Bib,
Bibbity,
BiBi,
Biddle,
Biddy,
Bidik,
Bidsey,
Biff,
Big,
Big Belle,
Big Boy,
Big Bun,
Big Daddy,
Big Ears,
Big Foot,
Big Mama,
Big-eared-cherub,
Big-Ears,
Bigfoot,
Bigger,
Biggins,
Biggles,
BigMack,
Bigwig,
Bijou,
Bilberry,
Bilbo,
Bilbo Baggins,
Bill,
Billabong,
Billie Jean,
Billie Jo Fleece,
Billsworth,
Billy,
Bina,
Bindy Sue,
Bing,
Bingle,
Bingo,
Binks,
Binky,
Binkyboy,
Binny,
Binx,
Bippity,
Birdie,
Biscotti,
Biscuit,
Bishop,
Biskitt,
Biter,Biter Bun
Bitsy,
Bitty,
Bixby,
Bizerck,
Bizkit,
BJ,
Black,
Black Beard,
Black Beauty,
Black Betty,
Black Jack,
Black Rabbit of Inlé,
Black Rose,
Black Silk,
Black Widow,
Blackavar,
Blackberry,
Blackie,
Blackjack,
Blacky,
Blair Rabbit,
Blaise,
Blanca,
Blaze,
Blazer,
Blessings,
Blink,
Blinky,
Bliss,
Blitz,
Blizzard,
Blondi,
Bloom,
Blooper,
Blossman,
Blossom,
Blot/Blottie,
Blu,
Blu Boy,
Blue,
Blue Eyes,
Blue Moon,
Blue Ridge,
Bluebell,
Bluebelle,
Blueberry,
Bluto,
BMW,Beemer
Bo,
Boaz,
Bob,
Bob the Bunny,
Bobby,
Bobby B.,
Bobby Lee,
BoBo,
Bobtail,
Boco,
Bodie,
Bodkin,
Boffin,
Bogart,
Boger,
Bogie,
Bogle,
Boing Boing,
Bojangles,
Bologna,
Bolt,
Bombay Sapphire,
Bombon,
Bon Bon,
Bonanza,
Bonbon,
Bon-Bon,
Boncuk,
Boney,
Bongo,
Bonjour,
Bonnet,
Bonnie,
Bonnie Belle,
Bonnie Black,
Bonnie Jean,
Bonny,
Bonsai,
Bonsai Treat,
Bonus,
Bonzai,
Bonzie,
Boo,
Boo Boo,
Boo Boo Baby Bunny,
Boobers,
BooBoo,
Boodaboo,
Boodles,
Boofie,
Boogie,
BoogieBear,
Boogity,
Boom-Boom,
Boomer,
Booney,
Boop,
Boopsie,
Booter,
Booties,
Boots,
Booty,
Boppity,
Borage,
Boris,
Bosco,
Bosephus,
Bosie,
Bosley,
Boss,
Boss Man,
Bossy,
Boston,
Boswell,
Bottom,
Bounce,
Bouncer,
Bouncy,
Bounnie,
Bounty,
Boutros Boutros-Bunny,
Bow,
Bow Wow,
Box Car Bailey,
Boxy,
BoyToy,
Boz,
Bracken,
Brad,
Bradley,
Brady,
Bramble,
Brambles,
Bramley,
Brandi,
Brandi Jo,
Brando,
Brandon,
Brandy,
Branston,
Brat,
Braveheart,
Bravo Whiskey,
Breece,
Breeze,
Breezy,
Brenda,
Brewer,
Brian,
Brian Bucket,
Brianna,
Briar,
Brick,
Brickette,
Bricola,"Italian, “crumb”"
Bridget,
Brie,
Bright Eyes,
Brillo,
Brinkley,
Briosche,
Brittany,
Brixi Saxifraga,
Broccoli,
Brodie,
Broker,
Bronco,
Bronson,
Brooke,
Brown,
Brown Sugar,
Brownie,
Bruce,
Bruiser,
Brummel,
Bruno,
Brutus,
Bruzer,
Brynn,
Bryony,
Bryson,
BT,
Bubba,
Bubba Jean,
Bubbie,
Bubble,
Bubblegum,
Bubbles,
Bubby,
Buck,
Buck Rogers,
Bucket,
Buckeye,
Bucks Fizz,
Buckthorn,
Buckwheat,
Bucky,
Buckybun,
Bud,
Buddha,
Buddie,
Buddy,
Buddy Holly,
Buddy Love,
Buderick VonNapsterhausen,
Budget,
Budgie,
Bud-Yee,"pseudo-Chinese, “Buddy”"
Buff,
Buffet,
Buffy,
Buford,
Bug,
Buggers,
Buggy,
Bugs,Bugsy
Bugs Bunny,
Bugster,
Bugsy,
