name,Weight
AABERG,5
AABY,5
AADLAND,5
AAGAARD,5
AAKRE,5
AALAND,5
AALBERS,5
AALDERINK,5
AALUND,5
AAMODT,5
AAMOT,5
AANDERUD,5
AANENSON,5
AANERUD,5
AARANT,5
AARDEMA,5
AARESTAD,5
AARHUS,5
AARON,80
AARONS,10
AARONSON,5
AARSVOLD,5
AAS,5
AASBY,5
AASE,5
AASEN,10
AAVANG,5
ABAD,10
ABADI,5
ABADIE,10
ABAIR,5
ABAJA,5
ABAJIAN,5
ABALOS,5
ABALOZ,5
ABAR,5
ABARCA,10
ABARE,5
ABASCAL,5
ABASTA,5
ABATE,10
ABATI,5
ABATIELL,5
ABATO,5
ABATTI,5
ABAUNZA,5
ABAYA,5
ABBADESSA,5
ABBAMONTE,5
ABBAS,10
ABBASI,5
ABBASSI,5
ABBATE,10
ABBATIELLO,5
ABBAY,5
ABBE,5
ABBED,5
ABBENANTE,5
ABBEY,20
ABBINANTI,5
ABBINGTON,5
ABBITT,5
ABBOT,5
ABBOTT,250
ABBOUD,5
ABBRUZZESE,5
ABBS,5
ABBY,5
ABDALLA,5
ABDALLAH,10
ABDEL,5
ABDELAL,5
ABDELAZIZ,5
ABDELDAYEN,5
ABDELHAMID,5
ABDELLA,5
ABDELMUTI,5
ABDELRAHMAN,5
ABDELWAHED,5
ABDI,5
ABDIN,5
ABDO,10
ABDON,5
ABDOOL,5
ABDOU,5
ABDUL,10
ABDULA,5
ABDULAZIZ,5
ABDULKARIM,5
ABDULLA,5
ABDULLAH,20
ABDULLAI,5
ABDULMATEEN,5
ABDULMUNIEM,5
ABDUR,5
ABE,10
ABEB,5
ABED,5
ABEDELAH,5
ABEDI,5
ABEE,5
ABEGG,5
ABEITA,5
ABEL,70
ABELA,5
ABELAR,5
ABELARDO,5
ABELE,5
ABELES,5
ABELL,30
ABELLA,5
ABELLERA,5
ABELMAN,5
ABELN,5
ABELS,10
ABELSON,5
ABEN,5
ABEND,5
ABENDROTH,5
ABER,5
ABERCOMBIE,5
ABERCROMBIE,20
ABERLE,5
ABERNATHA,5
ABERNATHY,70
ABERNETHY,10
ABERSON,5
ABES,5
ABETA,5
ABETE,5
ABETRANI,5
ABEYTA,20
ABIDE,5
ABIGANTUS,5
ABILA,5
ABILAY,5
ABILD,5
ABILEZ,5
ABINA,5
ABINGTON,5
ABITONG,5
ABKE,5
ABKEMEIER,5
ABLANG,5
ABLAO,5
ABLE,10
ABLEMAN,5
ABLER,5
ABLES,20
ABLIN,5
ABLING,5
ABNER,30
ABNET,5
ABNEY,50
ABO,5
ABOLAFIA,5
ABOLT,5
ABOOD,5
ABOSHIHATA,5
ABOUD,5
ABOUDI,5
ABOULAHOUD,5
ABOULISSAN,5
ABOUSALEH,5
ABOYTES,5
ABPLANALP,5
ABRACHINSKY,5
ABRAHAM,80
ABRAHAMIAN,5
ABRAHAMS,10
ABRAHAMSEN,5
ABRAHAMSON,10
ABRAM,20
ABRAMEK,5
ABRAMIAN,5
ABRAMOFF,5
ABRAMOV,5
ABRAMOVICH,5
ABRAMOVITZ,5
ABRAMOWITZ,10
ABRAMOWSKI,5
ABRAMS,90
ABRAMSON,20
ABRANTES,5
ABREAU,5
ABRECHT,5
ABREGO,20
ABRELL,5
ABREO,5
ABREU,40
ABREV,5
ABREW,5
ABREY,5
ABRIAL,5
ABRIL,10
ABRIOLA,5
ABROM,5
ABRON,10
ABRUZZESE,5
ABRUZZINO,5
ABRUZZO,5
ABSALON,5
ABSHEAR,5
ABSHER,10
ABSHIER,5
ABSHIRE,10
ABSON,5
ABSTON,10
ABT,5
ABTS,5
ABU,5
ABUAITA,5
ABUBAKR,5
ABUD,5
ABUEL,5
ABUGN,5
ABUHL,5
ABUNDIS,5
ABUNDIZ,5
ABURTO,5
ABUSUFAIT,5
ACAL,5
ACAMPORA,5
ACCALA,5
ACCARDI,5
ACCARDO,5
ACCETTA,5
ACCETTURO,5
ACCOLA,5
ACCOMANDO,5
ACCORNERO,5
ACCOSTA,5
ACCURSO,5
ACE,5
ACEBEDO,5
ACEBO,5
ACEDO,5
ACEE,5
ACEITUNO,5
ACENCIO,5
ACERET,5
ACERNO,5
ACERO,5
ACERRA,5
ACETO,5
ACEUEDO,5
ACEVADO,5
ACEVEDA,5
ACEVEDO,130
ACEVES,10
ACEY,5
ACFALLE,5
ACHANE,5
ACHE,5
ACHEAMPONG,5
ACHEE,5
ACHEKIAN,5
ACHENBACH,10
ACHESON,10
ACHILLE,5
ACHILLES,5
ACHIN,5
ACHOR,5
ACHORD,5
ACHORN,5
ACHTER,5
ACHTERHOF,5
ACHZET,5
ACHZIGER,5
ACIERNO,5
ACIMOVIC,5
ACK,5
ACKAH,5
ACKEN,5
ACKER,50
ACKERLEY,5
ACKERLY,5
ACKERMAN,90
ACKERMANN,10
ACKERS,5
ACKERSON,10
ACKERT,5
ACKIES,5
ACKINS,5
ACKISON,5
ACKISS,5
ACKLAND,5
ACKLEN,5
ACKLES,10
ACKLEY,30
ACKLIN,10
ACKMAN,10
ACKMANN,5
ACKROYD,5
ACLY,5
ACOBA,5
ACOCELLA,5
ACOCK,5
ACOFF,5
ACOR,5
ACORD,10
ACORDA,5
ACORS,5
ACOSTA,220
ACOSTO,5
ACOTHLEY,5
ACQUAVIVA,5
ACQUILLA,5
ACRE,5
ACREE,20
ACRES,10
ACREY,5
ACRI,5
ACRON,5
ACTIS,5
ACTON,20
ACUFF,10
ACUNA,40
ACY,5
ADA,5
ADACHI,5
ADAIR,70
ADALJA,5
ADAM,50
ADAMAITIS,5
ADAMCIK,5
ADAMCZAK,5
ADAMCZYK,10
ADAME,40
ADAMEC,5
ADAMEK,10
ADAMES,20
ADAMI,5
ADAMIAK,5
ADAMIK,5
ADAMIS,5
ADAMITIS,5
ADAMO,10
ADAMOS,5
ADAMOWSKI,5
ADAMS,1740
ADAMSEN,5
ADAMSKI,10
ADAMSKY,5
ADAMSON,50
ADAMSONIS,5
ADAMYAN,5
ADAN,10
ADANK,5
ADAS,5
ADAUTO,5
ADAWAY,5
ADAY,5
ADCOCK,50
ADCOX,10
ADDAIR,5
ADDAMS,5
ADDARIO,5
ADDEO,5
ADDERLEY,5
ADDERLY,5
ADDESSO,5
ADDICKS,5
ADDIE,5
ADDIEGO,5
ADDINGTON,20
ADDIS,10
ADDISON,70
ADDLEMAN,5
ADDO,5
ADDUCI,5
ADDY,10
ADE,5
ADEBISI,5
ADEE,5
ADEL,5
ADELBLUE,5
ADELGREN,5
ADELIZZI,5
ADELL,5
ADELMAN,10
ADELMANN,5
ADELMUND,5
ADELS,5
ADELSBERG,5
ADELSON,10
ADELSPERGER,5
ADELSTEIN,5
ADEMA,5
ADEN,10
ADENS,5
ADER,5
ADERHOLD,5
ADERHOLDT,5
ADERHOLT,10
ADERMAN,5
ADERSON,5
ADES,5
ADESSA,5
ADESSO,5
ADEY,5
ADEYEMO,5
ADGER,10
ADHAM,5
ADHAMI,5
ADI,5
ADIB,5
ADICKES,5
ADIE,5
ADIL,5
ADINOLFI,5
ADJEI,5
ADJUTANT,5
ADKERSON,5
ADKIN,5
ADKINS,290
ADKINSON,10
ADKISON,10
ADKISSON,10
ADLAM,5
ADLE,5
ADLEMAN,5
ADLER,50
ADLEY,5
ADLING,5
ADLOFF,5
ADMAS,5
ADMIRE,5
ADNER,5
ADNEY,5
ADOLF,5
ADOLFO,5
ADOLFSON,5
ADOLPH,10
ADOLPHE,5
ADOLPHSEN,5
ADOLPHSON,5
ADOLPHUS,5
ADOMAITIS,5
ADON,5
ADONIS,5
ADORNO,20
ADRAGNA,5
ADRIAN,20
ADRIANCE,5
ADRIANO,5
ADRID,5
ADRIEN,5
ADRION,5
ADROVEL,5
ADSIDE,5
ADSIT,5
ADU,5
ADUDDELL,5
ADULE,5
ADWELL,5
ADY,5
ADZHABAKYAN,5
AEGERTER,5
AEILLO,5
AELING,5
AEMMER,5
AERNI,5
AERTS,5
AERY,5
AESCHBACHER,5
AESCHLIMAN,5
AESCHLIMANN,5
AFABLE,5
AFALAVA,5
AFAN,5
AFANADOR,5
AFFAGATO,5
AFFELD,5
AFFELT,5
AFFELTRANGER,5
AFFLECK,5
AFFLICK,5
AFFOLTER,5
AFFRONTI,5
AFLALO,5
AFOA,5
AFONSO,5
AFRICA,5
AFSHAR,5
AFSHARI,5
AFTON,5
AFURONG,5
AFZAL,5
AGAMAO,5
AGAN,10
AGANS,5
AGAR,10
AGARD,5
AGARWAL,10
AGBAYANI,5
AGBISIT,5
AGCAOILI,5
AGE,5
AGEBOI,5
AGEE,50
AGEL,5
AGEMY,5
AGENA,5
AGENT,5
AGER,10
AGERS,5
AGERTER,5
AGERTON,5
AGGARWAL,5
AGGAS,5
AGGERS,5
AGIB,5
AGILAR,5
AGIN,10
AGINS,5
AGLE,5
AGLER,5
AGLIAM,5
AGNE,5
AGNELLI,5
AGNELLO,5
AGNER,5
AGNES,5
AGNEW,30
AGNEY,5
AGNI,5
AGNOR,5
AGOFF,5
AGONOY,5
AGOR,5
AGORAS,5
AGORO,5
AGOSTA,5
AGOSTI,5
AGOSTINELLI,5
AGOSTINI,10
AGOSTINO,5
AGOSTO,20
AGPAOA,5
AGRAMONTE,5
AGRAWAL,5
AGRE,5
AGREDA,5
AGREDANO,5
AGRELA,5
AGRESTA,5
AGRESTE,5
AGRESTI,5
AGRESTO,5
AGRICOLA,5
AGRIESTI,5
AGRIOS,5
AGRO,5
AGRON,5
AGTARAP,5
AGUADA,5
AGUADO,5
AGUALLO,5
AGUAS,5
AGUAYO,30
AGUDELO,5
AGUDO,5
AGUEDA,5
AGUELE,5
AGUERO,10
AGUIAR,30
AGUILA,10
AGUILAR,300
AGUILER,5
AGUILERA,60
AGUILLAR,5
AGUILLARD,5
AGUILLERA,5
AGUILLON,5
AGUINAGA,5
AGUINALDO,10
AGUINIGA,5
AGUINO,5
AGUIRE,5
AGUIRRE,140
AGULAR,5
AGULIAR,5
AGUMGA,5
AGUNDEZ,5
AGUNOS,5
AGUON,10
AGURS,5
AGUSTIN,10
AGUSTINE,5
AGUSTINO,5
