# 🚨
# 🚨 Source: https://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/subtlexus5.zip::SUBTLEXusrawdata.dat
# 🚨
Word	FREQcount	CDcount
----------------	2	1
----------------	2	1
----------------	22	7
----------------	1	1
-----------	1	1
--------	1	1
-----	1	1
-----No	1	1
----	167	14
----Yes	1	1
---	35	26
---The	1	1
--	5852	605
--all	1	1
--and	2	2
--applies	1	1
--are	2	2
--August	1	1
--bless	1	1
--can	1	1
--capture	1	1
--cell	1	1
--certainly	1	1
--charity	1	1
--cooperate	1	1
--could	1	1
--create	1	1
--determination	1	1
--did	1	1
--dissolved	1	1
--Don	1	1
--Easy	1	1
--entering	1	1
--everything	1	1
--examination	1	1
--Exsanguination	2	1
--Faster	2	1
--Fine	1	1
--For	1	1
--from	1	1
--gave	1	1
--Give	1	1
--he	1	1
--I	7	7
--in	1	1
--is	1	1
--issued	1	1
--It	16	7
--just	1	1
--learn	1	1
--life	1	1
--lrony	1	1
--may	1	1
--me	1	1
--Might	1	1
--move	1	1
--my	1	1
--neither	1	1
--no	4	4
--now	1	1
--of	1	1
--Onara	1	1
--or	1	1
--our	1	1
--pimp	1	1
--Really	1	1
--reminding	1	1
--sadly	1	1
--screech	1	1
--start	1	1
--tentacles	1	1
--that	5	4
--The	2	2
--their	1	1
--there	1	1
--to	1	1
--Two	1	1
--unconfirmed	1	1
--We	1	1
--What	1	1
--whatever	1	1
--where	1	1
--which	1	1
--would	1	1
--www	3	2
--WWW	1	1
--Yeah	1	1
--Yes	4	3
--you	2	2
-	34979	3517
-A-	7	4
-a-brick	1	1
-A-C	1	1
-a-cola	1	1
-a-day	8	8
-a-glass	1	1
-A-J-H	1	1
-a-month	8	8
-a-night	11	9
-a-plate	3	3
-a-pound	2	2
-a-week	9	9
-a-weekjob	1	1
-a-yard	1	1
-a-year	5	5
-a	5	5
-A	69	56
-Aaah	1	1
-Aah	3	2
-Ababwa	1	1
-about	1	1
-About	4	4
-Absolutely	3	3
-Accident	1	1
-According	4	1
-acre	6	6
-Act	1	1
-adam-	4	2
-Adam-	3	3
-Adam	2	2
-added	5	1
-Adi	1	1
-Adios	1	1
-Afraid	1	1
-Again	3	2
-against	1	1
-agonist	1	1
-Agreed	1	1
-Agricola	3	1
-Agricolae	2	1
-Agricolam	2	1
-Agricolarum	2	1
-Agricolas	2	1
-Agricolis	4	1
-Ah-ah-ah	1	1
-Ah	4	3
-Aiden	1	1
-Ain	1	1
-alarm	1	1
-AlI	1	1
-Alien	1	1
-all	2	1
-All	24	20
-Allison	2	1
-Ally	3	1
-Almost	1	1
-Aloha	1	1
-alpha-charlie	1	1
-Alpha	1	1
-Alright	1	1
-Always	6	2
-Amargosa	1	1
-amp	1	1
-an-hour	12	10
-an-ounce	1	1
-an	1	1
-An	3	3
-and-	7	7
-and-a-half-cent	1	1
-and-a-half-inch	1	1
-and-a-half-poun	1	1
-and-a-half	15	10
-and-J	1	1
-and-Mrs	1	1
-and-some	1	1
-and-under	1	1
-and	17	16
-And	38	24
-Andie	1	1
-Angel	1	1
-Angela	3	1
-Angie	1	1
-Animals	1	1
-Another	1	1
-any	3	3
-Any	2	2
-Anyone	1	1
-Anything	2	2
-Anytime	1	1
-Anywhere	1	1
-April	1	1
-Archer	1	1
-are	2	2
-Are	15	14
-Aren	1	1
-around	1	1
-Around	1	1
-Arrivederci	1	1
-as	4	4
-As	2	1
-Ask	1	1
-ass	6	5
-At	1	1
-attacked	1	1
-Au	1	1
-auditions	1	1
-aught-	3	3
-Avalanche	1	1
-away	2	2
-Ay	1	1
-Aye	3	1
-B-	3	2
-B-A-I-triple-	1	1
-b	4	4
-B	58	41
-Back	1	1
-Bad	2	1
-ball	9	4
-Ball	2	2
-bama	1	1
-bar	1	1
-Barbecue	1	1
-based	2	2
-baud	1	1
-Be	2	2
-Beautiful	2	2
-because	2	2
-Because	6	6
-bedroom	4	4
-beer	2	2
-before	2	2
-behind	1	1
-believable	2	2
-bell	1	1
-below	2	2
-Ben	2	1
-Benny	1	1
-best	1	1
-between-rooms	1	1
-bifocals	1	1
-Big	1	1
-Bill	1	1
-billers	1	1
-billion-a-year	2	2
-billion-dollar-	2	2
-billion-dollar	1	1
-billion	2	2
-Bird	1	1
-bit	13	10
-bite-me	1	1
-biting	1	1
-bits	1	1
-blade	5	4
-bler	1	1
-BlG-FALL	1	1
-blind	1	1
-block	11	11
-Block	1	1
-Blood	2	1
-Blow	1	1
-boardwalks	1	1
-Bobby	1	1
-Boca	1	1
-bodies	1	1
-body	3	3
-Bog	1	1
-boned	1	1
-Bones	1	1
-Boo	1	1
-Both	1	1
-Boy-Adam-Henry-	1	1
-boy	1	1
-Boy	1	1
-brand	1	1
-Brandon--	1	1
-bravo-inkblot	1	1
-Bravo	1	1
-Break	1	1
-Bring	1	1
-brokered	1	1
-Brownies	1	1
-Bruce	1	1
-Bs	1	1
-buck	8	8
-Buckets	1	1
-Buckle	1	1
-Budweiser	2	1
-building	1	1
-Bullard	1	1
-Bullets-or-Less	1	1
-Bullshit	3	3
