# 🚨
# 🚨 Source: https://wolfberg.net/what/CSW19defs.exe::CSW19defs.txt
# 🚨
	CSW19 (2019-6-28)
aa	AA (Hawaiian) a volcanic rock consisting of angular blocks of lava with a very rough surface [n -S]
aah	AAH an interjection expressing surprise [interj] / to exclaim in surprise [v -ED, -ING, -S]
aahed	AAHED AAH, to exclaim in surprise [v]
aahing	AAHING AAH, to exclaim in surprise [v]
aahs	AAHS AAH, to exclaim in surprise [v]
aal	AAL (Hindi) the Indian mulberry tree, aka noni, also AL [n -S]
aalii	AALII (Hawaiian) a tropical tree [n -S]
aaliis	AALIIS AALII, (Hawaiian) a tropical tree [n]
aals	AALS AAL, (Hindi) the Indian mulberry tree, aka noni, also AL [n]
aardvark	AARDVARK (South African) a nocturnal, insectivorous, badger-sized mammal native to sub-Saharan Africa [n -S]
aardvarks	AARDVARKS AARDVARK, (South African) a nocturnal, insectivorous, badger-sized mammal native to sub-Saharan Africa [n]
aardwolf	AARDWOLF (South African) a hyena-like African mammal, aka earthwolf [n AARDWOLVES]
aardwolves	AARDWOLVES AARDWOLF, (South African) a hyena-like African mammal, aka earthwolf [n]
aargh	AARGH an exclamation indicating dismay, also AARRGH, AARRGHH, ARGH [interj]
aarrgh	AARRGH an exclamation indicating dismay, also AARGH, AARRGHH, ARGH [interj]
aarrghh	AARRGHH used to express disgust, also AARGH, AARRGH [interj]
aarti	AARTI (Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deities, also ARTI [n -S]
aartis	AARTIS AARTI, (Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deities, also ARTI [n]
aas	AAS AA, (Hawaiian) a volcanic rock consisting of angular blocks of lava with a very rough surface [n]
aasvogel	AASVOGEL (South African) a South African vulture [n -S]
aasvogels	AASVOGELS AASVOGEL, (South African) a South African vulture [n]
ab	AB an abdominal muscle [n -S]
aba	ABA a Syrian cloth of goat's or camel's hair; an outer garment made of it, also ABAYA [n -S]
abac	ABAC a nomogram, a chart or diagram of scaled lines or curves used to assist in mathematical calculations [n -S]
abaca	ABACA (Tagalog) a Philippine plant, also ABAKA [n -S]
abacas	ABACAS ABACA, (Tagalog) a Philippine plant, also ABAKA [n]
abaci	ABACI ABACUS, (Latin) a counting frame using beads [n]
aback	ABACK towards the back [adv]
abacs	ABACS ABAC, a nomogram, a chart or diagram of scaled lines or curves used to assist in mathematical calculations [n]
abacterial	ABACTERIAL not caused by or characterised by the presence of bacteria [adj]
abactinal	ABACTINAL remote from the actinal area (of a radiate animal) [adj ABACTINALLY]
abactinally	ABACTINALLY ABACTINAL, remote from the actinal area (of a radiate animal) [adv]
abactor	ABACTOR (obsolete) a cattle thief [n -S]
abactors	ABACTORS ABACTOR, (obsolete) a cattle thief [n]
abacus	ABACUS (Latin) a counting frame using beads [n ABACUSES or ABACI]
abacuses	ABACUSES ABACUS, (Latin) a counting frame using beads [n]
