# 🚨
# 🚨 Source: https://wolfberg.net/what/NWL18defs.exe::NWL18defs.txt
# 🚨
	NWL2018 (2019-2-20)
aa aas	AA n pl. -S rough, cindery lava
aah aahed aahing aahs	AAH v -ED, -ING, -S to exclaim in amazement, joy, or surprise
aal aals	AAL n pl. -S an East Indian shrub
aalii aaliis	AALII n pl. -S a tropical tree
aardvark aardvarks	AARDVARK n pl. -S an African mammal
aardwolf aardwolves	AARDWOLF n pl. -WOLVES an African mammal
aargh	AARGH interj -- used to express disgust
aarrgh	AARRGH interj aargh
aarrghh	AARRGHH interj aargh
aasvogel aasvogels	AASVOGEL n pl. -S a vulture
ab abs	AB n pl. -S an abdominal muscle
aba abas	ABA n pl. -S a sleeveless garment worn by Arabs
abaca abacas	ABACA n pl. -S a Philippine plant
aback	ABACK adv toward the back
abacus abaci abacuses	ABACUS n pl. -CI or -CUSES a calculating device
abaft	ABAFT adv toward the stern
abaka abakas	ABAKA n pl. -S abaca
abalone abalones	ABALONE n pl. -S an edible shellfish
abamp abamps	ABAMP n pl. -S abampere
abampere abamperes	ABAMPERE n pl. -S a unit of electric current
abandon abandoned abandoning abandons	ABANDON v -ED, -ING, -S to leave or give up completely
abapical	ABAPICAL adj directed away from the apex
abase abased abasing abases abasedly	ABASE v ABASED, ABASING, ABASES to lower in rank, prestige, or esteem ABASEDLY adv
abaser abasers	ABASER n pl. -S one that abases
abash abashed abashing abashes	ABASH v -ED, -ING, -ES to make ashamed or embarrassed
abasia abasias	ABASIA n pl. -S a defect in muscular coordination in walking
abate abated abating abates abatable	ABATE v ABATED, ABATING, ABATES to reduce in degree or intensity ABATABLE adj
abater abaters	ABATER n pl. -S one that abates
abatis abatises	ABATIS n pl. ABATISES a barrier made of felled trees
abator abators	ABATOR n pl. -S one that unlawfully seizes an inheritance
abattis abattises	ABATTIS n pl. -TISES abatis
abattoir abattoirs	ABATTOIR n pl. -S a slaughterhouse
abaxial	ABAXIAL adj situated away from the axis
abaxile	ABAXILE adj abaxial
abaya abayas	ABAYA n pl. -S a long loose robe worn by Arab women
abba abbas	ABBA n pl. -S father -- used as a title of honor
abbacy abbacies	ABBACY n pl. -CIES the office of an abbot
abbatial	ABBATIAL adj pertaining to an abbot
abbe abbes	ABBE n pl. -S an abbot
abbess abbesses	ABBESS n pl. -ES the female superior of a convent of nuns
abbey abbeys	ABBEY n pl. -BEYS a monastery or convent
abbot abbots	ABBOT n pl. -S the superior of a monastery
abbotcy abbotcies	ABBOTCY n pl. -CIES abbacy
abdicate abdicated abdicating abdicates	ABDICATE v -CATED, -CATING, -CATES to give up formally
abdomen abdomens abdomina	ABDOMEN n pl. -MENS or -MINA the body cavity containing the viscera
abduce abduced abducing abduces	ABDUCE v -DUCED, -DUCING, -DUCES to abduct
abducens abducentes	ABDUCENS n pl. -CENTES a cranial nerve
abducent	ABDUCENT adj serving to abduct
abduct abducted abducting abducts	ABDUCT v -ED, -ING, -S to draw away from the original position
abductee abductees	ABDUCTEE n pl. -S one that has been abducted
abductor abductores abductors	ABDUCTOR n pl. -ES or -S an abducent muscle
abeam	ABEAM adv at right angles to the keel of a ship
abed	ABED adv in bed
abegging	ABEGGING adj begging
abele abeles	ABELE n pl. -S a Eurasian tree
abelia abelias	ABELIA n pl. -S an Asian or Mexican shrub
abelian	ABELIAN adj being a commutative group in mathematics
abelmosk abelmosks	ABELMOSK n pl. -S a tropical herb
aberrant aberrants	ABERRANT n pl. -S a deviant
abet abetted abetting abets	ABET v ABETTED, ABETTING, ABETS to encourage and support
abetment abetments	ABETMENT n pl. -S the act of abetting
abettal abettals	ABETTAL n pl. -S abetment
abetter abetters	ABETTER n pl. -S abettor
abettor abettors	ABETTOR n pl. -S one that abets
abeyance abeyances	ABEYANCE n pl. -S temporary inactivity
abeyancy abeyancies	ABEYANCY n pl. -CIES abeyance
abeyant	ABEYANT adj marked by abeyance
abfarad abfarads	ABFARAD n pl. -S a unit of capacitance
abhenry abhenries abhenrys	ABHENRY n pl. -RIES or -RYS a unit of inductance
abhor abhorred abhorring abhors	ABHOR v -HORRED, -HORRING, -HORS to loathe
abhorrer abhorrers	ABHORRER n pl. -S one that abhors
abidance abidances	ABIDANCE n pl. -S the act of abiding
abide abode abided abiding abides	ABIDE v ABODE or ABIDED, ABIDING, ABIDES to accept without objection
abider abiders	ABIDER n pl. -S one that abides
abigail abigails	ABIGAIL n pl. -S a lady's maid
ability abilities	ABILITY n pl. -TIES the quality of being able to do something
abiosis abioses abiotic	ABIOSIS n pl. -OSES absence of life ABIOTIC adj
abject abjectly	ABJECT adj sunk to a low condition ABJECTLY adv
abjure abjured abjuring abjures	ABJURE v -JURED, -JURING, -JURES to renounce under oath
abjurer abjurers	ABJURER n pl. -S one that abjures
ablate ablated ablating ablates	ABLATE v -LATED, -LATING, -LATES to remove by cutting
ablation ablations	ABLATION n pl. -S surgical removal of a bodily part
ablative ablatives	ABLATIVE n pl. -S a grammatical case
ablator ablators	ABLATOR n pl. -S one that ablates
ablaut ablauts	ABLAUT n pl. -S a patterned change in root vowels of verb forms
ablaze	ABLAZE adj being on fire
able abler ablest	ABLE adj ABLER, ABLEST having sufficient power, skill, or resources
able ables	ABLE n pl. -S a communications code word for the letter A
abled	ABLED adj capable of unimpaired function
ablegate ablegates	ABLEGATE n pl. -S a papal envoy
ableism ableisms	ABLEISM n pl. -S prejudice or discrimination against disabled people
ableist ableists	ABLEIST n pl. -S one that practices ableism
ablings	ABLINGS adv ablins
ablins	ABLINS adv perhaps
abloom	ABLOOM adj blooming
abluent abluents	ABLUENT n pl. -S a cleansing agent
ablush	ABLUSH adj blushing
abluted	ABLUTED adj washed clean
ablution ablutions	ABLUTION n pl. -S a washing
ably	ABLY adv in an able manner
abmho abmhos	ABMHO n pl. -MHOS a unit of electrical conductance
abnegate abnegated abnegating abnegates	ABNEGATE v -GATED, -GATING, -GATES to deny to oneself
abnormal abnormals	ABNORMAL n pl. -S a mentally deficient person
abo abos	ABO n pl. -S an aborigine (an original inhabitant) *deemed offensive*
aboard	ABOARD adv into, in, or on a ship, train, or airplane
abode aboded aboding abodes	ABODE v ABODED, ABODING, ABODES to forebode
abohm abohms	ABOHM n pl. -S a unit of electrical resistance
aboideau aboideaus aboideaux	ABOIDEAU n pl. -DEAUS or -DEAUX a type of dike
aboil	ABOIL adj boiling
aboiteau aboiteaus aboiteaux	ABOITEAU n pl. -TEAUS or -TEAUX aboideau
abolish abolished abolishing abolishes	ABOLISH v -ED, -ING, -ES to do away with
abolla abollae	ABOLLA n pl. -LAE a cloak worn in ancient Rome
aboma abomas	ABOMA n pl. -S a South American snake
abomasal	ABOMASAL adj pertaining to the abomasum
abomasum abomasa	ABOMASUM n pl. -SA the fourth stomach of a ruminant
abomasus abomasi	ABOMASUS n pl. -MASI abomasum
aboon	ABOON adv above
aboral aborally	ABORAL adj situated away from the mouth ABORALLY adv
aborning	ABORNING adv while being born
abort aborted aborting aborts	ABORT v -ED, -ING, -S to bring forth a fetus prematurely
aborter aborters	ABORTER n pl. -S one that aborts
abortion abortions	ABORTION n pl. -S induced expulsion of a nonviable fetus
abortive	ABORTIVE adj failing to succeed
abortuary abortuaries	ABORTUARY n pl. -RIES an abortion clinic *deemed offensive*
abortus abortuses	ABORTUS n pl. -ES an aborted fetus
aboulia aboulias aboulic	ABOULIA n pl. -S abulia ABOULIC adj
abound abounded abounding abounds	ABOUND v -ED, -ING, -S to have a large number or amount
about	ABOUT adv approximately
above aboves	ABOVE n pl. -S something that is above (in a higher place)
abrachia abrachias	ABRACHIA n pl. -S a lack of arms
abradant abradants	ABRADANT n pl. -S an abrasive
abrade abraded abrading abrades	ABRADE v ABRADED, ABRADING, ABRADES to wear away by friction
abrader abraders	ABRADER n pl. -S a tool for abrading
abrasion abrasions	ABRASION n pl. -S the act of abrading
abrasive abrasives	ABRASIVE n pl. -S an abrading substance
abreact abreacted abreacting abreacts	ABREACT v -ED, -ING, -S to release repressed emotions by reliving the original traumatic experience
abreast	ABREAST adv side by side
abri abris	ABRI n pl. -S a bomb shelter
abridge abridged abridging abridges	ABRIDGE v ABRIDGED, ABRIDGING, ABRIDGES to reduce the length of
abridger abridgers	ABRIDGER n pl. -S one that abridges
abroach	ABROACH adj astir
abroad	ABROAD adv out of one's own country
abrogate abrogated abrogating abrogates	ABROGATE v -GATED, -GATING, -GATES to abolish by authoritative action
abrosia abrosias	ABROSIA n pl. -S a fasting from food
abrupt abrupter abruptest abruptly	ABRUPT adj -RUPTER, -RUPTEST rudely brief ABRUPTLY adv
abscess abscessed abscessing abscesses	ABSCESS v -ED, -ING, -ES to form an abscess (a localized collection of pus surrounded by inflamed tissue)
abscise abscised abscising abscises	ABSCISE v -SCISED, -SCISING, -SCISES to cut off
abscisin abscisins	ABSCISIN n pl. -S a regulatory substance found in plants
abscissa abscissas abscissae	ABSCISSA n pl. -SAS or -SAE a particular geometric coordinate
abscond absconded absconding absconds	ABSCOND v -ED, -ING, -S to depart suddenly and secretly
abseil abseiled abseiling abseils	ABSEIL v -ED, -ING, -S to rappel
abseiler abseilers	ABSEILER n pl. -S one that abseils
absence absences	ABSENCE n pl. -S the state of being away
absent absented absenting absents	ABSENT v -ED, -ING, -S to take or keep away
absentee absentees	ABSENTEE n pl. -S one that is not present
absenter absenters	ABSENTER n pl. -S one that absents himself
absently	ABSENTLY adv in an inattentive manner
absinth absinths	ABSINTH n pl. -S absinthe
absinthe absinthes	ABSINTHE n pl. -S a bitter liqueur
absolute absoluter absolutest	ABSOLUTE adj -LUTER, -LUTEST free from restriction
absolute absolutes	ABSOLUTE n pl. -S something that is absolute
absolve absolved absolving absolves	ABSOLVE v -SOLVED, -SOLVING, -SOLVES to free from the consequences of an action
absolver absolvers	ABSOLVER n pl. -S one that absolves
absonant	ABSONANT adj unreasonable
absorb absorbed absorbing absorbs	ABSORB v -ED, -ING, -S to take up or in
absorber absorbers	ABSORBER n pl. -S one that absorbs
abstain abstained abstaining abstains	ABSTAIN v -ED, -ING, -S to refrain voluntarily
absterge absterged absterging absterges	ABSTERGE v -STERGED, -STERGING, -STERGES to cleanse by wiping
abstract abstracted abstracting abstracts	ABSTRACT v -ED, -ING, -S to take away
abstract abstracter abstractest	ABSTRACT adj -STRACTER, -STRACTEST difficult to understand
abstrict abstricted abstricting abstricts	ABSTRICT v -ED, -ING, -S to form by cutting off
abstruse abstruser abstrusest	ABSTRUSE adj -STRUSER, -STRUSEST difficult to understand
absurd absurder absurdest absurdly	ABSURD adj -SURDER, -SURDEST ridiculously incongruous or unreasonable ABSURDLY adv
absurd absurds	ABSURD n pl. -S the condition in which man exists in an irrational and meaningless universe
abubble	ABUBBLE adj bubbling
abulia abulias abulic	ABULIA n pl. -S loss of will power ABULIC adj
abundant	ABUNDANT adj present in great quantity
abuse abused abusing abuses abusable	ABUSE v ABUSED, ABUSING, ABUSES to use wrongly or improperly ABUSABLE adj
abuser abusers	ABUSER n pl. -S one that abuses
abusive	ABUSIVE adj characterized by wrong or improper use
