ID,Color,RGB,Source
1,Black,000000,W3C
2,Silver,C0C0C0,W3C
3,Gray,808080,W3C
4,White,FFFFFF,W3C
5,Maroon,800000,W3C
6,Red,FF0000,W3C
7,Purple,800080,W3C
8,Fuchsia,FF00FF,W3C
9,Green,008000,W3C
10,Lime,00FF00,W3C
11,Olive,808000,W3C
12,Yellow,FFFF00,W3C
13,Navy,000080,W3C
14,Blue,0000FF,W3C
15,Teal,008080,W3C
16,Aqua,00FFFF,W3C
17,ActiveBorder,B4B4B4,system
18,ActiveCaption,99B4D1,system
19,AppWorkspace,ABABAB,system
20,Background,000000,system
21,ButtonFace,F0F0F0,system
22,ButtonHighlight,FFFFFF,system
23,ButtonShadow,A0A0A0,system
24,ButtonText,000000,system
25,CaptionText,000000,system
26,GrayText,6D6D6D,system
27,Highlight,3399FF,system
28,HighlightText,FFFFFF,system
29,InactiveBorder,F4F7FC,system
30,InactiveCaption,BFCDDB,system
31,InactiveCaptionText,434E54,system
32,InfoBackground,FFFFE1,system
33,InfoText,000000,system
34,Menu,F0F0F0,system
35,MenuText,000000,system
36,Scrollbar,C8C8C8,system
37,TreeDDarkShadow,696969,system
38,ThreeDFace,F0F0F0,system
39,ThreeDHighlight,FFFFFF,system
40,ThreeDLightShadow,E3E3E3,system
41,ThreeDShadow,A0A0A0,system
42,Window,FFFFFF,system
43,WindowFrame,646464,system
44,WindowText,000000,system
45,currentColor,NULL,NULL
46,transparent,NULL,NULL
47,AliceBlue,F0F8FF,W3C
48,AntiqueWhite,FAEBD7,W3C
49,Aquamarine,7FFFD4,W3C
50,Azure,F0FFFF,W3C
51,Beige,F5F5DC,W3C
52,Bisque,FFE4C4,W3C
53,BlanchedAlmond,FFEBCD,W3C
54,BlueViolet,8A2BE2,W3C
55,Brown,A52A2A,W3C
56,Burlywood,DEB887,W3C
57,CadetBlue,5F9EA0,W3C
58,Chartreuse,7FFF00,W3C
59,Chocolate,D2691E,W3C
60,Coral,FF7F50,W3C
61,CornflowerBlue,6495ED,W3C
62,Cornsilk,FFF8DC,W3C
63,Crimson,DC143C,W3C
64,Cyan,00FFFF,W3C
65,DarkBlue,00008B,W3C
66,DarkCyan,008B8B,W3C
67,DarkGoldenrod,B8860B,W3C
68,DarkGray,A9A9A9,W3C
69,DarkGreen,006400,W3C
70,DarkGrey,A9A9A9,W3C
71,DarkKhaki,BDB76B,W3C
72,DarkMagenta,8B008B,W3C
73,DarkOliveGreen,556B2F,W3C
74,DarkOrange,FF8C00,W3C
75,DarkOrchid,9932CC,W3C
76,DarkRed,8B0000,W3C
77,DarkSalmon,E9967A,W3C
78,DarkSeaGreen,8FBC8F,W3C
79,DarkSlateBlue,483D8B,W3C
80,DarkSlateGray,2F4F4F,W3C
81,DarkSlateGrey,2F4F4F,W3C
82,DarkTurquoise,00CED1,W3C
83,DarkViolet,9400D3,W3C
84,DeepPink,FF1493,W3C
85,DeepSkyBlue,00BFFF,W3C
86,DimGray,696969,W3C
87,DimGrey,696969,W3C
88,DodgerBlue,1E90FF,W3C
89,Firebrick,B22222,W3C
90,FloralWhite,FFFAF0,W3C
91,ForestGreen,228B22,W3C
92,Gainsboro,DCDCDC,W3C
93,GhostWhite,F8F8FF,W3C
94,Gold,FFD700,W3C
95,Goldenrod,DAA520,W3C
96,GreenYellow,ADFF2F,W3C
97,Grey,808080,W3C
98,Honeydew,F0FFF0,W3C
99,HotPink,FF69B4,W3C
100,IndianRed,CD5C5C,W3C
101,Indigo,4B0082,W3C
102,Ivory,FFFFF0,W3C
103,Khaki,F0E68C,W3C
104,Lavender,E6E6FA,W3C
105,LavenderBlush,FFF0F5,W3C
106,LawnGreen,7CFC00,W3C
107,LemonChiffon,FFFACD,W3C
108,LightBlue,ADD8E6,W3C
109,LightCoral,F08080,W3C
110,LightCyan,E0FFFF,W3C
111,LightGoldenrodYellow,FAFAD2,W3C
112,LightGray,D3D3D3,W3C
113,LightGreen,90EE90,W3C
114,LightGrey,D3D3D3,W3C
115,LightPink,FFB6C1,W3C
116,LightSalmon,FFA07A,W3C
117,LightSeaGreen,20B2AA,W3C
118,LightSkyBlue,87CEFA,W3C
119,LightSlateGray,778899,W3C
120,LightSlateGrey,778899,W3C
121,LightSteelBlue,B0C4DE,W3C
122,LightYellow,FFFFE0,W3C
123,LimeGreen,32CD32,W3C
124,Linen,FAF0E6,W3C
125,Magenta,FF00FF,W3C
126,MediumAquamarine,66CDAA,W3C
127,MediumBlue,0000CD,W3C
128,MediumOrchid,BA55D3,W3C
129,MediumPurple,9370DB,W3C
130,MediumSeaGreen,3CB371,W3C
131,MediumSlateBlue,7B68EE,W3C
132,MediumSpringGreen,00FA9A,W3C
133,MediumTurquoise,48D1CC,W3C
134,MediumVioletRed,C71585,W3C
135,MidnightBlue,191970,W3C
136,MintCream,F5FFFA,W3C
137,MistyRose,FFE4E1,W3C
138,Moccasin,FFE4B5,W3C
139,NavajoWhite,FFDEAD,W3C
140,OldLace,FDF5E6,W3C
141,OliveDrab,6B8E23,W3C
142,Orange,FFA500,W3C
143,OrangeRed,FF4500,W3C
144,Orchid,DA70D6,W3C
145,PaleGoldenrod,EEE8AA,W3C
146,PaleGreen,98FB98,W3C
147,PaleTurquoise,AFEEEE,W3C
148,PaleVioletRed,DB7093,W3C
149,PapayaWhip,FFEFD5,W3C
150,PeachPuff,FFDAB9,W3C
151,Peru,CD853F,W3C
152,Pink,FFC0CB,W3C
153,Plum,DDA0DD,W3C
154,PowderBlue,B0E0E6,W3C
155,RosyBrown,BC8F8F,W3C
156,RoyalBlue,4169E1,W3C
157,SaddleBrown,8B4513,W3C
158,Salmon,FA8072,W3C
159,SandyBrown,F4A460,W3C
160,SeaGreen,2E8B57,W3C
161,Seashell,FFF5EE,W3C
162,Sienna,A0522D,W3C
163,SkyBlue,87CEEB,W3C
164,SlateBlue,6A5ACD,W3C
165,SlateGray,708090,W3C
166,SlateGrey,708090,W3C
167,Snow,FFFAFA,W3C
168,SpringGreen,00FF7F,W3C
169,SteelBlue,4682B4,W3C
170,Tan,D2B48C,W3C
171,Thistle,D8BFD8,W3C
172,Tomato,FF6347,W3C
173,Turquoise,40E0D0,W3C
174,Violet,EE82EE,W3C
175,Wheat,F5DEB3,W3C
176,WhiteSmoke,F5F5F5,W3C
177,YellowGreen,9ACD32,W3C
178,Snow,FFFAFA,X11
179,GhostWhite,F8F8FF,X11
180,WhiteSmoke,F5F5F5,X11
181,Gainsboro,DCDCDC,X11
182,FloralWhite,FFFAF0,X11
183,OldLace,FDF5E6,X11
184,Linen,FAF0E6,X11
185,AntiqueWhite,FAEBD7,X11
186,PapayaWhip,FFEFD5,X11
187,BlanchedAlmond,FFEBCD,X11
188,Bisque,FFE4C4,X11
189,PeachPuff,FFDAB9,X11
190,NavajoWhite,FFDEAD,X11
191,Moccasin,FFE4B5,X11
192,Cornsilk,FFF8DC,X11
193,Ivory,FFFFF0,X11
194,LemonChiffon,FFFACD,X11
195,Seashell,FFF5EE,X11
196,Honeydew,F0FFF0,X11
197,MintCream,F5FFFA,X11
198,Azure,F0FFFF,X11
199,AliceBlue,F0F8FF,X11
200,Lavender,E6E6FA,X11
201,LavenderBlush,FFF0F5,X11
202,MistyRose,FFE4E1,X11
203,White,FFFFFF,X11
204,Black,000000,X11
205,DarkSlateGray,2F4F4F,X11
206,DarkSlateGrey,2F4F4F,X11
207,DimGray,696969,X11
208,DimGrey,696969,X11
209,SlateGray,708090,X11
210,SlateGrey,708090,X11
211,LightSlateGray,778899,X11
212,LightSlateGrey,778899,X11
213,Gray,BEBEBE,X11
214,Grey,BEBEBE,X11
215,LightGrey,D3D3D3,X11
216,LightGray,D3D3D3,X11
217,MidnightBlue,191970,X11
218,Navy,000080,X11
219,NavyBlue,000080,X11
220,CornflowerBlue,6495ED,X11
221,DarkSlateBlue,483D8B,X11
222,SlateBlue,6A5ACD,X11
223,MediumSlateBlue,7B68EE,X11
224,LightSlateBlue,8470FF,X11
225,MediumBlue,0000CD,X11
226,RoyalBlue,4169E1,X11
227,Blue,0000FF,X11
228,DodgerBlue,1E90FF,X11
229,DeepSkyBlue,00BFFF,X11
230,SkyBlue,87CEEB,X11
231,LightSkyBlue,87CEFA,X11
232,SteelBlue,4682B4,X11
233,LightSteelBlue,B0C4DE,X11
234,LightBlue,ADD8E6,X11
235,PowderBlue,B0E0E6,X11
236,PaleTurquoise,AFEEEE,X11
237,DarkTurquoise,00CED1,X11
238,MediumTurquoise,48D1CC,X11
239,Turquoise,40E0D0,X11
240,Cyan,00FFFF,X11
241,LightCyan,E0FFFF,X11
242,CadetBlue,5F9EA0,X11
243,MediumAquamarine,66CDAA,X11
244,Aquamarine,7FFFD4,X11
245,DarkGreen,006400,X11
246,DarkOliveGreen,556B2F,X11
247,DarkSeaGreen,8FBC8F,X11
248,SeaGreen,2E8B57,X11
249,MediumSeaGreen,3CB371,X11
250,LightSeaGreen,20B2AA,X11
251,PaleGreen,98FB98,X11
252,SpringGreen,00FF7F,X11
253,LawnGreen,7CFC00,X11
254,Green,00FF00,X11
255,Chartreuse,7FFF00,X11
256,MediumSpringGreen,00FA9A,X11
257,GreenYellow,ADFF2F,X11
258,LimeGreen,32CD32,X11
259,YellowGreen,9ACD32,X11
260,ForestGreen,228B22,X11
261,OliveDrab,6B8E23,X11
262,DarkKhaki,BDB76B,X11
263,Khaki,F0E68C,X11
264,PaleGoldenrod,EEE8AA,X11
265,LightGoldenrodYellow,FAFAD2,X11
266,LightYellow,FFFFE0,X11
267,Yellow,FFFF00,X11
268,Gold,FFD700,X11
269,LightGoldenrod,EEDD82,X11
270,Goldenrod,DAA520,X11
271,DarkGoldenrod,B8860B,X11
272,RosyBrown,BC8F8F,X11
273,IndianRed,CD5C5C,X11
274,SaddleBrown,8B4513,X11
275,Sienna,A0522D,X11
276,Peru,CD853F,X11
277,Burlywood,DEB887,X11
278,Beige,F5F5DC,X11
279,Wheat,F5DEB3,X11
280,SandyBrown,F4A460,X11
281,Tan,D2B48C,X11
282,Chocolate,D2691E,X11
283,Firebrick,B22222,X11
284,Brown,A52A2A,X11
285,DarkSalmon,E9967A,X11
286,Salmon,FA8072,X11
