ID,Color,RGB,R,G,B
175,Gray,808080,128,128,128
183,dark red,8B0000,139,0,0
185,fire brick,B22222,178,34,34
186,crimson,DC143C,220,20,60
190,indian red,CD5C5C,205,92,92
191,light coral,F08080,240,128,128
192,dark salmon,E9967A,233,150,122
194,light salmon,FFA07A,255,160,122
195,orange red,FF4500,255,69,0
196,dark orange,FF8C00,255,140,0
199,dark golden rod,B8860B,184,134,11
200,golden rod,DAA520,218,165,32
201,pale golden rod,EEE8AA,238,232,170
202,dark khaki,BDB76B,189,183,107
206,yellow green,9ACD32,154,205,50
207,dark olive green,556B2F,85,107,47
208,olive drab,6B8E23,107,142,35
209,lawn green,7CFC00,124,252,0
210,chart reuse,7FFF00,127,255,0
211,green yellow,ADFF2F,173,255,47
212,dark green,006400,0,100,0
214,forest green,228B22,34,139,34
216,lime green,32CD32,50,205,50
217,light green,90EE90,144,238,144
218,pale green,98FB98,152,251,152
219,dark sea green,8FBC8F,143,188,143
220,medium spring green,00FA9A,0,250,154
222,sea green,2E8B57,46,139,87
223,medium aqua marine,66CDAA,102,205,170
224,medium sea green,3CB371,60,179,113
225,light sea green,20B2AA,32,178,170
226,dark slate gray*,2F4F4F,47,79,79
228,dark cyan,008B8B,0,139,139
230,auqa,00FFFF,0,255,255
231,light cyan,E0FFFF,224,255,255
232,dark turquoise,00CED1,0,206,209
234,medium turquoise,48D1CC,72,209,204
235,pale turquoise,AFEEEE,175,238,238
236,aqua marine,7FFFD4,127,255,212
237,powder blue,B0E0E6,176,224,230
238,cadet blue,5F9EA0,95,158,160
239,steel blue,4682B4,70,130,180
240,corn flowerblue,6495ED,100,149,237
241,deep skyblue,00BFFF,0,191,255
242,dodger blue,1E90FF,30,144,255
243,light blue,ADD8E6,173,216,230
245,light sky blue,87CEFA,135,206,250
246,midnight blue,191970,25,25,112
248,dark blue,00008B,0,0,139
249,medium blue,0000CD,0,0,205
251,royal blue,4169E1,65,105,225
252,blue violet,8A2BE2,138,43,226
253,indigo,4B0082,75,0,130
254,dark slate blue,483D8B,72,61,139
255,slate blue,6A5ACD,106,90,205
256,medium slate blue,7B68EE,123,104,238
257,medium purple,9370DB,147,112,219
258,dark magenta,8B008B,139,0,139
259,dark violet,9400D3,148,0,211
260,dark orchid,9932CC,153,50,204
261,medium orchid,BA55D3,186,85,211
269,medium violet red,C71585,199,21,133
270,pale violet red,DB7093,219,112,147
271,deep pink,FF1493,255,20,147
272,hot pink,FF69B4,255,105,180
273,light pink,FFB6C1,255,182,193
275,antique white,FAEBD7,250,235,215
278,blanched almond,FFEBCD,255,235,205
280,corn silk,FFF8DC,255,248,220
281,lemon chiffon,FFFACD,255,250,205
282,light golden rod yellow,FAFAD2,250,250,210
283,light yellow,FFFFE0,255,255,224
284,saddle brown,8B4513,139,69,19
288,sandy brown,F4A460,244,164,96
289,burly wood,DEB887,222,184,135
291,rosy brown,BC8F8F,188,143,143
293,navajo white,FFDEAD,255,222,173
294,peach puff,FFDAB9,255,218,185
295,misty rose,FFE4E1,255,228,225
296,lavender blush,FFF0F5,255,240,245
298,old lace,FDF5E6,253,245,230
299,papaya whip,FFEFD5,255,239,213
301,mint cream,F5FFFA,245,255,250
302,slate gray,708090,112,128,144
303,light slate gray,778899,119,136,153
304,light slate grey,778899,119,136,153
305,light steel blue,B0C4DE,176,196,222
307,floral white,FFFAF0,255,250,240
308,alice blue,F0F8FF,240,248,255
309,ghost white,F8F8FF,248,248,255
315,dim gray,696969,105,105,105
316,dim grey,696969,105,105,105
317,gray,808080,128,128,128
318,grey,808080,128,128,128
319,dark gray,A9A9A9,169,169,169
320,dark grey,A9A9A9,169,169,169
322,light gray,D3D3D3,211,211,211
323,light grey,D3D3D3,211,211,211
325,white smoke,F5F5F5,245,245,245
