ID,Color,RGB,R,G,B,Access
1109,indian red,B0171F,176,23,31,2037680
1110,crimson,DC143C,220,20,60,3937500
1112,lightpink 1,FFAEB9,255,174,185,12168959
1113,lightpink 2,EEA2AD,238,162,173,11379438
1114,lightpink 3,CD8C95,205,140,149,9800909
1115,lightpink 4,8B5F65,139,95,101,6643595
1117,pink 1,FFB5C5,255,181,197,12957183
1118,pink 2,EEA9B8,238,169,184,12102126
1119,pink 3,CD919E,205,145,158,10392013
1120,pink 4,8B636C,139,99,108,7103371
1122,palevioletred 1,FF82AB,255,130,171,11240191
1123,palevioletred 2,EE799F,238,121,159,10451438
1124,palevioletred 3,CD6889,205,104,137,9005261
1125,palevioletred 4,8B475D,139,71,93,6113163
1126,lavenderblush 1 (lavenderblush),FFF0F5,255,240,245,16118015
1127,lavenderblush 2,EEE0E5,238,224,229,15065326
1128,lavenderblush 3,CDC1C5,205,193,197,12960205
1129,lavenderblush 4,8B8386,139,131,134,8815499
1130,violetred 1,FF3E96,255,62,150,9846527
1131,violetred 2,EE3A8C,238,58,140,9190126
1132,violetred 3,CD3278,205,50,120,7877325
1133,violetred 4,8B2252,139,34,82,5382795
1135,hotpink 1,FF6EB4,255,110,180,11824895
1136,hotpink 2,EE6AA7,238,106,167,10971886
1137,hotpink 3,CD6090,205,96,144,9461965
1138,hotpink 4,8B3A62,139,58,98,6437515
1139,raspberry,872657,135,38,87,5711495
1140,deeppink 1 (deeppink),FF1493,255,20,147,9639167
1141,deeppink 2,EE1289,238,18,137,8983278
1142,deeppink 3,CD1076,205,16,118,7737549
1143,deeppink 4,8B0A50,139,10,80,5245579
1144,maroon 1,FF34B3,255,52,179,11744511
1145,maroon 2,EE30A7,238,48,167,10957038
1146,maroon 3,CD2990,205,41,144,9447885
1147,maroon 4,8B1C62,139,28,98,6429835
1151,orchid 1,FF83FA,255,131,250,16417791
1152,orchid 2,EE7AE9,238,122,233,15301358
1153,orchid 3,CD69C9,205,105,201,13199821
1154,orchid 4,8B4789,139,71,137,8996747
1156,thistle 1,FFE1FF,255,225,255,16769535
1157,thistle 2,EED2EE,238,210,238,15651566
1158,thistle 3,CDB5CD,205,181,205,13481421
1159,thistle 4,8B7B8B,139,123,139,9141131
1160,plum 1,FFBBFF,255,187,255,16759807
1161,plum 2,EEAEEE,238,174,238,15642350
1162,plum 3,CD96CD,205,150,205,13473485
1163,plum 4,8B668B,139,102,139,9135755
1166,magenta (fuchsia*),FF00FF,255,0,255,16711935
1167,magenta 2,EE00EE,238,0,238,15597806
1168,magenta 3,CD00CD,205,0,205,13435085
1169,magenta 4 (darkmagenta),8B008B,139,0,139,9109643
1170,purple*,800080,128,0,128,8388736
1172,mediumorchid 1,E066FF,224,102,255,16738016
1173,mediumorchid 2,D15FEE,209,95,238,15622097
1174,mediumorchid 3,B452CD,180,82,205,13456052
1175,mediumorchid 4,7A378B,122,55,139,9123706
1178,darkorchid 1,BF3EFF,191,62,255,16727743
1179,darkorchid 2,B23AEE,178,58,238,15612594
1180,darkorchid 3,9A32CD,154,50,205,13447834
1181,darkorchid 4,68228B,104,34,139,9118312
1182,indigo,4B0082,75,0,130,8519755
1184,purple 1,9B30FF,155,48,255,16724123
1185,purple 2,912CEE,145,44,238,15608977
1186,purple 3,7D26CD,125,38,205,13444733
1187,purple 4,551A8B,85,26,139,9116245
1189,mediumpurple 1,AB82FF,171,130,255,16745131
1190,mediumpurple 2,9F79EE,159,121,238,15628703
1191,mediumpurple 3,8968CD,137,104,205,13461641
1192,mediumpurple 4,5D478B,93,71,139,9127773
1197,slateblue 1,836FFF,131,111,255,16740227
1198,slateblue 2,7A67EE,122,103,238,15624058
1199,slateblue 3,6959CD,105,89,205,13457769
1200,slateblue 4,473C8B,71,60,139,9124935
1203,blue*,0000FF,0,0,255,16711680
1204,blue 2,0000EE,0,0,238,15597568
1205,blue 3 (mediumblue),0000CD,0,0,205,13434880
1206,blue 4 (darkblue),00008B,0,0,139,9109504
1207,navy*,000080,0,0,128,8388608
1209,cobalt,3D59AB,61,89,171,11229501
1211,royalblue 1,4876FF,72,118,255,16741960
1212,royalblue 2,436EEE,67,110,238,15625795
1213,royalblue 3,3A5FCD,58,95,205,13459258
1214,royalblue 4,27408B,39,64,139,9125927
1217,lightsteelblue 1,CAE1FF,202,225,255,16769482
1218,lightsteelblue 2,BCD2EE,188,210,238,15651516
1219,lightsteelblue 3,A2B5CD,162,181,205,13481378
1220,lightsteelblue 4,6E7B8B,110,123,139,9141102
1221,lightslategray,778899,119,136,153,10061943
1223,slategray 1,C6E2FF,198,226,255,16769734
1224,slategray 2,B9D3EE,185,211,238,15651769
1225,slategray 3,9FB6CD,159,182,205,13481631
1226,slategray 4,6C7B8B,108,123,139,9141100
1227,dodgerblue 1 (dodgerblue),1E90FF,30,144,255,16748574
1228,dodgerblue 2,1C86EE,28,134,238,15631900
1229,dodgerblue 3,1874CD,24,116,205,13464600
1230,dodgerblue 4,104E8B,16,78,139,9129488
1233,steelblue 1,63B8FF,99,184,255,16758883
1234,steelblue 2,5CACEE,92,172,238,15641692
1235,steelblue 3,4F94CD,79,148,205,13472847
1236,steelblue 4,36648B,54,100,139,9135158
1238,lightskyblue 1,B0E2FF,176,226,255,16769712
1239,lightskyblue 2,A4D3EE,164,211,238,15651748
1240,lightskyblue 3,8DB6CD,141,182,205,13481613
1241,lightskyblue 4,607B8B,96,123,139,9141088
1242,skyblue 1,87CEFF,135,206,255,16764551
1243,skyblue 2,7EC0EE,126,192,238,15646846
1244,skyblue 3,6CA6CD,108,166,205,13477484
1245,skyblue 4,4A708B,74,112,139,9138250
1247,deepskyblue 1 (deepskyblue),00BFFF,0,191,255,16760576
1248,deepskyblue 2,00B2EE,0,178,238,15643136
1249,deepskyblue 3,009ACD,0,154,205,13474304
1250,deepskyblue 4,00688B,0,104,139,9136128
1251,peacock,33A1C9,51,161,201,13214003
1253,lightblue 1,BFEFFF,191,239,255,16773055
1254,lightblue 2,B2DFEE,178,223,238,15654834
1255,lightblue 3,9AC0CD,154,192,205,13484186
1256,lightblue 4,68838B,104,131,139,9143144
1258,cadetblue 1,98F5FF,152,245,255,16774552
1259,cadetblue 2,8EE5EE,142,229,238,15656334
1260,cadetblue 3,7AC5CD,122,197,205,13485434
1261,cadetblue 4,53868B,83,134,139,9143891
1262,turquoise 1,00F5FF,0,245,255,16774400
1263,turquoise 2,00E5EE,0,229,238,15656192
1264,turquoise 3,00C5CD,0,197,205,13485312
1265,turquoise 4,00868B,0,134,139,9143808
1268,azure 1 (azure),F0FFFF,240,255,255,16777200
1269,azure 2,E0EEEE,224,238,238,15658720
1270,azure 3,C1CDCD,193,205,205,13487553
1271,azure 4,838B8B,131,139,139,9145219
1272,lightcyan 1 (lightcyan),E0FFFF,224,255,255,16777184
1273,lightcyan 2,D1EEEE,209,238,238,15658705
1274,lightcyan 3,B4CDCD,180,205,205,13487540
1275,lightcyan 4,7A8B8B,122,139,139,9145210
1276,paleturquoise 1,BBFFFF,187,255,255,16777147
1277,paleturquoise 2 (paleturquoise),AEEEEE,174,238,238,15658670
1278,paleturquoise 3,96CDCD,150,205,205,13487510
1279,paleturquoise 4,668B8B,102,139,139,9145190
1281,darkslategray 1,97FFFF,151,255,255,16777111
1282,darkslategray 2,8DEEEE,141,238,238,15658637
1283,darkslategray 3,79CDCD,121,205,205,13487481
1284,darkslategray 4,528B8B,82,139,139,9145170
1285,cyan / aqua*,00FFFF,0,255,255,16776960
1286,cyan 2,00EEEE,0,238,238,15658496
1287,cyan 3,00CDCD,0,205,205,13487360
1288,cyan 4 (darkcyan),008B8B,0,139,139,9145088
1289,teal*,008080,0,128,128,8421376
1292,manganeseblue,03A89E,3,168,158,10397699
1294,coldgrey,808A87,128,138,135,8882816
1295,turquoiseblue,00C78C,0,199,140,9225984
1296,aquamarine 1 (aquamarine),7FFFD4,127,255,212,13959039
1297,aquamarine 2,76EEC6,118,238,198,13037174
1298,aquamarine 3 (mediumaquamarine),66CDAA,102,205,170,11193702
1299,aquamarine 4,458B74,69,139,116,7637829
1303,springgreen 1,00EE76,0,238,118,7794176
1304,springgreen 2,00CD66,0,205,102,6737152
1305,springgreen 3,008B45,0,139,69,4557568
1307,seagreen 1,54FF9F,84,255,159,10485588
1308,seagreen 2,4EEE94,78,238,148,9760334
1309,seagreen 3,43CD80,67,205,128,8441155
1310,seagreen 4 (seagreen),2E8B57,46,139,87,5737262
1311,emeraldgreen,00C957,0,201,87,5753088
1312,mint,BDFCC9,189,252,201,13237437
1313,cobaltgreen,3D9140,61,145,64,4231485
1314,honeydew 1 (honeydew),F0FFF0,240,255,240,15794160
1315,honeydew 2,E0EEE0,224,238,224,14741216
1316,honeydew 3,C1CDC1,193,205,193,12701121
1317,honeydew 4,838B83,131,139,131,8620931
1319,darkseagreen 1,C1FFC1,193,255,193,12713921
1320,darkseagreen 2,B4EEB4,180,238,180,11857588
1321,darkseagreen 3,9BCD9B,155,205,155,10210715
1322,darkseagreen 4,698B69,105,139,105,6916969
1324,palegreen 1,9AFF9A,154,255,154,10157978
1325,palegreen 2 (lightgreen),90EE90,144,238,144,9498256
1326,palegreen 3,7CCD7C,124,205,124,8179068
1327,palegreen 4,548B54,84,139,84,5540692
1330,green 1 (lime*),00FF00,0,255,0,65280
1331,green 2,00EE00,0,238,0,60928
1332,green 3,00CD00,0,205,0,52480
1333,green 4,008B00,0,139,0,35584
1334,green*,008000,0,128,0,32768
1336,sapgreen,308014,48,128,20,1343536
1338,chartreuse 1 (chartreuse),7FFF00,127,255,0,65407
1339,chartreuse 2,76EE00,118,238,0,61046
1340,chartreuse 3,66CD00,102,205,0,52582
1341,chartreuse 4,458B00,69,139,0,35653
1343,darkolivegreen 1,CAFF70,202,255,112,7405514
1344,darkolivegreen 2,BCEE68,188,238,104,6876860
1345,darkolivegreen 3,A2CD5A,162,205,90,5950882
1346,darkolivegreen 4,6E8B3D,110,139,61,4033390
1349,olivedrab 1,C0FF3E,192,255,62,4128704
1350,olivedrab 2,B3EE3A,179,238,58,3862195
1351,olivedrab 3 (yellowgreen),9ACD32,154,205,50,3329434
1352,olivedrab 4,698B22,105,139,34,2263913
1353,ivory 1 (ivory),FFFFF0,255,255,240,15794175
1354,ivory 2,EEEEE0,238,238,224,14741230
1355,ivory 3,CDCDC1,205,205,193,12701133
1356,ivory 4,8B8B83,139,139,131,8620939
1358,lightyellow 1 (lightyellow),FFFFE0,255,255,224,14745599
1359,lightyellow 2,EEEED1,238,238,209,13758190
1360,lightyellow 3,CDCDB4,205,205,180,11849165
1361,lightyellow 4,8B8B7A,139,139,122,8031115
1363,yellow 1 (yellow*),FFFF00,255,255,0,65535
1364,yellow 2,EEEE00,238,238,0,61166
1365,yellow 3,CDCD00,205,205,0,52685
1366,yellow 4,8B8B00,139,139,0,35723
1367,warmgrey,808069,128,128,105,6914176
1368,olive*,808000,128,128,0,32896
1370,khaki 1,FFF68F,255,246,143,9434879
1371,khaki 2,EEE685,238,230,133,8775406
1372,khaki 3,CDC673,205,198,115,7587533
1373,khaki 4,8B864E,139,134,78,5146251
1376,lemonchiffon 1 (lemonchiffon),FFFACD,255,250,205,13499135
1377,lemonchiffon 2,EEE9BF,238,233,191,12577262
1378,lemonchiffon 3,CDC9A5,205,201,165,10865101
1379,lemonchiffon 4,8B8970,139,137,112,7375243
1380,lightgoldenrod 1,FFEC8B,255,236,139,9170175
1381,lightgoldenrod 2,EEDC82,238,220,130,8576238
1382,lightgoldenrod 3,CDBE70,205,190,112,7388877
1383,lightgoldenrod 4,8B814C,139,129,76,5013899
