Shade,Color,R,G,B,RGB
White,Snow,255,250,250,fffafa
White,Snow 2,238,233,233,eee9e9
White,Snow 3,205,201,201,cdc9c9
White,Snow 4,139,137,137,8b8989
White,Ghost White,248,248,255,f8f8ff
White,White Smoke,245,245,245,f5f5f5
White,Gainsboro,220,220,220,dccdc
White,Floral White,255,250,240,fffaf0
White,Old Lace,253,245,230,fdf5e6
White,Linen,240,240,230,faf0e6
White,Antique White,250,235,215,faebd7
White,Antique White 2,238,223,204,eedfcc
White,Antique White 3,205,192,176,cdc0b0
White,Antique White 4,139,131,120,8b8378
White,Papaya Whip,255,239,213,ffefd5
White,Blanched Almond,255,235,205,ffebcd
White,Bisque,255,228,196,ffe4c4
White,Bisque 2,238,213,183,eed5b7
White,Bisque 3,205,183,158,cdb79e
White,Bisque 4,139,125,107,8b7d6b
White,Peach Puff,255,218,185,ffdab9
White,Peach Puff 2,238,203,173,eecbad
White,Peach Puff 3,205,175,149,cdaf95
White,Peach Puff 4,139,119,101,8b7765
White,Navajo White,255,222,173,ffdead
White,Moccasin,255,228,181,ffe4b5
White,Cornsilk,255,248,220,fff8dc
White,Cornsilk 2,238,232,205,eee8dc
White,Cornsilk 3,205,200,177,cdc8b1
White,Cornsilk 4,139,136,120,8b8878
White,Ivory,255,255,240,fffff0
White,Ivory 2,238,238,224,eeeee0
White,Ivory 3,205,205,193,cdcdc1
White,Ivory 4,139,139,131,8b8b83
White,Lemon Chiffon,255,250,205,fffacd
White,Seashell,255,245,238,fff5ee
White,Seashell 2,238,229,222,eee5de
White,Seashell 3,205,197,191,cdc5bf
White,Seashell 4,139,134,130,8b8682
White,Honeydew,240,255,240,f0fff0
White,Honeydew 2,244,238,224,e0eee0
White,Honeydew 3,193,205,193,c1cdc1
White,Honeydew 4,131,139,131,838b83
White,Mint Cream,245,255,250,f5fffa
White,Azure,240,255,255,f0ffff
White,Alice Blue,240,248,255,f0f8ff
White,Lavender,230,230,250,e6e6fa
White,Lavender Blush,255,240,245,fff0f5
