ID,Shade,Color,RGB,R,G,B
3,White,Snow 2,eee9e9,238,233,233
4,White,Snow 3,cdc9c9,205,201,201
5,White,Snow 4,8b8989,139,137,137
6,White,Ghost White,f8f8ff,248,248,255
7,White,White Smoke,f5f5f5,245,245,245
8,White,Gainsboro,"dccdc ",220,220,220
9,White,Floral White,fffaf0,255,250,240
10,White,Old Lace,fdf5e6,253,245,230
12,White,Antique White,faebd7,250,235,215
13,White,Antique White 2,eedfcc,238,223,204
14,White,Antique White 3,cdc0b0,205,192,176
15,White,Antique White 4,8b8378,139,131,120
16,White,Papaya Whip,ffefd5,255,239,213
17,White,Blanched Almond,ffebcd,255,235,205
19,White,Bisque 2,eed5b7,238,213,183
20,White,Bisque 3,cdb79e,205,183,158
21,White,Bisque 4,8b7d6b,139,125,107
22,White,Peach Puff,ffdab9,255,218,185
23,White,Peach Puff 2,eecbad,238,203,173
24,White,Peach Puff 3,cdaf95,205,175,149
25,White,Peach Puff 4,8b7765,139,119,101
26,White,Navajo White,ffdead,255,222,173
29,White,Cornsilk 2,eee8dc,238,232,205
30,White,Cornsilk 3,cdc8b1,205,200,177
31,White,Cornsilk 4,8b8878,139,136,120
33,White,Ivory 2,eeeee0,238,238,224
34,White,Ivory 3,cdcdc1,205,205,193
35,White,Ivory 4,8b8b83,139,139,131
36,White,Lemon Chiffon,fffacd,255,250,205
38,White,Seashell 2,eee5de,238,229,222
39,White,Seashell 3,cdc5bf,205,197,191
40,White,Seashell 4,8b8682,139,134,130
42,White,Honeydew 2,e0eee0,244,238,224
43,White,Honeydew 3,c1cdc1,193,205,193
44,White,Honeydew 4,838b83,131,139,131
45,White,Mint Cream,f5fffa,245,255,250
47,White,Alice Blue,f0f8ff,240,248,255
49,White,Lavender Blush,fff0f5,255,240,245
50,White,Misty Rose,ffe4e1,255,228,225
53,Grey,Dark Slate Gray,2f4f4f,49,79,79
54,Grey,Dim Gray,696969,105,105,105
55,Grey,Slate Gray,708090,112,138,144
56,Grey,Light Slate Gray,778899,119,136,153
57,Grey,Gray,bebebe,190,190,190
58,Grey,Light Gray,d3d3d3,211,211,211
59,Blue,Midnight Blue,191970,25,25,112
61,Blue,Cornflower Blue,6495ed,100,149,237
62,Blue,Dark Slate Blue,483d8b,72,61,139
63,Blue,Slate Blue,6a5acd,106,90,205
64,Blue,Medium Slate Blue,7b68ee,123,104,238
65,Blue,Light Slate Blue,8470ff,132,112,255
66,Blue,Medium Blue,0000cd,0,0,205
67,Blue,Royal Blue,4169e1,65,105,225
69,Blue,Dodger Blue,1e90ff,30,144,255
70,Blue,Deep Sky Blue,00bfff,0,191,255
71,Blue,Sky Blue,87ceeb,135,206,250
72,Blue,Light Sky Blue,87cefa,135,206,250
73,Blue,Steel Blue,4682b4,70,130,180
74,Blue,Light Steel Blue,b0c4de,176,196,222
75,Blue,Light Blue,add8e6,173,216,230
76,Blue,Powder Blue,b0e0e6,176,224,230
77,Blue,Pale Turquoise,afeeee,175,238,238
78,Blue,Dark Turquoise,00ced1,0,206,209
79,Blue,Medium Turquoise,48d1cc,72,209,204
82,Blue,Light Cyan,e0ffff,224,255,255
83,Blue,Cadet Blue,5f9ea0,95,158,160
84,Green,Medium Aquamarine,66cdaa,102,205,170
86,Green,Dark Green,006400,0,100,0
87,Green,Dark Olive Green,556b2f,85,107,47
88,Green,Dark Sea Green,8fbc8f,143,188,143
89,Green,Sea Green,2e8b57,46,139,87
90,Green,Medium Sea Green,3cb371,60,179,113
91,Green,Light Sea Green,20b2aa,32,178,170
92,Green,Pale Green,98fb98,152,251,152
94,Green,Lawn Green,7cfc00,124,252,0
96,Green,Medium Spring Green,00fa9a,0,250,154
97,Green,Green Yellow,adff2f,173,255,47
98,Green,Lime Green,32cd32,50,205,50
99,Green,Yellow Green,9acd32,154,205,50
100,Green,Forest Green,228b22,34,139,34
101,Green,Olive Drab,6b8e23,107,142,35
102,Green,Dark Khaki,bdb76b,189,183,107
104,Yellow,Pale Goldenrod,eee8aa,238,232,170
105,Yellow,Light Goldenrod Yellow,fafad2,250,250,210
106,Yellow,Light Yellow,ffffe0,255,255,224
109,Yellow,Light Goldenrod,eedd82,238,221,130
111,Yellow,Dark Goldenrod,b8860b,184,134,11
112,Brown,Rosy Brown,bc8f8f,188,143,143
113,Brown,Indian Red,cd5c5c,205,92,92
114,Brown,Saddle Brown,8b4513,139,69,19
120,Brown,Sandy Brown,f4a460,244,164,96
125,Orange,Dark Salmon,e9967a,233,150,122
127,Orange,Light Salmon,ffa07a,255,160,122
129,Orange,Dark Orange,ff8c00,255,140,0
131,Orange,Light Coral,f08080,240,128,128
133,Orange,Orange Red,ff4500,255,69,0
135,Pink/Violet,Hot Pink,ff69b4,255,105,180
136,Pink/Violet,Deep Pink,ff1493,255,20,147
138,Pink/Violet,Light Pink,ffb6c1,255,182,193
139,Pink/Violet,Pale Violet Red,db7093,219,112,147
141,Pink/Violet,Medium Violet Red,c71585,199,21,133
142,Pink/Violet,Violet Red,d02090,208,32,144
146,Pink/Violet,Medium Orchid,ba55d3,186,85,211
147,Pink/Violet,Dark Orchid,9932cc,153,50,204
148,Pink/Violet,Dark Violet,9400d3,148,0,211
149,Pink/Violet,Blue Violet,8a2be2,138,43,226
151,Pink/Violet,Medium Purple,9370db,147,112,219
