N,Color,Hex Code,R,G,B,Pack added,Issued,Retired,Notes
1,Almond,EFDECD,239,222,205,120,1998,0,
2,Antique Brass,CD9575,205,149,117,120,1998,0,Metallic.
3,Apricot,FDD9B5,253,217,181,24,1949,0,
4,Aquamarine,78DBE2,120,219,226,64,1958,0,
5,Asparagus,87A96B,135,169,107,96,1993,0,
6,Atomic Tangerine,FFA474,255,164,116,72,1972,0,"Renamed from ""Ultra Yellow"" in 1990. Fluorescent."
7,Banana Mania,FAE7B5,250,231,181,120,1998,0,
8,Beaver,9F8170,159,129,112,120,1998,0,
9,Bittersweet,FD7C6E,253,124,110,48,1949,0,
10,Black,000000,0,8,1903,0,0,0,
11,Blizzard Blue,ACE5EE,172,229,238,72,1972,2003,"Renamed from ""Ultra Blue"" in 1990. Fluorescent."
12,Blue,1F75FE,31,117,254,8,1903,0,
13,Blue Bell,A2A2D0,162,162,208,120,1998,0,
14,Blue Gray,6699CC,102,153,204,64,1958,1990,
15,Blue Green,0D98BA,13,152,186,16,1949,0,
16,Blue Violet,7366BD,115,102,189,16,1949,0,
17,Blush,DE5D83,222,93,131,120,1998,0,"Renamed from ""Cranberry"" in 2000."
18,Brick Red,CB4154,203,65,84,48,1949,0,
19,Brown,B4674D,180,103,77,8,1903,0,
20,Burnt Orange,FF7F49,255,127,73,64,1958,0,
21,Burnt Sienna,EA7E5D,234,126,93,48,1949,0,
22,Cadet Blue,B0B7C6,176,183,198,64,1958,0,
23,Canary,FFFF99,255,255,153,120,1998,0,
24,Caribbean Green,1CD3A2,28,211,162,120,1998,0,
25,Carnation Pink,FFAACC,255,170,204,16,1949,0,
26,Cerise,DD4492,221,68,146,96,1993,0,
27,Cerulean,1DACD6,29,172,214,24,1990,0,
28,Chestnut,BC5D58,188,93,88,64,1958,0,"Renamed from ""Indian Red"" in 1999."
29,Copper,DD9475,221,148,117,64,1958,0,Metallic.
30,Cornflower,9ACEEB,154,206,235,48,1949,0,
31,Cotton Candy,FFBCD9,255,188,217,120,1998,0,
32,Dandelion,FDDB6D,253,219,109,24,1990,0,
33,Denim,2B6CC4,43,108,196,96,1993,0,
34,Desert Sand,EFCDB8,239,205,184,120,1998,0,
35,Eggplant,6E5160,110,81,96,120,1998,0,
36,Electric Lime,CEFF1D,206,255,29,80,1990,0,Fluorescent.
37,Fern,71BC78,113,188,120,120,1998,0,
38,Forest Green,6DAE81,109,174,129,64,1958,0,
39,Fuchsia,C364C5,195,100,197,80,1990,0,
40,Fuzzy Wuzzy,CC6666,204,102,102,120,1998,0,
41,Gold,E7C697,231,198,151,48,1949,0,Metallic.
42,Goldenrod,FCD975,252,217,117,64,1958,0,
43,Granny Smith Apple,A8E4A0,168,228,160,96,1993,0,
44,Gray,95918C,149,145,140,24,1949,0,
45,Green,1CAC78,28,172,120,8,1903,0,
46,Green Blue,1164B4,17,100,180,48,1949,1990,
47,Green Yellow,F0E891,240,232,145,24,1949,0,
48,Hot Magenta,FF1DCE,255,29,206,72,1972,0,Fluorescent.
49,Inchworm,B2EC5D,178,236,93,120,2003,0,
50,Indigo,5D76CB,93,118,203,24,2000,0,
51,Jazzberry Jam,CA3767,202,55,103,120,2003,0,
52,Jungle Green,3BB08F,59,176,143,80,1990,0,
53,Laser Lemon,FEFE22,254,254,34,72,1972,0,"Renamed from ""Chartreuse"" in 1990. Fluorescent."
54,Lavender,FCB4D5,252,180,213,64,1958,0,
55,Lemon Yellow,FFF44F,255,244,79,48,1949,1990,
56,Macaroni and Cheese,FFBD88,255,189,136,96,1993,0,
57,Magenta,F664AF,246,100,175,48,1949,0,
58,Magic Mint,AAF0D1,170,240,209,120,1990,2003,Fluorescent.
59,Mahogany,CD4A4C,205,74,76,48,1949,0,
60,Maize,EDD19C,237,209,156,48,1949,1990,
61,Manatee,979AAA,151,154,170,120,1998,0,
62,Mango Tango,FF8243,255,130,67,120,2003,0,
63,Maroon,C8385A,200,56,90,48,1949,0,
64,Mauvelous,EF98AA,239,152,170,96,1993,0,
65,Melon,FDBCB4,253,188,180,48,1949,0,
66,Midnight Blue,1A4876,26,72,118,48,1949,0,"Renamed from ""Prussian Blue"" in 1958."
67,Mountain Meadow,30BA8F,48,186,143,120,1998,0,
68,Mulberry,C54B8C,197,75,140,64,1958,2003,
69,Navy Blue,1974D2,25,116,210,64,1958,0,
70,Neon Carrot,FFA343,255,163,67,80,1990,0,Fluorescent.
71,Olive Green,BAB86C,186,184,108,48,1949,0,
72,Orange,FF7538,255,117,56,8,1903,0,
73,Orange Red,FF2B2B,255,43,43,48,1949,1990,
74,Orange Yellow,F8D568,248,213,104,48,1949,1990,
75,Orchid,E6A8D7,230,168,215,48,1949,0,
76,Outer Space,414A4C,65,74,76,120,1998,0,
77,Outrageous Orange,FF6E4A,255,110,74,72,1972,0,"Renamed from ""Ultra Orange"" in 1990. Fluorescent."
78,Pacific Blue,1CA9C9,28,169,201,96,1993,0,
79,Peach,FFCFAB,255,207,171,48,1949,0,"Renamed from ""Flesh"" in 1962."
80,Periwinkle,C5D0E6,197,208,230,48,1949,0,
81,Piggy Pink,FDDDE6,253,221,230,120,1998,0,
82,Pine Green,158078,21,128,120,48,1949,0,
83,Pink Flamingo,FC74FD,252,116,253,120,1998,0,Fluorescent.
84,Pink Sherbert,F78FA7,247,143,167,120,1998,0,"Renamed from ""Brink Pink"" in 2000."
85,Plum,8E4585,142,69,133,64,1958,0,
86,Purple Heart,7442C8,116,66,200,120,1998,0,
87,Purple Mountain's Majesty,9D81BA,157,129,186,96,1993,0,
88,Purple Pizzazz,FE4EDA,254,78,218,80,1990,0,Fluorescent.
89,Radical Red,FF496C,255,73,108,80,1990,0,Fluorescent.
90,Raw Sienna,D68A59,214,138,89,64,1958,0,
91,Raw Umber,714B23,113,75,35,64,1958,1990,
92,Razzle Dazzle Rose,FF48D0,255,72,208,80,1990,0,Fluorescent.
93,Razzmatazz,E3256B,227,37,107,96,1993,0,
94,Red,EE204D,23832,77,8,1903,0,0,
95,Red Orange,FF5349,255,83,73,16,1949,0,
96,Red Violet,C0448F,192,68,143,16,1949,0,
97,Robin's Egg Blue,1FCECB,31,206,203,96,1993,0,
98,Royal Purple,7851A9,120,81,169,96,1990,0,
99,Salmon,FF9BAA,255,155,170,48,1949,0,
100,Scarlet,FC2847,252,40,71,24,1998,0,"Renamed from ""Torch Red"" in 2000."
