RGB,Color
000000,Black
100C08,Smoky black
000080,Navy blue
00008B,Dark blue
00009C,Duke blue
1A1110,Licorice
0000CD,Medium blue
000F89,Phthalo blue
3D0C02,Black bean
480607,Bulgarian rose
2C1608,Zinnwaldite brown
002147,Oxford Blue
120A8F,Ultramarine
321414,Seal brown
0000FF,Blue
560319,Dark scarlet
0014A8,Zaffre
65000B,Rosewood
3C1414,Dark sienna
002366,Royal blue (traditional)
1A2421,Dark jungle green
013220,Dark green
191970,Midnight blue
002387,Resolution blue
4B0082,Indigo
002395,Imperial blue
003153,Prussian blue
800000,Maroon
002E63,Cool black
66023C,Tyrian purple
1C2841,Yankees blue
32127A,Persian indigo
062A78,Catalina blue
123524,Phthalo green
232B2B,Charleston green
8B0000,Dark red
003366,Dark midnight blue
800020,Burgundy
1D2951,Space cadet
860111,Red devil
004225,British racing green
7C0A02,Barn red
014421,Forest green (traditional)
014421,UP Forest green
00308F,Air Force blue (USAF)
1C352D,Medium jungle green
92000A,Sangria
004040,Rich black
990000,OU Crimson Red
990000,Stizza
990000,USC Cardinal
004242,Warm black
002FA7,International Klein Blue
253529,Black leather jacket
3D2B1F,Bistre
003399,Dark powder blue
003399,Smalt
960018,Carmine
3F00FF,Electric ultramarine
23297A,St. Patrick's blue
7B1113,UP Maroon
A40000,Dark candy apple red
0033AA,UA blue
00416A,Dark imperial blue
00416A,Indigo (dye)
3C341F,Olive Drab #7
343434,Jet
0038A8,Royal azure
21421E,Myrtle
1C1CF0,Bluebonnet
004953,Midnight green (eagle green)
004B49,Deep jungle green
800080,Patriarch
800080,Purple
701C1C,Persian plum
701C1C,Prune
592720,Caput mortuum
43302E,Old burgundy
7C1C05,Kenyan copper
1034A6,Egyptian blue
18453B,MSU Green
801818,Falu red
353839,Onyx
7D1242,Diamond
880085,Mardi Gras
08457E,Dark cerulean
7F1734,Claret
8B008B,Dark magenta
00563F,Castleton green
00563F,Sacramento State green
4B3621,Café noir
78184A,Pansy purple
3B3C36,Black olive
AE0C00,Mordant red 19
1E4D2B,Cal Poly green
9B111E,Ruby red
006600,Pakistan green
195905,Lincoln green
1B4D3E,Brunswick green
1B4D3E,English green
841B2D,Antique ruby
8601AF,Violet (RYB)
CC0000,Boston University Red
0047AB,Cobalt
6F00FF,Electric indigo
6F00FF,Indigo
483C32,Dark lava
483C32,Dark taupe
483C32,Taupe
BE0032,Crimson glory
C90016,Harvard crimson
333399,Blue (pigment)
1C39BB,Persian blue
D40000,Rosso corsa
004F98,USAFA blue
035096,Medium electric blue
682860,Palatinate purple
522D80,Regalia
C40233,Red (NCS)
36454F,Charcoal
3B444B,Arsenic
0F4D92,Yale Blue
A50B5E,Jazzberry jam
C80815,Venetian red
7F00FF,Violet
5218FA,Han purple
A81C07,Rufous
414833,Rifle green
673147,Old mauve
673147,Wine dregs
722F37,Wine
9400D3,Dark violet
602F6B,Imperial
702963,Byzantium
2F4F4F,Dark slate gray
006B3C,Cadmium green
882D17,Kobe
882D17,Sienna
BA160C,International orange (engineering)
9F00C5,Purple (Munsell)
50404D,Purple taupe
D3003F,Utah Crimson
D10047,Spanish carmine
9F1D35,Vivid burgundy
922724,Vivid auburn
5D3954,Dark byzantium
E8000D,KU Crimson
006A4E,Bottle green
0247FE,Blue (RYB)
414A4C,Outer Space
D70040,Carmine (M&P)
D70040,Rich carmine
E30022,Cadmium red
8F00FF,Electric violet
8F00FF,Violet
273BE2,Palatinate blue
D10056,Rubine red
B31B1B,Carnelian
B31B1B,Cornell Red
00703C,Dartmouth green
872657,Dark raspberry
663854,Halayá úbe
483D8B,Dark slate blue
654321,Dark brown
654321,Otter brown
D9004C,UA red
C30B4E,Pictorial carmine
7B3F00,Chocolate (traditional)
0F52BA,Sapphire
704214,Sepia
4B5320,Army green
CF1020,Lava
008000,Ao
654321,Green
654321,Office green
8A3324,Burnt umber
AE2029,Upsdell red
51484F,Quartz
614051,Eggplant
9C2542,Big dip o'ruby
6B4423,Brown-nose
6B4423,Flattery
E2062C,Medium candy apple red
FF0000,Red
A9203E,Deep carmine
9F00FF,Vivid violet
AC1E44,French wine
126180,Blue sapphire
B22222,Firebrick
A32638,Alabama Crimson
355E3B,Hunter green
534B4F,Liver
66424D,Deep Tuscan red
087830,La Salle Green
006994,Sea blue
324AB2,Violet-blue
6F2DA8,Grape
A52A2A,Auburn
A52A2A,Brown
A52A2A,Red-brown
214FC6,New Car
58427C,Cyber Grape
F2003C,Red (Munsell)
0067A5,Medium Persian blue
0067A5,Sapphire blue
00755E,Tropical rain forest
D70A53,Debian red
704241,Deep coffee
69359C,Purple Heart
873260,Boysenberry
FF0028,Ruddy
FF0800,Candy apple red
465945,Gray-asparagus
674846,Rose ebony
007474,Skobeloff
177245,Dark spring green
2E5894,B'dazzled Blue
E4007C,Mexican pink
2A52BE,Cerulean blue
80461B,Russet
FF0038,Carmine red
79443B,Bole
79443B,Medium Tuscan red
C41E3A,Cardinal
FF003F,Electric crimson
674C47,Medium taupe
01796F,Pine green
006DB0,Honolulu blue
1560BD,Denim
8B4513,Saddle brown
CC00CC,Deep magenta
DC143C,Crimson
009000,Islamic green
E30B5D,Raspberry
555555,Davy's grey
6C541E,Field drab
CE2029,Fire engine red
FF033E,American rose
635147,Umber
6F4E37,Coffee
6F4E37,Tuscan brown
FF004F,Folly
893F45,Cordovan
C32148,Bright maroon
C32148,Maroon (Crayola)
26619C,Lapis lazuli
BF00FF,Electric purple
138808,India green
843F5B,Deep ruby
C71585,Medium violet-red
C71585,Red-violet
4D5D53,Feldgrau
AA381E,Chinese red
933D41,Smokey topaz
7C4848,Tuscan red
2A8000,Napier green
E0115F,Ruby
0072BB,French blue
665D1E,Antique bronze
645452,Wenge
964B00,Brown (traditional)
555D50,Ebony
008080,Teal
FD0E35,Scarlet (Crayola)
FD0E35,Tractor red
CC00FF,Vivid orchid
D71868,Dogwood rose
007AA5,CG Blue
FF007F,Bright pink
FF007F,Rose
00827F,Teal green
954535,Chestnut
0073CF,True Blue
E62020,Lust
007BA7,Celadon Blue
007BA7,Cerulean
F400A1,Fashion fuchsia
F400A1,Hollywood cerise
ED1C24,Red (pigment)
0077BE,Ocean Boat Blue
B03060,Maroon (X11)
B03060,Rich maroon
059033,North Texas Green
8A2BE2,Blue-violet
E51A4C,Spanish crimson
CA1F7B,Magenta (dye)
FF0090,Magenta (process)
0A7E8C,Metallic Seaweed
4A646C,Deep Space Sparkle
007BBB,Star command blue
C72C48,French raspberry
556B2F,Dark olive green
A020F0,Purple (X11)
A020F0,Veronica
C0362C,International orange (Golden Gate Bridge)
B7410E,Rust
0070FF,Brandeis blue
C04000,Mahogany
4F666A,Stormcloud
228B22,Forest green
DF00FF,Phlox
DF00FF,Psychedelic purple
AF4035,Medium carmine
AF4035,Pale carmine
8A496B,Twilight lavender
E32636,Alizarin crimson
E32636,Rose madder
C23B22,Dark pastel red
CC3333,Persian red
5A4FCF,Iris
