RGB,Color,Note,w3c
5D8AA8,Air Force blue,Air Force blue,
F0F8FF,Alice blue,Alice blue,
E32636,Alizarin crimson,Alizarin crimson (color),
EFDECD,Almond,List of Crayola crayon colors#Standard Colors,
E52B50,Amaranth,Amaranth (color),
FFBF00,Amber,Amber (color),
FF7E00,Amber (SAE/ECE),Amber (color)#SAE/ECE amber,
FF033E,American rose,Rose (color)#American Rose,
9966CC,Amethyst,Amethyst (color),
A4C639,Android Green,Android (operating system)#Marketing,
F2F3F4,Anti-flash white,Anti-flash white,
CD9575,Antique brass,List of Crayola crayon colors#Standard Colors,
915C83,Antique fuchsia,Fuchsia (color)#Antique fuchsia,
FAEBD7,Antique white,Shades of white#Antique white,
008000,Ao (English),Ao (color),
8DB600,Apple green,Chartreuse (color)#Apple green,
FBCEB1,Apricot,Apricot (color),
00FFFF,Aqua,Aqua (color),
7FFFD4,Aquamarine,Aquamarine (color),
4B5320,Army green,Variations of green#Army green,
3B444B,Arsenic,Arsenic,
E9D66B,Arylide yellow,Arylide yellow,
B2BEB5,Ash grey,Ash grey,
87A96B,Asparagus,Variations of green#Asparagus,
FF9966,Atomic tangerine,Variations of orange#Atomic tangerine,
A52A2A,Auburn,Auburn hair#The color auburn,
FDEE00,Aureolin,Aureolin,
6E7F80,AuroMetalSaurus,List of Crayola colored pencil colors#Standard colors,
FF2052,Awesome,Awesome,
007FFF,Azure,Azure (color),
F0FFFF,Azure mist/web,Azure (color)#Azure mist (web color azure),
89CFF0,Baby blue,Baby blue,
A1CAF1,Baby blue eyes,Baby blue#Baby blue eyes,
F4C2C2,Baby pink,Variations of pink#Baby pink,
21ABCD,Ball Blue,List of Crayola colored pencil colors#Standard colors,
FAE7B5,Banana Mania,List of Crayola crayon colors#Standard Colors,
FFE135,Banana yellow,Banana,
848482,Battleship grey,Battleship grey,
98777B,Bazaar,Rose (color)#Bazaar-Marinia,
BCD4E6,Beau blue,Baby blue#Beau blue,
9F8170,Beaver,Beaver (color),
