Color,RGB,R,G,B
White,FFFFFF,255,255,255
Ivory,FFFFF0,255,255,240
Ivory1,FFFFF0,255,255,240
LightYellow,FFFFE0,255,255,224
LightYellow1,FFFFE0,255,255,224
Yellow,FFFF00,255,255,0
Yellow1,FFFF00,255,255,0
Snow,FFFAFA,255,250,250
Snow1,FFFAFA,255,250,250
FloralWhite,FFFAF0,255,250,240
LemonChiffon,FFFACD,255,250,205
LemonChiffon1,FFFACD,255,250,205
Cornsilk,FFF8DC,255,248,220
Cornsilk1,FFF8DC,255,248,220
Khaki1,FFF68F,255,246,143
Seashell,FFF5EE,255,245,238
Seashell1,FFF5EE,255,245,238
LavenderBlush,FFF0F5,255,240,245
LavenderBlush1,FFF0F5,255,240,245
AntiqueWhite1,FFEFDB,255,239,219
PapayaWhip,FFEFD5,255,239,213
LightGoldenrod1,FFEC8B,255,236,139
BlanchedAlmond,FFEBCD,255,235,205
Wheat1,FFE7BA,255,231,186
MistyRose,FFE4E1,255,228,225
MistyRose1,FFE4E1,255,228,225
Bisque,FFE4C4,255,228,196
Bisque1,FFE4C4,255,228,196
Moccasin,FFE4B5,255,228,181
Thistle1,FFE1FF,255,225,255
NavajoWhite,FFDEAD,255,222,173
NavajoWhite1,FFDEAD,255,222,173
PeachPuff,FFDAB9,255,218,185
PeachPuff1,FFDAB9,255,218,185
Gold,FFD700,255,215,0
Gold1,FFD700,255,215,0
Burlywood1,FFD39B,255,211,155
RosyBrown1,FFC1C1,255,193,193
Goldenrod1,FFC125,255,193,37
Pink,FFC0CB,255,192,203
Plum1,FFBBFF,255,187,255
DarkGoldenrod1,FFB90F,255,185,15
LightPink,FFB6C1,255,182,193
Pink1,FFB5C5,255,181,197
LightPink1,FFAEB9,255,174,185
Tan1,FFA54F,255,165,79
Orange,FFA500,255,165,0
Orange1,FFA500,255,165,0
LightSalmon,FFA07A,255,160,122
LightSalmon1,FFA07A,255,160,122
Salmon1,FF8C69,255,140,105
DarkOrange,FF8C00,255,140,0
Orchid1,FF83FA,255,131,250
PaleVioletRed1,FF82AB,255,130,171
Sienna1,FF8247,255,130,71
Coral,FF7F50,255,127,80
Chocolate1,FF7F24,255,127,36
DarkOrange1,FF7F00,255,127,0
Coral1,FF7256,255,114,86
HotPink1,FF6EB4,255,110,180
IndianRed1,FF6A6A,255,106,106
HotPink,FF69B4,255,105,180
Tomato,FF6347,255,99,71
Tomato1,FF6347,255,99,71
OrangeRed,FF4500,255,69,0
OrangeRed1,FF4500,255,69,0
Brown1,FF4040,255,64,64
VioletRed1,FF3E96,255,62,150
Maroon1,FF34B3,255,52,179
Firebrick1,FF3030,255,48,48
DeepPink,FF1493,255,20,147
DeepPink1,FF1493,255,20,147
Magenta,FF00FF,255,0,255
Magenta1,FF00FF,255,0,255
Red,FF0000,255,0,0
Red1,FF0000,255,0,0
OldLace,FDF5E6,253,245,230
LtGoldenrodYello,FAFAD2,250,250,210
Linen,FAF0E6,250,240,230
AntiqueWhite,FAEBD7,250,235,215
Salmon,FA8072,250,128,114
GhostWhite,F8F8FF,248,248,255
MintCream,F5FFFA,245,255,250
WhiteSmoke,F5F5F5,245,245,245
Beige,F5F5DC,245,245,220
Wheat,F5DEB3,245,222,179
SandyBrown,F4A460,244,164,96
Azure,F0FFFF,240,255,255
Azure1,F0FFFF,240,255,255
Honeydew,F0FFF0,240,255,240
Honeydew1,F0FFF0,240,255,240
AliceBlue,F0F8FF,240,248,255
LightCoral,F08080,240,128,128
Ivory2,EEEEE0,238,238,224
LightYellow2,EEEED1,238,238,209
Yellow2,EEEE00,238,238,0
Snow2,EEE9E9,238,233,233
LemonChiffon2,EEE9BF,238,233,191
Cornsilk2,EEE8CD,238,232,205
PaleGoldenrod,EEE8AA,238,232,170
Khaki2,EEE685,238,230,133
Seashell2,EEE5DE,238,229,222
LavenderBlush2,EEE0E5,238,224,229
AntiqueWhite2,EEDFCC,238,223,204
LightGoldenrod,EEDD82,238,221,130
LightGoldenrod2,EEDC82,238,220,130
Wheat2,EED8AE,238,216,174
MistyRose2,EED5D2,238,213,210
Bisque2,EED5B7,238,213,183
Thistle2,EED2EE,238,210,238
NavajoWhite2,EECFA1,238,207,161
PeachPuff2,EECBAD,238,203,173
Gold2,EEC900,238,201,0
Burlywood2,EEC591,238,197,145
RosyBrown2,EEB4B4,238,180,180
Goldenrod2,EEB422,238,180,34
Plum2,EEAEEE,238,174,238
DarkGoldenrod2,EEAD0E,238,173,14
Pink2,EEA9B8,238,169,184
LightPink2,EEA2AD,238,162,173
Tan2,EE9A49,238,154,73
Orange2,EE9A00,238,154,0
LightSalmon2,EE9572,238,149,114
Violet,EE82EE,238,130,238
Salmon2,EE8262,238,130,98
Orchid2,EE7AE9,238,122,233
PaleVioletRed2,EE799F,238,121,159
Sienna2,EE7942,238,121,66
Chocolate2,EE7621,238,118,33
DarkOrange2,EE7600,238,118,0
HotPink2,EE6AA7,238,106,167
Coral2,EE6A50,238,106,80
IndianRed2,EE6363,238,99,99
Tomato2,EE5C42,238,92,66
OrangeRed2,EE4000,238,64,0
Brown2,EE3B3B,238,59,59
VioletRed2,EE3A8C,238,58,140
Maroon2,EE30A7,238,48,167
Firebrick2,EE2C2C,238,44,44
DeepPink2,EE1289,238,18,137
Magenta2,EE00EE,238,0,238
Red2,EE0000,238,0,0
DarkSalmon,E9967A,233,150,122
Gray91,E8E8E8,232,232,232
Lavender,E6E6FA,230,230,250
LightCyan,E0FFFF,224,255,255
LightCyan1,E0FFFF,224,255,255
Azure2,E0EEEE,224,238,238
Honeydew2,E0EEE0,224,238,224
MediumOrchid1,E066FF,224,102,255
Burlywood,DEB887,222,184,135
Plum,DDA0DD,221,160,221
Gainsboro,DCDCDC,220,220,220
PaleVioletRed,DB7093,219,112,147
Goldenrod,DAA520,218,165,32
Orchid,DA70D6,218,112,214
Thistle,D8BFD8,216,191,216
LightGray,D3D3D3,211,211,211
Tan,D2B48C,210,180,140
Chocolate,D2691E,210,105,30
LightCyan2,D1EEEE,209,238,238
MediumOrchid2,D15FEE,209,95,238
VioletRed,D02090,208,32,144
Gray81,CFCFCF,207,207,207
Ivory3,CDCDC1,205,205,193
LightYellow3,CDCDB4,205,205,180
Yellow3,CDCD00,205,205,0
Snow3,CDC9C9,205,201,201
LemonChiffon3,CDC9A5,205,201,165
Cornsilk3,CDC8B1,205,200,177
Khaki3,CDC673,205,198,115
Seashell3,CDC5BF,205,197,191
LavenderBlush3,CDC1C5,205,193,197
AntiqueWhite3,CDC0B0,205,192,176
LightGoldenrod3,CDBE70,205,190,112
Wheat3,CDBA96,205,186,150
MistyRose3,CDB7B5,205,183,181
Bisque3,CDB79E,205,183,158
Thistle3,CDB5CD,205,181,205
NavajoWhite3,CDB38B,205,179,139
PeachPuff3,CDAF95,205,175,149
Gold3,CDAD00,205,173,0
Burlywood3,CDAA7D,205,170,125
RosyBrown3,CD9B9B,205,155,155
Goldenrod3,CD9B1D,205,155,29
Plum3,CD96CD,205,150,205
DarkGoldenrod3,CD950C,205,149,12
Pink3,CD919E,205,145,158
LightPink3,CD8C95,205,140,149
Peru,CD853F,205,133,63
Tan3,CD853F,205,133,63
Orange3,CD8500,205,133,0
LightSalmon3,CD8162,205,129,98
Salmon3,CD7054,205,112,84
Orchid3,CD69C9,205,105,201
PaleVioletRed3,CD6889,205,104,137
Sienna3,CD6839,205,104,57
Chocolate3,CD661D,205,102,29
DarkOrange3,CD6600,205,102,0
HotPink3,CD6090,205,96,144
IndianRed,CD5C5C,205,92,92
Coral3,CD5B45,205,91,69
IndianRed3,CD5555,205,85,85
Tomato3,CD4F39,205,79,57
OrangeRed3,CD3700,205,55,0
Brown3,CD3333,205,51,51
VioletRed3,CD3278,205,50,120
Maroon3,CD2990,205,41,144
Firebrick3,CD2626,205,38,38
DeepPink3,CD1076,205,16,118
Magenta3,CD00CD,205,0,205
Red3,CD0000,205,0,0
DarkOliveGreen1,CAFF70,202,255,112
LightSteelBlue1,CAE1FF,202,225,255
MediumVioletRed,C71585,199,21,133
SlateGray1,C6E2FF,198,226,255
DarkSeaGreen1,C1FFC1,193,255,193
Azure3,C1CDCD,193,205,205
Honeydew3,C1CDC1,193,205,193
OliveDrab1,C0FF3E,192,255,62
LightBlue1,BFEFFF,191,239,255
DarkOrchid1,BF3EFF,191,62,255
Grey,BEBEBE,190,190,190
DarkKhaki,BDB76B,189,183,107
DarkOliveGreen2,BCEE68,188,238,104
LightSteelBlue2,BCD2EE,188,210,238
RosyBrown,BC8F8F,188,143,143
PaleTurquoise1,BBFFFF,187,255,255
MediumOrchid,BA55D3,186,85,211
SlateGray2,B9D3EE,185,211,238
DarkGoldenrod,B8860B,184,134,11
Grey71,B5B5B5,181,181,181
DarkSeaGreen2,B4EEB4,180,238,180
LightCyan3,B4CDCD,180,205,205
MediumOrchid3,B452CD,180,82,205
OliveDrab2,B3EE3A,179,238,58
LightBlue2,B2DFEE,178,223,238
DarkOrchid2,B23AEE,178,58,238
Firebrick,B22222,178,34,34
LightSkyBlue1,B0E2FF,176,226,255
PowderBlue,B0E0E6,176,224,230
LightSteelBlue,B0C4DE,176,196,222
Maroon,B03060,176,48,96
PaleTurquoise,AFEEEE,175,238,238
PaleTurquoise2,AEEEEE,174,238,238
GreenYellow,ADFF2F,173,255,47
LightBlue,ADD8E6,173,216,230
MediumPurple1,AB82FF,171,130,255
DarkGrey,A9A9A9,169,169,169
Brown,A52A2A,165,42,42
LightSkyBlue2,A4D3EE,164,211,238
DarkOliveGreen3,A2CD5A,162,205,90
LightSteelBlue3,A2B5CD,162,181,205
