Code,R,G,B,RGB
PANTONE 100,244,237,124,F4ED7C
PANTONE 101,244,237,71,F4ED47
PANTONE 102,249,232,20,F9E814
PANTONE 103,198,173,15,C6AD0F
PANTONE 104,173,155,12,AD9B0C
PANTONE 105,130,117,15,82750F
PANTONE 106,247,232,89,F7E859
PANTONE 107,249,229,38,F9E526
PANTONE 108,249,221,22,F9DD16
PANTONE 109,249,214,22,F9D616
PANTONE 110,216,181,17,D8B511
PANTONE 111,170,147,10,AA930A
PANTONE 112,153,132,10,99840A
PANTONE 113,249,229,91,F9E55B
PANTONE 114,249,226,76,F9E24C
PANTONE 115,249,224,76,F9E04C
PANTONE 116,252,209,22,FCD116
PANTONE 116 2X,247,181,12,F7B50C
PANTONE 117,198,160,12,C6A00C
PANTONE 118,170,142,10,AA8E0A
PANTONE 119,137,119,25,897719
PANTONE 120,249,226,127,F9E27F
PANTONE 1205,247,232,170,F7E8AA
PANTONE 121,249,224,112,F9E070
PANTONE 1215,249,224,140,F9E08C
PANTONE 122,252,216,86,FCD856
PANTONE 1225,255,204,73,FFCC49
PANTONE 123,255,198,30,FFC61E
PANTONE 1235,252,181,20,FCB514
PANTONE 124,224,170,15,E0AA0F
PANTONE 1245,191,145,12,BF910C
PANTONE 125,181,140,10,B58C0A
PANTONE 1255,163,127,20,A37F14
PANTONE 126,163,130,5,A38205
PANTONE 1265,124,99,22,7C6316
PANTONE 127,244,226,135,F4E287
PANTONE 128,244,219,96,F4DB60
PANTONE 129,242,209,61,F2D13D
PANTONE 130,234,175,15,EAAF0F
PANTONE 130 2X,226,145,0,E29100
PANTONE 131,198,147,10,C6930A
PANTONE 132,158,124,10,9E7C0A
PANTONE 133,112,91,10,705B0A
PANTONE 134,255,216,127,FFD87F
PANTONE 1345,255,214,145,FFD691
PANTONE 135,252,201,99,FCC963
PANTONE 1355,252,206,135,FCCE87
PANTONE 136,252,191,73,FCBF49
PANTONE 1365,252,186,94,FCBA5E
PANTONE 137,252,163,17,FCA311
PANTONE 1375,249,155,12,F99B0C
PANTONE 138,216,140,2,D88C02
PANTONE 1385,204,122,2,CC7A02
PANTONE 139,175,117,5,AF7505
PANTONE 1395,153,96,7,996007
PANTONE 140,122,91,17,7A5B11
PANTONE 1405,107,71,20,6B4714
PANTONE 141,242,206,104,F2CE68
PANTONE 142,242,191,73,F2BF49
PANTONE 143,239,178,45,EFB22D
PANTONE 144,226,140,5,E28C05
PANTONE 145,198,127,7,C67F07
PANTONE 146,158,107,5,9E6B05
PANTONE 147,114,94,38,725E26
PANTONE 148,255,214,155,FFD69B
PANTONE 1485,255,183,119,FFB777
PANTONE 149,252,204,147,FCCC93
PANTONE 1495,255,153,63,FF993F
PANTONE 150,252,173,86,FCAD56
PANTONE 1505,244,124,0,F47C00
PANTONE 151,247,127,0,F77F00
PANTONE 152,221,117,0,DD7500
PANTONE 1525,181,84,0,B55400
