R,G,B,RGB,Color
231,51,99,E73363,TRUMATCH 1-a
233,89,117,E95975,TRUMATCH 1-b
235,121,138,EB798A,TRUMATCH 1-c
239,151,161,EF97A1,TRUMATCH 1-d
243,183,188,F3B7BC,TRUMATCH 1-e
247,211,213,F7D3D5,TRUMATCH 1-f
252,239,239,FCEFEF,TRUMATCH 1-g
253,246,247,FDF6F7,TRUMATCH 1-h
222,49,96,DE3160,TRUMATCH 1-a1
224,85,113,E05571,TRUMATCH 1-b1
227,116,133,E37485,TRUMATCH 1-c1
230,145,155,E6919B,TRUMATCH 1-d1
234,176,181,EAB0B5,TRUMATCH 1-e1
238,203,206,EECBCE,TRUMATCH 1-f1
186,117,127,BA757F,TRUMATCH 1-d5
189,142,148,BD8E94,TRUMATCH 1-e5
213,46,92,D52E5C,TRUMATCH 1-a2
215,81,109,D7516D,TRUMATCH 1-b2
217,111,128,D96F80,TRUMATCH 1-c2
220,139,149,DC8B95,TRUMATCH 1-d2
224,169,174,E0A9AE,TRUMATCH 1-e2
180,36,77,B4244D,TRUMATCH 1-a5
182,67,92,B6435C,TRUMATCH 1-b5
184,93,109,B85D6D,TRUMATCH 1-c5
202,43,87,CA2B57,TRUMATCH 1-a3
204,77,104,CC4D68,TRUMATCH 1-b3
207,105,122,CF697A,TRUMATCH 1-c3
209,132,142,D1848E,TRUMATCH 1-d3
213,160,166,D5A0A6,TRUMATCH 1-e3
168,32,71,A82047,TRUMATCH 1-a6
170,62,86,AA3E56,TRUMATCH 1-b6
172,86,102,AC5666,TRUMATCH 1-c6
191,39,82,BF2752,TRUMATCH 1-a4
193,72,98,C14862,TRUMATCH 1-b4
195,99,115,C36373,TRUMATCH 1-c4
198,125,135,C67D87,TRUMATCH 1-d4
201,152,157,C9989D,TRUMATCH 1-e4
156,27,65,9C1B41,TRUMATCH 1-a7
158,56,79,9E384F,TRUMATCH 1-b7
160,79,94,A04F5E,TRUMATCH 1-c7
230,0,66,E60042,TRUMATCH 2-a
232,68,88,E84458,TRUMATCH 2-b
