SSNameID,Name,Sex,Weight
1,Alii,M,61
2,Amelia,F,691455
3,Anamarie,F,2917
4,Bj,F,13
5,Colum,M,185
6,Dorelle,F,51
7,Thearon,M,124
8,Rand,F,154
9,Welbert,M,34
10,Winson,M,897
11,Yazzie,M,24
12,Michole,F,417
13,Tanikqua,F,50
14,Ricado,M,14
15,Spencel,M,22
16,Taheera,F,277
17,Sailee,F,64
18,Satin,F,1034
19,Raihana,F,83
20,Many,F,115
21,Nedim,M,191
22,Shameya,F,55
23,Sharome,M,16
24,Nyier,M,13
25,Ottie,M,4901
26,Khaleed,M,320
27,Dequan,F,13
28,Monterrious,M,47
29,Lovie,F,53874
30,Maddeline,F,242
31,Kary,F,5351
32,Honie,F,23
33,Ke,M,67
34,Laela,F,2473
35,Langston,M,8521
36,Kenzleigh,F,204
37,Keylen,F,329
38,Ardie,M,2018
39,Elco,M,72
40,Hadia,F,749
41,Gohar,F,58
42,Forestt,M,14
43,Ivonna,F,344
44,Dorrell,M,1035
45,Alaysiah,F,119
46,Jacquise,M,197
47,Angenetta,F,101
48,Anglee,F,23
49,Antinio,M,240
50,Ashara,F,430
51,Ashlie,F,26991
52,Amika,F,699
53,Anastashia,F,798
54,Berea,F,152
55,Braxtin,M,531
56,Tenecia,F,870
57,Timeisha,F,42
58,Roxianne,F,74
59,Zhariya,F,48
60,Ziyanah,F,26
61,Shiley,F,114
62,Modesty,F,977
63,Tanasia,F,3068
64,Donner,M,21
65,Shaundel,F,14
66,Santavious,M,13
67,Selin,F,1700
68,Selphie,F,13
69,Serafim,M,26
70,Maryalyce,F,236
71,Raeyana,F,13
72,Talesa,F,101
73,Talis,F,30
74,Dobby,M,15
75,Dollicia,F,60
76,Jecenia,F,326
77,Meika,F,1150
78,Meilee,F,32
79,Mariaines,F,15
80,Marilu,F,6032
81,Marlies,F,488
82,Lloydine,F,14
83,Kiel,M,6576
84,Denissa,F,199
85,Derion,F,96
86,Deyci,F,179
87,Jayniyah,F,18
88,Janenne,F,33
89,Ezias,M,18
90,Francie,M,26
91,Kutler,M,46
92,Kyrsti,F,104
93,Lamonta,M,603
94,Dalonte,M,655
95,Jacquese,M,260
96,Arieanna,F,2415
97,Eldrige,M,614
98,Jmarie,F,15
99,Jamesryan,M,47
100,Atreu,M,14
101,Branan,M,18
102,Corraine,F,27
103,Cleetus,F,22
104,Alaan,M,15
105,Davionta,M,16
106,Ramiel,M,72
107,Waynetta,F,511
108,Trease,F,401
109,Shirelle,F,2016
110,Milnor,M,28
111,Tamantha,F,423
112,Donaciana,F,43
113,Shatia,F,1713
114,Orren,M,3991
115,Ron,M,100536
116,Tahriq,M,13
117,Khaya,F,389
118,Delcina,F,156
119,Mykaila,F,1009
120,Lent,M,26
121,Nareg,M,360
122,Nayelis,F,705
123,Lailany,F,182
124,Lainy,F,329
125,Jolaine,F,737
126,Jorrie,F,14
127,Loreita,F,65
128,Kenyette,F,293
129,Gesina,F,15
130,Gi,F,14
131,Jasma,F,995
132,Jasmely,F,15
133,Ixel,F,228
134,Judaline,F,20
135,Anieya,F,191
136,Anneliese,F,10272
137,Aramys,M,13
138,Areliz,F,183
139,Emary,F,137
140,Haisley,F,193
141,Arnet,M,437
142,Ami,M,520
143,Bhavini,F,63
144,Cyniyah,F,75
145,Cirino,M,13
146,Coledon,M,13
147,Rheannon,F,1217
148,Romeisha,F,16
149,Sabino,M,5730
150,Zareena,F,99
151,Thanhphong,M,13
152,Thlema,F,21
153,Marsheela,F,26
154,Philicia,F,1388
155,Quaterrius,M,14
156,Nellie,M,8613
157,Niccole,F,3958
158,Kristie,M,137
159,Dellie,M,44
160,Deshelia,F,79
161,Devanhi,F,13
162,Geanna,F,1214
163,Maaliyah,F,411
164,Kamyrn,F,69
165,Little,M,7086
166,Lolanda,F,85
167,Kerney,M,968
168,Kerry,F,138030
169,Khadesia,F,69
170,Krisandra,F,738
171,Jovana,F,4775
172,Jyshawn,M,58
173,Kadijha,F,61
174,Kededra,F,16
175,Lakyia,F,242
176,Lamari,F,256
177,Hamir,M,33
178,Genneth,F,26
179,Janathean,M,14
180,Cellia,F,208
181,Chasidee,F,76
182,Iyunna,F,55
183,Caleigh,F,11220
184,Elliena,F,13
185,Elman,M,745
186,Husani,M,106
187,Duyen,F,503
188,Eleanna,F,388
189,Adysen,F,1430
190,Akaela,F,16
191,Darese,M,13
192,Daziya,F,203
193,Breanda,F,543
194,Brityn,F,220
195,Ashyr,M,78
196,Azarah,F,48
197,Aliera,F,57
198,Ameliagrace,F,14
199,Daidra,F,13
200,Aabha,F,19
201,Miria,F,279
202,Tanyanika,F,155
203,Timani,F,32
204,Sedarius,M,94
205,Yohanes,M,64
206,Ysabela,F,286
207,Zaylen,M,1275
208,Zohra,F,598
209,Melzie,F,64
210,Shaneaka,F,31
211,Tione,M,32
212,Raymell,F,54
213,Sunshyne,F,202
214,Raif,M,475
215,Twanika,F,19
216,Mackinzy,F,53
217,Maggen,F,14
218,Nijel,M,742
219,Noell,M,113
220,Leonida,F,137
221,Shakevia,F,335
222,Livvy,F,178
223,Keyson,M,92
224,Demtrius,M,167
225,Jazyra,F,13
226,Lynzee,F,2004
227,Macaire,F,15
228,Jamario,M,3277
229,Jashante,F,16
230,Jasonpaul,M,16
231,Keantae,M,54
232,Lamora,F,54
233,Jomari,M,540
234,Elisha,M,60727
235,Ilise,F,130
236,Irfan,M,1179
237,Ednah,F,1807
238,Jahara,F,355
239,Jaileene,F,33
240,Addysin,F,179
241,Adora,F,3965
242,Dallyn,F,30
243,Darlisa,F,396
244,Bronson,M,18334
245,Elic,M,359
246,Arturo,M,146575
247,Benne,F,18
248,Daena,F,1548
249,Chiqueta,F,82
250,Clayt,M,59
251,Colsen,M,474
252,Zakara,F,147
253,Tiffannie,F,521
254,Ruxin,M,25
255,Sachary,F,13
256,Raizo,M,63
257,Truly,M,24
258,Sedwick,M,16
259,Yulieth,F,64
260,Tomicka,F,343
261,Torrion,M,309
262,Rondell,F,203
263,Soledad,F,13944
264,Soumya,F,602
265,Spoorthi,F,65
266,Mareesa,F,203
267,Markous,M,27
268,Parish,F,638
269,Qing,F,13
270,Nadim,M,794
271,Najia,F,670
272,Maddix,F,279
273,Malanie,F,1626
274,Kalenna,F,70
275,Kallon,M,95
276,Nodra,F,27
277,Mcadoo,M,314
278,Lexee,F,823
279,Liseth,F,1775
280,Kerin,F,3737
281,Kevone,M,53
282,Kitt,F,427
283,Lyndell,M,6010
284,Jurem,M,69
285,Kelson,M,2472
286,Lakelyn,F,631
287,Lamin,M,370
288,Jodilynn,F,143
289,Johnandrew,M,118
290,Duwayne,M,11756
291,Guston,M,13
292,Jaemi,F,118
293,Jamantha,F,14
294,Feryal,F,28
295,Cassity,F,926
296,Arcadian,M,13
297,Arlane,F,24
298,Debborah,F,1601
299,Elmeta,F,75
300,Emiley,F,4202
301,Ibraham,M,143
302,Aadith,M,44
303,Akaysha,F,318
304,Daniesha,F,624
305,Darely,F,233
306,Darlie,F,24
307,Anyely,F,102
308,Axa,F,45
309,Alyssya,F,16
310,Elgie,F,5240
311,Bethellen,F,14
312,Cimberly,F,180
313,Ahnna,F,421
314,Senaca,M,165
315,Zander,F,37
316,Tayna,F,2551
317,Terriss,M,34
318,Preetam,M,13
319,Tamasine,F,12
320,Rinka,F,14
321,Samekia,F,17
322,Trevis,F,26
323,Trina,M,82
324,Kalesa,F,13
325,Nickalus,M,1193
326,Nikolas,F,39
327,Nilyn,F,13
328,Marysia,F,80
329,Percy,M,240431
330,Dimitre,M,48
331,Athala,F,21
332,Aziyah,M,40
333,Alyssia,F,11534
334,Amzie,F,14
335,Blondie,F,1221
336,Jadyn,M,7615
337,Ryshawn,M,201
338,Nasjah,F,16
339,Yaren,F,42
340,Zellie,M,23
341,Sherrise,F,187
342,Thommy,M,45
343,Shaughn,F,17
344,Rishaun,M,14
345,Simuel,M,1407
346,Sofhia,F,80
347,Sopheak,M,103
348,Tajir,M,100
349,Deveny,F,144
350,Dibbie,F,110
351,Margarita,M,673
352,Martinique,F,1293
353,Patton,M,2523
354,Peytyn,F,427
355,Kirisa,F,13
356,Lehiwa,F,13
357,Leonarda,F,4966
358,Mcclellan,M,503
359,Jazzmun,F,16
360,Jerico,M,1899
361,Jonnathan,M,2929
362,Lexa,F,2183
363,Loi,F,31
364,Nikera,F,140
365,Key,F,28
366,Keyra,F,1699
367,Freyja,F,633
368,Juarez,M,72
369,Hoyal,M,73
370,Lakelsha,F,20
371,Laprincess,F,73
372,Johnda,F,631
373,Ginelle,F,1286
374,Gleen,M,2408
375,Bari,M,386
376,Bassil,M,141
377,Beatris,F,3517
378,Fallyn,F,1940
379,Caelen,M,959
380,Calix,M,481
381,Cameran,F,1981
382,Camoni,F,14
383,Jawon,M,1927
384,Jayela,F,15
385,Bralin,M,252
386,Cyenthia,F,62
387,Colquitt,M,44
388,Aarya,F,1277
389,Abira,F,26
390,Ajene,F,159
391,Zelmer,F,86
392,Shekila,F,130
393,Shereena,F,159
394,Sylvester,F,4668
395,Ryane,M,157
396,Saiden,M,14
397,Victorjr,M,26
398,Tymera,F,52
399,Talyah,F,753
400,Quinnie,M,14
401,Ral,M,15
402,Oveida,F,30
403,Tobyas,M,13
404,Donnajo,F,72
405,Stephnie,F,1518
406,Lethell,M,17
407,Mattew,M,3012
408,Denroy,M,17
409,Dera,F,2380
410,Shun,M,2362
411,Presslie,F,27
412,Lj,M,330
413,Kallen,M,2262
414,Karagen,F,32
415,Nirav,M,1130
416,Laython,M,41
417,Leevan,M,14
418,Chaiden,M,28
419,Chardonae,F,70
420,Evander,M,4510
421,Irit,F,14
422,Jackueline,F,14
423,Jovaan,M,14
424,Akeela,F,388
425,Daymeon,M,321
426,Antinique,F,85
427,Gionna,F,1409
428,Jamarr,M,3408
429,Casie,F,13239
430,Arthurine,F,1101
431,Atley,M,723
432,Azmina,F,13
433,Alexiana,F,686
434,Amarantha,F,13
435,Amileah,F,35
436,Shioban,F,14
437,Meggin,F,1024
438,Naquille,M,19
439,Xion,F,35
440,Yi,M,291
441,Verdie,F,28752
442,Shelette,F,14
443,Sheylin,F,176
444,Roen,M,588
445,Somalia,F,309
446,South,M,22
447,Mancil,M,550
448,Whiteny,F,79
449,Tunisia,F,1773
450,Ray,F,47305
451,Jenika,F,1829
452,Mystie,F,707
453,Pattie,M,22
454,Oluwapelumi,F,29
455,Rhnea,F,13
456,Hiliary,F,390
457,Katrinia,F,1437
458,Kunj,M,96
459,Londell,M,1834
460,Kaprisha,F,102
461,Kolbie,F,1399
462,Haddon,M,584
463,Harrell,M,10399
464,Jerzy,F,231
465,Jhosue,M,26
466,Josphine,F,1222
467,Julyanna,F,257
468,Bruna,F,3677
469,Anessah,F,14
470,Anneliesse,F,36
471,Inika,F,98
472,Eddi,M,275
473,Ediberto,M,880
474,Bharat,M,478
475,Abiyah,F,13
476,Adelmira,F,84
477,Ahana,F,606
478,Akeen,M,580
479,Daniella,F,58995
480,Armonie,F,1078
481,Asuzena,F,228
482,Ava,F,455066
483,Bahati,F,48
484,Alverda,F,9297
485,Benjiam,M,14
486,Teliea,F,24
487,Natthew,M,136
488,Tanishia,F,1632
489,Xica,F,23
490,Yordano,M,61
491,Set,M,27
492,Zykerion,M,43
493,Symanthia,F,34
494,Tahesia,F,14
495,Salih,M,816
496,Wally,F,590
497,Willadine,F,69
498,Nafia,F,63
499,Tomara,F,1171
500,Shakiel,M,116
501,Shamikia,F,174
502,Shauna,M,169
503,Remmington,F,83
504,Rhyannon,F,96
505,Jerediah,M,47
506,Denesia,F,198
507,Detric,M,1166
508,Rakiyah,F,798
509,Ramatou,F,20
510,Norwin,M,325
511,Jollette,F,13
512,Limairy,F,19
513,Katheen,F,349
514,Nicoe,F,17
515,Keyaria,F,166
516,Khaelyn,F,16
517,Ceriah,F,148
518,Izais,M,53
519,Katlan,F,72
520,Kayleigha,F,13
521,Kedarious,M,16
522,Lanautica,F,133
523,Andrik,M,1344
524,Hance,M,234
525,Germain,F,121
526,Jalyna,F,26
527,Jarquis,M,211
528,Cartell,M,33
529,Christion,F,46
530,Durane,M,17
531,Abigail,F,773196
532,Ad,M,518
533,Danait,F,32
534,Breshuna,F,14
535,Auriah,F,25
536,Babe,F,3596
537,Bertis,F,86
538,Bhrianna,F,13
539,Bonniejean,F,283
540,Brailee,F,724
541,Yanika,F,60
542,Zhaki,M,13
543,Shela,F,3968
544,Micheale,F,289
545,Mickia,F,35
546,Mirage,M,13
547,Trenidy,F,106
548,True,M,2569
549,Nagely,F,53
550,Neiva,F,207
551,Talia,M,14
552,Wyllis,M,50
553,Shantail,F,28
554,Rejeanne,F,162
555,Riese,F,84
556,Rodrigue,M,105
557,Spessard,M,21
558,Stavros,M,2150
559,Moraes,M,13
560,Manisha,F,2318
561,Philece,F,17
562,Quila,F,36
563,Nymir,M,164
564,Octavio,F,14
565,Keagen,F,57
566,Kenia,F,15496
567,Katelynd,F,732
568,Khristian,M,4439
569,Kristafer,M,116
570,Mckensi,F,371
571,Elvir,M,83
572,Emajean,F,90
573,Engracia,F,189
574,Haskell,F,46
575,Heater,F,162
576,Jaryiah,F,91
577,Bralee,F,145
578,Cortland,F,60
579,Alantra,F,174
580,Dajah,M,16
581,Darlane,F,82
582,Annabell,F,29614
583,Armilda,F,1499
584,Amberann,F,17
585,Bill,M,658507
586,Coddy,M,58
587,Danaria,F,141
588,Canada,F,153
589,Nhan,F,14
590,Niaomi,F,243
591,Sef,M,29
592,Mery,F,1059
593,Sioban,F,100
594,Sadat,M,252
595,Rashiya,F,157
596,Vienne,F,321
597,Tonnesha,F,29
598,Tulon,M,30
599,Marinell,F,1027
600,Nyjuan,M,44
601,Oksanna,F,32
602,Reny,M,29
603,Ronel,M,1173
604,Sinnamon,F,13
605,Lerlean,F,43
606,Jaylian,M,13
607,Myaira,F,27
608,Derrius,M,1951
609,Dimari,M,57
610,Dmetrius,M,172
611,Jakyrie,M,40
612,Eyal,M,716
613,Gabryel,M,699
614,Lakendrick,M,2065
615,Lamone,M,404
616,Lisandro,F,13
617,Carlosalberto,M,124
618,Arleth,F,5680
619,Iliyah,F,477
620,Edley,M,180
621,Henrettia,F,133
622,Jimel,M,298
623,Alexandros,M,3323
624,Alina,F,54403
625,Dahndray,M,36
626,Duran,M,3810
627,Abbygael,F,164
628,Aidin,F,32
629,Tyhessia,F,54
630,Zonnique,F,34
631,Mikei,M,13
632,Tavante,M,81
633,Tiandria,F,13
634,Rembrandt,M,14
635,Wanyae,M,27
636,Weldon,M,62424
637,Trevina,F,85
638,Tristyn,M,3577
639,Tyequan,M,16
640,Quaid,M,1517
641,Tlyer,M,16
642,Shakina,F,1901
643,Shakkia,F,65
644,Shamore,M,16
645,Shawnia,F,483
646,Loriene,F,515
647,Louraine,F,170
648,Kioni,F,203
649,Lavernia,F,46
650,Lavonde,F,18
651,Marieelena,F,214
652,Jakim,M,386
653,Jaleeya,F,189
654,Launia,F,21
655,Katreina,F,16
656,Lacosta,F,757
657,Ladajia,F,43
658,Annisha,F,468
659,Alexjandro,M,128
660,Amiel,M,3093
661,Brylyn,M,45
662,Candies,F,234
663,Chiyoko,F,2884
664,Christyn,M,15
665,Shemiah,F,426
666,Mizan,F,16
667,Taniyah,F,7805
668,Terita,F,277
669,Mallarie,F,499
670,Sandie,F,7830
671,Sarabeth,F,3038
672,Vitina,F,217
673,Vivion,M,44
674,Zachaery,M,26
675,Ramont,M,176
676,Tison,M,358
677,Roody,M,58
678,Ssirley,F,12
679,Takerra,F,165
680,Donette,F,3081
681,Karston,M,997
682,Gaquan,M,14
683,Lynee,F,836
684,Dennis,M,1916940
685,Myree,F,83
686,Quinntin,M,302
687,Euretha,F,448
688,Fayez,M,319
689,Kaviya,F,26
690,Keelynn,F,65
691,Kendrie,F,27
692,Kanchan,F,19
693,Davon,F,1049
694,Jacquitta,F,30
695,Jahnyah,F,94
696,Gereld,M,13
697,Jeslie,F,137
698,Kristof,M,590
699,Alba,F,21916
700,Emeka,F,55
701,Emersynn,F,56
702,Idesha,F,55
703,Danavia,F,18
704,Dashyra,F,13
705,Aryelle,F,798
706,Autavia,F,14
707,Alisha,F,149436
708,Cheveyo,M,149
709,Clemencia,F,1841
710,Aalijah,M,287
711,Mergeron,M,14
712,Shariff,M,1570
713,Sathya,M,93
714,Tresa,F,15603
715,Yaireth,F,55
716,Sheza,F,240
717,Mclaine,F,13
718,Sieria,F,13
719,Pharaoh,M,815
720,Phoung,F,13
721,Raleen,F,12
722,Odyssey,F,1012
723,Shalayne,F,176
724,Kashe,M,53
725,Lyncoln,M,144
726,Khrissa,F,14
727,Dewuan,M,18
728,Dexiree,F,26
729,Diamonte,F,86
730,Kene,M,83
731,Keori,F,13
732,Kweisi,M,134
733,Jazzalynn,F,132
734,Kameo,F,316
735,Karlin,F,1119
736,Jessimar,F,13
737,Jisiah,M,29
738,Jaretsy,F,54
739,Foyster,M,21
740,Arine,F,387
741,Kendrel,M,13
742,Aizlee,F,17
743,Alainey,F,42
744,Iaan,M,62
745,Ilian,F,93
746,Jahmez,M,144
747,Alekai,M,18
748,Artrina,F,37
749,Asie,M,158
750,Cabella,F,126
751,Clarissa,F,119071
752,Claudel,M,107
753,Dregan,M,55
754,Tyrone,M,217333
755,Yaritzza,F,13
756,Selenamarie,F,16
757,Shetal,F,20
758,Taleiyah,F,72
759,Tommia,F,101
760,Renarta,F,26
761,Ricky,F,5121
762,Shalanta,F,14
763,Sareena,F,1124
764,Twisha,F,61
765,Rayli,F,120
766,Diony,M,64
767,Navy,M,134
768,Marsi,F,344
769,Norretta,F,23
770,Orie,M,12436
771,Lessa,F,398
772,Limuel,M,464
773,Madaleno,M,16
774,Magali,M,15
775,Kevan,F,124
776,Kotaro,M,351
777,Kayliyah,F,40
778,Keidi,F,36
779,Lalo,M,1666
780,Jerianna,F,15
781,Kamal,F,72
782,Kanija,F,282
783,Inesha,F,299
784,Iseral,M,24
785,Juanye,M,153
786,Kaelie,F,1553
787,Deiara,F,13
788,Delance,M,263
789,Cebrina,F,83
790,Chance,F,2657
791,Cherelle,F,4537
792,Jamiesha,F,324
793,Jasyia,F,28
794,Famie,F,478
795,Davit,M,302
796,Dystiny,F,157
797,Elaheh,F,14
798,Aleaya,F,228
799,Jion,M,30
800,Catelyn,F,5111
801,Aariz,M,572
802,Addelynne,F,31
803,Ahmaud,M,405
804,Akeira,F,503
805,Ellianna,F,3499
806,Emersyn,M,17
807,Atrick,M,39
808,Aubrin,F,29
809,Algia,F,305
810,Anayansi,F,104
811,Brender,F,60
812,Brinisha,F,42
813,Mhina,F,13
814,Tavyon,M,82
815,Teyler,F,49
816,Tilia,F,98
817,Statler,M,30
818,Shaquila,F,1098
819,Tuesdee,F,40
820,Wrigley,F,247
821,Senequa,F,76
822,Zoey,M,395
823,Nahlani,F,18
824,Pauline,F,1550855
825,Placida,F,1063
826,Ramson,M,13
827,Odet,F,19
828,Tmara,F,27
829,Linwood,F,22
830,Lital,F,29
831,Kitara,F,344
832,Koey,F,31
833,Derinda,F,1185
834,Deryn,F,411
835,Delcia,F,1076
836,Hilyard,M,24
837,Kylea,F,3512
838,Marchella,M,40
839,Mosese,M,87
840,Kamaury,F,13
841,Ceslie,F,126
842,Jarelyn,F,126
843,Estel,F,3778
844,Iniki,M,18
845,Juliea,F,108
846,Arka,M,29
847,Aedan,F,110
848,Esiah,M,274
