ID,Name,Meaning
1,Aaron,a teacher; lofty; mountain of strength
2,Abaddon,the destroyer
3,Abagtha,father of the wine-press
4,Abana,made of stone; a building
5,Abarim,passages; passengers
6,Abba,father
7,Abda,a servant; servitude
8,Abdeel,a vapor; a cloud of God
9,Abdi,my servant
10,Abdiel,servant of God
11,Abdon,servant; cloud of judgment
12,Abednego,servant of light; shining
13,Abel,vanity; breath; vapor
14,Abel,a city; mourning
15,Abel-beth-maachah,mourning to the house of Maachah
16,Abel-maim,mourning of waters
17,Abel-meholah,mourning of sickness
18,Abel-mizraim,the mourning of Egyptians
19,Abel-shittim,mourning of thorns
20,Abez,an egg; muddy
21,Abi,my father
22,Abiah,the Lord is my father
23,Abi-albon,most intelligent father
24,Abiasaph,consuming father; gathering
25,Abiathar,excellent father; father of the remnant
26,Abib,green fruit; ears of corn
27,Abidah,father of knowledge
28,Abidan,father of judgment
29,Abiel,God my father
30,Abiezer,father of help
31,Abigail,the father's joy
32,Abihail,the father of strength
33,Abihu,he is my father
34,Abihud,father of praise; confession
35,Abijah,the Lord is my father
36,Abijam,father of the sea
37,Abilene,the father of mourning
38,Abimael,a father sent from God
39,Abimelech,father of the king
40,Abinadab,"father of a vow, or of willingness"
41,Abinoam,father of beauty
42,Abiram,high father; father of deceit
43,Abishag,ignorance of the father
44,Abishai,the present of my father
45,Abishalom,father of peace
46,Abishua,father of salvation
47,Abishur,father of the wall; father of uprightness
48,Abital,the father of the dew; or of the shadow
49,Abitub,father of goodness
50,Abiud,father of praise
51,Abner,father of light
52,Abram,high father
53,Abraham,father of a great multitude
54,Absalom,father of peace
55,Accad,a vessel; pitcher; spark
56,Accho,close; pressed together
57,Aceldama,field of blood
58,Achab,brother of the father
59,Achaia,grief; trouble
60,Achaicus,a native of Achaia; sorrowing; sad
61,Achan,"or Achar, he that troubleth"
62,Achaz,"one that takes, or possesses"
63,Achbor,a rat; bruising
64,Achim,preparing; revenging; confirming
65,Achish,thus it is; how is this
66,Achmetha,brother of death
67,Achor,trouble
68,Achsah,adorned; bursting the veil
69,Achshaph,poison; tricks
70,Achzib,liar; lying; one that runs
71,Adadah,testimony of the assembly
72,Adah,an assembly
73,Adaiah,the witness of the Lord
74,Adaliah,one that draws water; poverty; cloud; death
75,Adam,earthy; red
76,Adamah,red earth; of blood
77,Adami,my man; red; earthy; human
78,Adar,high; eminent
79,Adbeel,"vapor, or cloud of God"
80,Addi,my witness; adorned; prey
81,Addin,adorned; delicious; voluptuous
82,Addon,basis; foundation; the Lord
83,Adiel,the witness of the Lord
84,Adin,"Adina, adorned; voluptuous; dainty"
85,Adithaim,assemblies; testimonies
86,Adlai,my witness; my ornament
87,Admah,earthy; red; bloody
88,Admatha,a cloud of death; a mortal vapor
89,Adna,pleasure; delight
90,Adnah,eternal rest
91,Adoni-bezek,the lightning of the Lord; the Lord of lightning
92,Adonijah,the Lord is my master
93,Adonikam,the Lord is raised
94,Adoniram,my Lord is most high; Lord of might and elevation
95,Adoni-zedek,justice of the Lord; lord of justice
96,Adoraim,strength of the sea
97,Adoram,their beauty; their power
98,Adrammelech,"the cloak, glory, grandeur or power of the king"
99,Adramyttium,the court of death
100,Adriel,the flock of God
101,Adullam,their testimony; their prey; their ornament
102,Adummim,earthy; red; bloody things
103,Aeneas,praised; praiseworthy
104,Aenon,a cloud; fountain; his eye
105,Agabus,a locust; the father's joy or feast
106,Agag,roof; upper floor
107,Agar,"or Hagar, a stranger; one that fears"
108,Agee,a valley; deepness
109,Agrippa,one who causes great pain at his birth
110,Agur,stranger; gathered together
111,Ahab,"uncle, or father's brother"
112,Aharah,a smiling brother; a meadow of a sweet savor
113,Aharhel,another host; the last sorrow; a brother's sheep
114,Ahasbai,trusting in me; a grown-up brother
115,Ahasuerus,prince; head; chief
116,Ahava,essence; being; generation
117,Ahaz,one that takes or possesses
118,Ahaziah,seizure; vision of the Lord
119,Ahi,my brother; my brethren
120,Ahiah,brother of the Lord
121,Ahiam,mother's brother; brother of a nation
122,Ahian,brother of wine
123,Ahiezer,brother of assistance
124,Ahihud,"brother of vanity, or of darkness, or of joy, or of praise;  witty brother"
125,Ahijah,same with Ahiah
126,Ahikam,a brother who raises up or avenges
127,Ahilud,"a brother born, or begotten"
128,Ahimaaz,a brother of the council
129,Ahiman,brother of the right hand
130,Ahimelech,my brother is a king; my king's brother
131,Ahimoth,brother of death
132,Ahinadab,a willing brother; brother of a vow
133,Ahinoam,beauty of the brother; brother of motion
134,Ahio,his brother; his brethren
135,Ahira,brother of iniquity; brother of the shepherd
136,Ahiram,"brother of craft, or of protection"
137,Ahisamach,brother of strength
138,Ahishahur,brother of the morning or dew; brother of blackness
139,Ahishar,brother of a prince; brother of a song
140,Ahithophel,brother of ruin or folly
141,Ahitub,brother of goodness
142,Ahlab,"made of milk, or of fat; brother of the heart"
143,Ahlai,beseeching; sorrowing; expecting
144,Ahoah,a live brother; my thorn or thistle
145,Aholah,his tabernacle; his tent
146,Aholiab,the tent of the father
147,Aholibah,"my tent, or my tabernacle, in her"
148,Aholibamah,my tabernacle is exalted
149,Ahumai,a meadow of waters; a brother of waters
150,Ahuzam,their taking or possessing vision
151,Ahuzzah,possession; seizing; collecting
152,Ai,"or Hai, mass; heap"
153,Aiah,"vulture, raven; an isle; alas, where is it?"
