SSNameID,Year,Count,Rank
1,2006,5,13
1,2007,5,13
1,2008,5,13
1,2011,8,22
2,1880,221,10969
2,1881,235,12195
2,1882,252,11375
2,1883,262,12076
2,1884,315,12938
2,1885,298,12372
2,1886,326,12768
2,1887,344,13905
2,1888,358,11954
2,1889,346,11974
2,1890,368,12210
2,1891,353,12313
2,1892,385,11514
2,1893,385,11838
2,1894,390,11515
2,1895,379,10797
2,1896,365,10210
2,1897,408,11759
2,1898,360,9437
2,1899,332,9787
2,1900,398,8837
2,1901,350,10121
2,1902,355,9179
2,1903,347,9103
2,1904,353,8748
2,1905,365,8609
2,1906,358,8355
2,1907,380,8165
2,1908,370,7572
2,1909,388,7590
2,1910,449,7602
2,1911,430,6675
2,1912,672,6802
2,1913,721,6342
2,1914,926,6539
2,1915,1115,6085
2,1916,1159,5992
2,1917,1160,5781
2,1918,1115,5135
2,1919,1085,5141
2,1920,1054,4658
2,1921,994,4258
2,1922,1034,4517
2,1923,964,4187
2,1924,910,3821
2,1925,887,3802
2,1926,748,3258
2,1927,753,3248
2,1928,753,3332
2,1929,688,3140
2,1930,681,3064
2,1931,589,2801
2,1932,636,3013
2,1933,608,3042
2,1934,553,2664
2,1935,605,2896
2,1936,581,2797
2,1937,646,3033
2,1938,569,2573
2,1939,489,2220
2,1940,504,2189
2,1941,529,2172
2,1942,543,1988
2,1943,560,1985
2,1944,475,1766
2,1945,475,1791
2,1946,546,1709
2,1947,537,1492
2,1948,565,1638
2,1949,590,1694
2,1950,483,1379
2,1951,533,1450
2,1952,551,1451
2,1953,550,1429
2,1954,509,1279
2,1955,533,1328
2,1956,524,1272
2,1957,522,1243
2,1958,483,1169
2,1959,501,1205
2,1960,541,1302
2,1961,573,1384
2,1962,494,1224
2,1963,502,1268
2,1964,503,1294
2,1965,475,1310
2,1966,431,1240
2,1967,451,1328
2,1968,389,1151
2,1969,464,1335
2,1970,490,1358
2,1971,481,1402
2,1972,405,1288
2,1973,441,1462
2,1974,507,1668
2,1975,523,1732
2,1976,522,1720
2,1977,600,1889
2,1978,643,2027
2,1979,700,2105
2,1980,769,2234
2,1981,849,2456
2,1982,833,2376
2,1983,758,2190
2,1984,1093,3136
2,1985,1014,2843
2,1986,1018,2865
2,1987,1006,2792
2,1988,1128,3056
2,1989,1265,3292
2,1990,1511,3826
2,1991,1535,3943
2,1992,1344,3501
2,1993,1246,3307
2,1994,1253,3373
2,1995,1202,3284
2,1996,1289,3537
2,1997,1315,3629
2,1998,1421,3866
2,1999,1418,3842
2,2000,1529,4049
2,2001,1634,4370
2,2002,2438,6529
2,2003,3092,8142
2,2004,3348,8775
2,2005,3906,10176
2,2006,4055,10270
2,2007,4187,10498
2,2008,4339,11071
2,2009,4686,12311
2,2010,5439,14789
2,2011,6307,17408
3,1948,5,14
3,1957,6,14
3,1958,5,12
3,1959,5,12
3,1961,5,12
3,1962,13,32
3,1963,11,28
3,1964,6,15
3,1965,5,14
3,1966,8,23
3,1967,9,27
3,1968,7,21
3,1969,10,29
3,1970,13,36
3,1971,9,26
3,1972,7,22
3,1973,14,46
3,1974,8,26
3,1975,15,50
3,1976,8,26
3,1977,12,38
3,1978,16,50
3,1979,5,15
3,1980,10,29
3,1981,9,26
3,1982,10,29
3,1983,14,40
3,1984,30,86
3,1985,25,70
3,1986,22,62
3,1987,20,56
3,1988,21,57
3,1989,28,73
3,1990,32,81
3,1991,25,64
3,1992,22,57
3,1993,26,69
3,1994,18,48
3,1995,33,90
3,1996,34,93
3,1997,23,63
3,1998,28,76
3,1999,37,100
3,2000,29,77
3,2001,29,78
3,2002,45,121
3,2003,29,76
3,2004,27,71
3,2005,34,89
3,2006,31,79
3,2007,29,73
3,2008,43,110
3,2009,38,100
3,2010,34,92
3,2011,34,94
4,1989,5,13
5,1972,5,16
5,1994,7,19
5,1996,8,22
5,1998,5,14
5,1999,9,24
5,2000,6,16
5,2002,5,13
5,2003,8,21
5,2004,7,18
5,2010,8,22
6,1936,5,24
6,1951,5,14
6,1963,5,13
7,1927,5,22
7,1928,9,40
7,1930,7,31
7,1971,5,15
7,1976,5,16
8,1997,6,17
8,2001,5,13
8,2002,8,21
8,2003,5,13
8,2005,6,16
8,2006,7,18
8,2007,5,13
8,2009,5,13
8,2010,6,16
8,2011,5,14
9,1935,7,34
10,1914,5,35
10,1922,7,31
10,1924,5,21
10,1926,6,26
10,1931,5,24
10,1938,5,23
10,1940,5,22
10,1957,5,12
10,1970,6,17
10,1979,5,15
10,1980,5,15
10,1982,5,14
10,1986,5,14
10,1988,5,14
10,1989,8,21
10,1990,10,25
10,1991,7,18
10,1992,7,18
10,1993,6,16
10,1994,6,16
10,1995,8,22
10,1996,6,16
10,1997,10,28
10,1998,9,24
10,1999,12,33
10,2000,9,24
10,2001,12,32
