Year,Population
1880,201486
1881,192702
1882,221538
1883,216953
1884,243467
1885,240857
1886,255322
1887,247397
1888,299484
1889,288956
1890,301402
1891,286681
1892,334389
1893,325226
1894,338698
1895,351030
1896,357495
1897,346958
1898,381474
1899,339239
1900,450385
1901,345824
1902,386739
1903,381213
1904,403502
1905,423956
1906,428465
1907,465401
1908,488647
1909,511196
1910,590648
1911,644169
1912,987906
1913,1136918
1914,1416197
1915,1832477
1916,1934393
1917,2006726
1918,2171226
1919,2110340
1920,2262738
1921,2334356
1922,2289169
1923,2302403
1924,2381499
1925,2333110
1926,2295621
1927,2318697
1928,2260129
1929,2191263
1930,2222427
1931,2103060
1932,2110538
1933,1998426
1934,2075935
1935,2089092
1936,2076886
1937,2129815
1938,2211764
1939,2202821
1940,2301986
1941,2435535
1942,2731106
1943,2821449
1944,2689385
1945,2652706
1946,3194990
1947,3600077
1948,3450367
1949,3482117
1950,3503298
1951,3676735
1952,3797909
1953,3849158
1954,3978694
1955,4012170
1956,4120717
1957,4199631
1958,4130950
1959,4156164
1960,4154829
1961,4138888
1962,4035093
1963,3958703
1964,3887321
1965,3626121
1966,3475461
1967,3394985
1968,3378770
1969,3476403
1970,3606967
1971,3431863
1972,3143420
1973,3016844
1974,3039988
1975,3019151
1976,3034362
1977,3175840
1978,3172883
1979,3325884
1980,3442371
1981,3456977
1982,3505251
1983,3460578
1984,3485610
1985,3566037
1986,3553819
1987,3602854
1988,3691381
1989,3843001
1990,3949591
1991,3893460
1992,3838953
1993,3767854
1994,3715272
1995,3659737
1996,3644697
1997,3623151
1998,3675350
1999,3690762
2000,3776162
2001,3739345
2002,3733939
2003,3797576
2004,3815465
2005,3838412
2006,3948401
2007,3988326
2008,3919192
2009,3806342
2010,3677630
2011,3623043
