name,description
A. Baum,A-Bomb
A. Cappella,A Cappella
A. Cisco,A Sicko
A. Delweiss,Edelweiss
A. Dobie,Adobe
A. Frame,A-Frame
A. Hole,A-Hole
A. Kingvoid,Aching void
A. Lass,Alass
A. Moral,Amoral
A. Ness,Anus
A. Null,Anal
A. Nuss,Anus
A. Okey,A O.K.
A. Orta,Aorta
A. Pendex,Appendix
A. Train,A-Train
A. Winner,A Winner
A. Blinkin,Abe Lincoln
Aaron Buoy,Errand Boy
Aaron Ottix,Aeronautics
Aaron Tyres,Air in tires
Abe L.N. Willing,Able and Willin
Adam Baum,Atom Bomb
Adam Zapel,Adam's Apple
Adam Zapple,Adam's Apple
Adolf Oliver Busch,Ate off all of her bush
Adolf Oliver Nipple,Ate off all of her nipple
Agatha L. Outtahere,I got the hell out of here
Aiken Balzac,Aching Ballsack
Aiken Johnson,Aching Johnson
Aitor Mitrousers,I tore my trousers
Al Acart,A la carte
Al Bino,Albino
Al Bumin,Albumim
Al Dente,Al ente
Al Fredo,Alfredo
Al Fresco,Al fresco
Al K. Holic,Alchoholic
Al K. Seltzer,Alka Seltzer
Al Kaholic,Alchoholic
Al Lergy,Algergy
Al Lickertwat,I'll lick her twat
Al O. Bye,Alibi
Al Toesacks,Alto Sax
Al Toesaks,Alto Sax
Al Truist,Altruist
Alf A. Romeo,Alfa Romeo
Alf Fannomega,Alpha and Omega
Alfredo D. Darke,Afraid of the dark
Ali Cator,Aligator
Ali Gaither,Aligator
Ali Katt,Ally cat
Allen Rench,Allen wrench
Allota Dick,A lot of dick
Alma Gedon,Armageddon
Alotta Fagina,A lotta vagina
Alpha Kennivunn,I'll fuck anyone
Alpha Kenny Juan,I'll fuck anyone
Amanda Dumi-Endereer,A man to domineer
Amanda Hugenkiss,A man to hug and kiss
Amanda Lay,A man to lay
Amanda Lynn,A mandolin
Amanda Reckonwith,A man to reckon with
Amber Alert,Amber Alert
Amber Green,Amber Green
Anass Rhammar,An ass rammer
Andy Friese,Antifreeze
Angie O. Plasty,Angioplasty
Anita Bohn,I need a bone
Anita Bonia,I need a boner
Anita Cathider,I need a catheter
Anita Dick,I need a dick
Anita Friske,I need a frisk
Anita Goodlay,I need a good lay
Anita Goodman,I need a good man
Anita Goodsheet,I need a good shit
Anita Hahnjob,I need a hand job
Anita Hanke,I need a hanky
Anita Hoare,I need a whote
Anita Job,I need a job
Anita Knapp,I need a nap
Anita Lay,I nned a lay
Anita Little,I need a little
Anita Mandalay,I need a man to lay
Anita Mann,I need a man
Anita Moorehead,I need more head
Anita Peter,I need a peter
Anita Plummer,I need a plummer
Anita Potty,I need to potty
Anita Roddick,I need a rod-dick
Anita Shower,I need a shower
Anna Conda,Anaconda
Anna Fender,An offender
Anna Graham,Anagram
Anna Grahm,Anagram
Anna Lingus,Anilingus
Anna Lytics,Analytics
Anna Mull,Animal
Anna Prentice,An apprentice
Anna Recksiek,Anorexic
Anna Rexia,Anorexia
Anna Sasin,An assassin
Anna Septic,Antiseptic
Anna Sthesia,Anasthesia
Anne Cestraloam,Ancestral home
Anne Dante,Andante
Anne Fibbiyon,Amphibian
Anne Teak,Antique
Annette Curtain,A net curtian
Annie Body,Antibody
Annie Matter,Anti-matter
Annie Recksun,An erection
Anya Honor,On your honor
April May,April May
April Schauer,April Shower
April Showers,April Showers
Aretha Holly,A wreath of holly
Armand Hammer,Arm and hammer
Art Major,Art Major
Art Painter,Art Painter
Art Sellers,Art Sellers
Arthur Itis,Arthritis
Artie Choke,Artichoke
Arty Ficial,Artificial
Arya Reddy,Are ya ready?
Ash Wednesday,Ash Wednesday
Auntie Upp,Ante up
Ava Gina,A vagina
Ave Sectomy,A vasectomy
B. Aman,Be a man
B. Chermeat,Beat your meat
B. Elty,BLT
B. Gatt,Begat
B. Ginnersluck,Beginners Luck
B. Girl,B-Girl
B. Hind,Behind
B. Hive,Bee hive
B. Keeney,Bikini
B. O'Problem,Be a problem
B. Sanbirds,Bees and birds
B. Toff,Beat off
B. Ware,Beware
B. Wildered,Bewildered
B. Yondapale,Beyond the pale
B.A. Ware,Be aware
B.B. Gunn,B.B. gun
B.V. Dease,BVDs
Bacchus Stabber,Back stabber
Barb Ackue,BBQ
Barb B. Cue,BBQ
Barb D. Wire,Barbed wire
Barb Dwyer,Barbed wire
Barb E. Dahl,Barbie doll
Barbara Blacksheep,Baa baa black sheep
Barbie Dahl,Barbie doll
Barney Cull,Barnicle
Barry Abone,Bury a bone
Barry Cade,Barricade
Barry Cuda,Barricuda
Barry Dellive,Buried alive
Barry McCockiner,Bury my cock in her
Bart Ender,Bartender
Baxter Nature,Back to Nature
Bea Lowe,Below
Bea Sting,Bee sting
Beau Archer,Bow Archer
Beau Tie,Beauty
Beau Tye,Beauty
Belle E. Flopp,Belly flop
Belle Tone,Bell tone
Ben Anas,Bananas
Ben D. Rules,Bend the rules
Ben Dover,Bend over
Ben Down,Bend down
Ben Effit,Benefit
Ben Gay,Ben gay
Ben Marcata,Ben marcato
Ben Yankin,Been yankin
Ben Z. Dreene,Benzedrine
Benny Fitt,Benefit
Bert Toast,Burnt toast
Bertha D. Blues,Birth of the blues
Bessie May Mucho,Bésame Mucho
Bette R. Haff,Better Half
Better Yeras,Bet your ass
Betty Kant,Bet he can't
Beverly Hills,Beverly Hills
Biff Wellington,Beef Wellington
Bill Board,Billboard
Bill Ding,Building
Bill Emia,Bulimia
Bill Foldes,Billfolds
Bill Loney,Baloney
Bill O. Reitz,Bill of rights
Bill Payre,Bill payer
Bill Yerds,Billiards
Billie Club,Billy Club
Billy Rubin,Belly Rubbin
Bo Linball,Bowling Ball
Bob Apple,Bob(ing for) apples
Bob Frapples,Bob for apples
Bob Katz,Bobcats
Bob Sledd,Bobsled
Bobbi Soks,Bobby socks
Bobby Pin,Bobby pin
Bonnie Ann Clyde,Bonnie and Clyde
Brad Hammer,Brad hammer
Brandon Cattell,Branding cattle
Brandon Irons,Branding irons
Brandy Anne Koch,Brandy and Coke
Brandy D. Cantor,Brandy decanter
Braxton Hicks,Braxton Hicks
Brighton Early,Bright and early
Brock Lee,Broccoli
Brooke Trout,Brook Trout
Buck Kinnear,Buccaneer
Bud Erdbuns,Buttered buns
Bud Jet,Budget
Bud Light,Bud Light
Bud Wiser,Budweiser
Buddy System,Buddy system
Bunny Pellits,Bunny pellets
Buster Cherry,Bust her cherry
Buster Hyman,Bust her hymen
Buster Hymen,Bust her hymen
C. Andski,Sea and ski
C. Bass,Sea bass
C. Breese,Sea breeze
C. Chanty,Sea Chanty
C. Gull,Sea gull
C. Klamp,C Clamp
C. Mann,Seaman
C. Note,C-note
C. Senor,Si Senor
C. Shell,Sea shell
C. Sick,Sea sick
C. Sonspass,Season pass
C. Spotrunn,See spot run
C. Worthy,Seaworthy
C. Yousoon,See you soon
Cal Orie,Calorie
Cam L. Toe,Camel Toe
Cam Payne,Campaign
Candace Spencer,Can dispenser
Candi Dish,Candy dish
Candy Barr,Candy bar
Candy Baskett,Candy basket
Candy Kane,Candy cane
Candy Sweet,Candy sweet
Cara Van,Caravan
Caress Masacc,Caress my sack
Carrie Couture,caricature
Carrie Dababi,Carry the baby
Carrie Oakey,Karaoke
Carrie R. Pigeon,Carrier Pigeon
Carson Busses,Cars and Buses
Cass Tigate,Castigate
Castor Hoyle,Castor oil
Ceasar Titts,See her tits
Chad A. While,Chat awhile
Charity Case,Charity case
Chastity Suks,Chasity sucks
Cheri Pitts,Cherry pits
Chester Fields,Chesterfields
Chick Innees,Chickens
Chico Rhett,Cigarette
Chip Munk,Chipmunk
Chip Zinsalsa,Chips and salsa
Chris Anthemum,Chrysanthemum
Chris Coe,Crisco
Chris Cross,Chriss Cross
Chris P. Bacon,Crispy bacon
Chris P. Cream,Crispy cream
Chris Peacock,Crispy cock
Chuck Waggon,Chuck wagon
Claire Annette Reed,Clarinet Reed
Claire D. Aisle,Clear the asile
Claire D. Ayre,Clear the air
Claire Voyant,Clairvoyant
Clara Cill,Clerical
Cleon Sheets,Clean sheets
Cliff Hanger,Cliff hander
Cliff Mountain,Cliff mountain
