id,name,sex,source,weight
1,Alii,M,SS,61
2,Amelia,F,SS,691455
3,Anamarie,F,SS,2917
4,Bj,F,SS,13
5,Colum,M,SS,185
6,Dorelle,F,SS,51
7,Thearon,M,SS,124
8,Rand,F,SS,154
9,Welbert,M,SS,34
10,Winson,M,SS,897
11,Yazzie,M,SS,24
12,Michole,F,SS,417
13,Tanikqua,F,SS,50
14,Ricado,M,SS,14
15,Spencel,M,SS,22
16,Taheera,F,SS,277
17,Sailee,F,SS,64
18,Satin,F,SS,1034
19,Raihana,F,SS,83
20,Many,F,SS,115
21,Nedim,M,SS,191
22,Shameya,F,SS,55
23,Sharome,M,SS,16
24,Nyier,M,SS,13
25,Ottie,M,SS,4901
26,Khaleed,M,SS,320
27,Dequan,F,SS,13
28,Monterrious,M,SS,47
29,Lovie,F,SS,53874
30,Maddeline,F,SS,242
31,Kary,F,SS,5351
32,Honie,F,SS,23
33,Ke,M,SS,67
34,Laela,F,SS,2473
35,Langston,M,SS,8521
36,Kenzleigh,F,SS,204
37,Keylen,F,SS,329
38,Ardie,M,SS,2018
39,Elco,M,SS,72
40,Hadia,F,SS,749
41,Gohar,F,SS,58
42,Forestt,M,SS,14
43,Ivonna,F,SS,344
44,Dorrell,M,SS,1035
45,Alaysiah,F,SS,119
46,Jacquise,M,SS,197
47,Angenetta,F,SS,101
48,Anglee,F,SS,23
49,Antinio,M,SS,240
50,Ashara,F,SS,430
51,Ashlie,F,SS,26991
52,Amika,F,SS,699
53,Anastashia,F,SS,798
54,Berea,F,SS,152
55,Braxtin,M,SS,531
56,Tenecia,F,SS,870
57,Timeisha,F,SS,42
58,Roxianne,F,SS,74
59,Zhariya,F,SS,48
60,Ziyanah,F,SS,26
61,Shiley,F,SS,114
62,Modesty,F,SS,977
63,Tanasia,F,SS,3068
64,Donner,M,SS,21
65,Shaundel,F,SS,14
66,Santavious,M,SS,13
67,Selin,F,SS,1700
68,Selphie,F,SS,13
69,Serafim,M,SS,26
70,Maryalyce,F,SS,236
