# 🚨
# 🚨 Source: https://wolfberg.net/what/CSWdefs.exe::CSWdefs.txt
# 🚨
	CSW12 (2018-6-27)
aa	AA a rough cindery lava [n -S]
aah	AAH to exclaim in surprise [v -ED, -ING, -S]
aahed	AAHED <aah=v> [v]
aahing	AAHING <aah=v> [v]
aahs	AAHS <aah=v> [v]
aal	AAL an East Indian shrub [n -S]
aalii	AALII a tropical tree [n -S]
aaliis	AALIIS <aalii=n> [n]
aals	AALS <aal=n> [n]
aardvark	AARDVARK an African anteater [n -S]
aardvarks	AARDVARKS <aardvark=n> [n]
aardwolf	AARDWOLF an African mammal [n AARDWOLVES]
aardwolves	AARDWOLVES <aardwolf=n> [n]
aargh	AARGH used to express disgust, also AARRGH, AARRGHH [interj]
aarrgh	AARRGH used to express disgust, also AARGH, AARRGHH [interj]
aarrghh	AARRGHH used to express disgust, also AARGH, AARRGH [interj]
aarti	AARTI the daily ritual of the lamps on the Ganges, also ARTI [n -S]
aartis	AARTIS <aarti=n> [n]
aas	AAS <aa=n> [n]
aasvogel	AASVOGEL a South African vulture [n -S]
aasvogels	AASVOGELS <aasvogel=n> [n]
ab	AB an abdominal muscle [n -S]
aba	ABA a Syrian cloth, also ABAYA [n -S]
abac	ABAC a diagram which aids computation [n -S]
abaca	ABACA a Philippine plant, also ABAKA [n -S]
abacas	ABACAS <abaca=n> [n]
abaci	ABACI <abacus=n> [n]
aback	ABACK backwards [adv]
abacs	ABACS <abac=n> [n]
abacterial	ABACTERIAL not caused by bacteria.
abactinal	ABACTINAL opposite to the {actinal=adj} side; aboral [adj]
abactinally	ABACTINALLY <abactinal=adj> [adv]
abactor	ABACTOR a cattle thief [n -S]
abactors	ABACTORS <abactor=n> [n]
abacus	ABACUS a counting frame [n ABACUSES or ABACI]
abacuses	ABACUSES <abacus=n> [n]
abaft	ABAFT towards the stern [adv]
abaka	ABAKA a Philippine plant, also ABACA [n -S]
abakas	ABAKAS <abaka=n> [n]
abalone	ABALONE an edible shellfish [n -S]
abalones	ABALONES <abalone=n> [n]
abamp	ABAMP short for ABAMPERE, a unit of electric current [n -S]
abampere	ABAMPERE a unit of electric current [n -S]
abamperes	ABAMPERES <abampere=n> [n]
abamps	ABAMPS <abamp=n> [n]
aband	ABAND to {abandon=v} [v -ED, -ING, -S]
abanded	ABANDED <aband=v> [v]
abanding	ABANDING <aband=v> [v]
abandon	ABANDON to {desert=v} [v -ED, -ING, -S]
abandoned	ABANDONED <abandon=v> [v]
abandonedly	ABANDONEDLY unrestrainedly.
abandonee	ABANDONEE one to whom anything is legally {abandoned=v} [n -S]
abandonees	ABANDONEES <abandonee=n> [n]
abandoner	ABANDONER one who {abandons=v} [n -S]
abandoners	ABANDONERS <abandoner=n> [n]
abandoning	ABANDONING <abandon=v> [v]
abandonment	ABANDONMENT the act of abandoning, or the state of being abandoned; total desertion; relinquishment.
abandonments	ABANDONMENTS <abandonment=n> [n]
abandons	ABANDONS <abandon=v> [v]
abandonware	ABANDONWARE
abandonwares	ABANDONWARES <abandonware=n> [n]
abands	ABANDS <aband=v> [v]
abapical	ABAPICAL directed away from the apex [adj]
abas	ABAS <aba=n> [n]
abase	ABASE to {lower=v} [v ABASED, ABASING, ABASES]
abased	ABASED <abase=v> [v]
abasedly	ABASEDLY in a lowering way [adv]
abasement	ABASEMENT the state of being abased (humbled); humiliation [n -S]
abasements	ABASEMENTS <abasement=n> [n]
abaser	ABASER one who {abases=v} [n -S]
abasers	ABASERS <abaser=n> [n]
abases	ABASES <abase=v> [v]
abash	ABASH to strike with shame [v -ED, -ING, -ES]
abashed	ABASHED <abash=v> [v]
abashedly	ABASHEDLY in an abashed (ashamed; embarrassed) manner [adv]
abashes	ABASHES <abash=v> [v]
abashing	ABASHING <abash=v> [v]
abashless	ABASHLESS unabashed (unashamed; not embarrassed) [adj]
abashment	ABASHMENT the state of being abashed (ashamed; embarrased) [n -S]
abashments	ABASHMENTS <abashment=n> [n]
abasia	ABASIA a defect in muscular coordination [n -S]
abasias	ABASIAS <abasia=n> [n]
abasing	ABASING <abase=v> [v]
abask	ABASK in genial warmth [adv]
abatable	ABATABLE able to be abated [adj]
abate	ABATE to reduce in intensity [v ABATED, ABATING, ABATES]
abated	ABATED <abate=v> [v]
abatement	ABATEMENT the act of abating (lessening; reducing) [n -S]
abatements	ABATEMENTS <abatement=n> [n]
abater	ABATER one who {abates=v} [n -S]
abaters	ABATERS <abater=n> [n]
abates	ABATES <abate=v> [v]
abating	ABATING <abate=v> [v]
abatis	ABATIS a barrier made of felled trees, also ABATTIS [n -ES]
abatises	ABATISES <abatis=n> [n]
abator	ABATOR one who unlawfully seizes an inheritance [n -S]
abators	ABATORS <abator=n> [n]
abattis	ABATTIS a barrier made of felled trees, also ABATIS [n -ES]
abattises	ABATTISES <abattis=n> [n]
abattoir	ABATTOIR a public slaughterhouse [n -S]
abattoirs	ABATTOIRS <abattoir=n> [n]
abattu	ABATTU dejected [adj]
abature	ABATURE trail of a stag through undergrowth [n -S]
abatures	ABATURES <abature=n> [n]
abaxial	ABAXIAL away from the axis, also ABAXILE [adj]
abaxile	ABAXILE away from the axis, also ABAXIAL [adj]
abaya	ABAYA a Syrian cloth, also ABA [n -S]
abayas	ABAYAS <abaya=n> [n]
abb	ABB a woof yarn [n -S]
abba	ABBA father [n -S]
abbacies	ABBACIES <abbacy=n> [n]
abbacy	ABBACY the office of an abbot, also ABBOTCY [n ABBACIES]
abbas	ABBAS <abba=n> [n]
abbatial	ABBATIAL pertaining to an {abbot=n} [adj]
abbe	ABBE an {abbot=n} [n -S]
abbed	ABBED displaying well-developed abdominal muscles [adj]
abbes	ABBES <abbe=n> [n]
abbess	ABBESS a woman who is head of an abbey [n -ES]
abbesses	ABBESSES <abbess=n> [n]
abbey	ABBEY a convent [n -S]
abbeys	ABBEYS <abbey=n> [n]
abbot	ABBOT the superior in a monastery [n -S]
abbotcies	ABBOTCIES <abbotcy=n> [n]
abbotcy	ABBOTCY the office of an abbot, also ABBACY [n ABBOTCIES]
abbots	ABBOTS <abbot=n> [n]
abbotship	ABBOTSHIP the office of an abbot (the head of a monastery) [n -S]
abbotships	ABBOTSHIPS <abbotship=n> [n]
abbreviate	ABBREVIATE to make briefer; to shorten; to abridge; to reduce by contraction or omission, especially of words written or spoken.
abbreviated	ABBREVIATED shortened; relatively short; abbreviate.
abbreviates	ABBREVIATES <abbreviate=n> [n]
abbreviating	ABBREVIATING ABBREVIATE to make briefer; to shorten; to abridge; to reduce by contraction or omission, especially of words written or spoken.
abbreviation	ABBREVIATION the act of shortening, or reducing.
abbreviations	ABBREVIATIONS <abbreviation=n> [n]
abbreviator	ABBREVIATOR one who abbreviates or shortens.
abbreviators	ABBREVIATORS <abbreviator=n> [n]
abbreviatory	ABBREVIATORY serving or tending to abbreviate; shortening; abridging.
abbreviature	ABBREVIATURE an abbreviation; an abbreviated state or form.
abbreviatures	ABBREVIATURES <abbreviature=n> [n]
abbs	ABBS <abb=n> [n]
abcee	ABCEE the alphabet, also ABSEY [n -S]
abcees	ABCEES <abcee=n> [n]
abcoulomb	ABCOULOMB the unit of electric charge in the CGS system, equal to ten coulombs [n -S]
abcoulombs	ABCOULOMBS <abcoulomb=n> [n]
abdabs	ABDABS a state of extreme nervousness [n]
abdicable	ABDICABLE capable of being {abdicated=v} [adj]
abdicant	ABDICANT pertaining to abdication [adj]
abdicate	ABDICATE to renounce or surrender formally, as one's power or office [v ABDICATED, ABDICATING, ABDICATES] : ABDICABLE [adj], ABDICATOR [n]
abdicated	ABDICATED <abdicate=v> [v]
abdicates	ABDICATES <abdicate=v> [v]
abdicating	ABDICATING <abdicate=v> [v]
abdication	ABDICATION the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder; commonly the voluntary renunciation of sovereign power; as, abdication of the throne, government, power, authority.
abdications	ABDICATIONS <abdication=n> [n]
abdicative	ABDICATIVE causing, or implying, abdication.
abdicator	ABDICATOR one who {abdicates=v} [n -S]
abdicators	ABDICATORS <abdicator=n> [n]
abdomen	ABDOMEN the belly [n ABDOMENS or ABDOMINA]
abdomens	ABDOMENS <abdomen=n> [n]
abdomina	ABDOMINA <abdomen=n> [n]
abdominal	ABDOMINAL pertaining to the {abdomen=n} [adj]
abdominally	ABDOMINALLY <abdominal=adj> [adv]
abdominals	ABDOMINALS <abdominal=n> [n]
abdominoplasty	ABDOMINOPLASTY pl. abdominoplasties plastic surgery of the abdomen in which excess fatty tissue and skin are removed, usually for cosmetic purposes.
abdominous	ABDOMINOUS having a protuberant belly; potbellied.
abduce	ABDUCE to move something outwards or to infer an explanatory hypothesis [v ABDUCED, ABDUCING, ABDUCES] : ABDUCTION [n]
abduced	ABDUCED <abduce=v> [v]
abducens	ABDUCENS a cranial nerve [n ABDUCENTES]
abducent	ABDUCENT drawing back [adj]
abducentes	ABDUCENTES <abducens=n> [n]
abduces	ABDUCES <abduce=v> [v]
abducing	ABDUCING <abduce=v> [v]
abduct	ABDUCT to carry someone away with force; to kidnap [v -ED, -ING, -S] : ABDUCTION [n]
abducted	ABDUCTED <abduct=v> [v]
abductee	ABDUCTEE one who is abducted [n -S]
abductees	ABDUCTEES <abductee=n> [n]
abducting	ABDUCTING <abduct=v> [v]
abduction	ABDUCTION the act of {abducing=v} or {abducting=v} [n -S]
abductions	ABDUCTIONS <abduction=n> [n]
abductor	ABDUCTOR a person who abducts [n -S]
abductores	ABDUCTORES ABDUCTOR a person who abducts
abductors	ABDUCTORS <abductor=n> [n]
abducts	ABDUCTS <abduct=v> [v]
abeam	ABEAM on the beam [adv]
abear	ABEAR to {bear=v} [v ABORE, ABORNE, ABEARING, ABEARS]
abearing	ABEARING <abear=v> [v]
abears	ABEARS <abear=v> [v]
abecedarian	ABECEDARIAN one who is learning the alphabet; hence, a tyro.
abecedarians	ABECEDARIANS <abecedarian=n> [n]
abed	ABED in bed [adv]
abegging	ABEGGING in the process of begging [adj]
abeigh	ABEIGH aloof [adv]
abele	ABELE the white poplar-tree [n -S]
abeles	ABELES <abele=n> [n]
abelia	ABELIA a plant with pink or white flowers [n -S]
abelian	ABELIAN having the property a x b = b x a [adj]
abelias	ABELIAS <abelia=n> [n]
abelmosk	ABELMOSK a tropical herb [n -S]
abelmosks	ABELMOSKS <abelmosk=n> [n]
aberdevine	ABERDEVINE the European siskin (Carduelis spinus), a small green and yellow finch, related to the goldfinch.Carduelis spinus), a small green and yellow finch, related to the goldfinch.
aberdevines	ABERDEVINES <aberdevine=n> [n]
abernethies	ABERNETHIES <abernethy=n> [n]
abernethy	ABERNETHY a digestive biscuit invented by Dr. John Abernethy of Scotland [n ABERNETHIES]
aberrance	ABERRANCE the state of being {aberrant=adj}; deviating from a norm, also ABERRANCY [n -S]
aberrances	ABERRANCES <aberrance=n> [n]
aberrancies	ABERRANCIES <aberrancy=n> [n]
aberrancy	ABERRANCY the state of being {aberrant=adj}; deviating from a norm, also ABERRANCE [n ABERRANCIES]
aberrant	ABERRANT a {deviant=n} [n -S]
aberrantly	ABERRANTLY ABERRANT a {deviant=n}
aberrants	ABERRANTS <aberrant=n> [n]
aberrate	ABERRATE to {deviate=v} [v ABERRATED, ABERRATING, ABERRATES]
aberrated	ABERRATED <aberrate=v> [v]
aberrates	ABERRATES <aberrate=v> [v]
aberrating	ABERRATING <aberrate=v> [v]
aberration	ABERRATION the act of wandering; deviation, especially from truth or moral rectitude, from the natural state, or from a type.
aberrational	ABERRATIONAL characterized by aberration.
aberrations	ABERRATIONS <aberration=n> [n]
abessive	ABESSIVE grammatical case denoting absence [n -S]
abessives	ABESSIVES <abessive=n> [n]
abet	ABET to encourage [v ABETTED, ABETTING, ABETS]
abetment	ABETMENT the act of abetting, also ABETTAL [n -S]
abetments	ABETMENTS <abetment=n> [n]
abets	ABETS <abet=v> [v]
abettal	ABETTAL the act of abetting, also ABETMENT [n -S]
abettals	ABETTALS <abettal=n> [n]
abetted	ABETTED <abet=v> [v]
abetter	ABETTER one who abets, also ABETTOR [n -S]
abetters	ABETTERS <abetter=n> [n]
abetting	ABETTING <abet=v> [v]
abettor	ABETTOR one who abets, also ABETTER [n -S]
abettors	ABETTORS <abettor=n> [n]
abeyance	ABEYANCE temporary inactivity, also ABEYANCY [n -S]
abeyances	ABEYANCES <abeyance=n> [n]
abeyancies	ABEYANCIES <abeyancy=n> [n]
abeyancy	ABEYANCY temporary inactivity, also ABEYANCE [n ABEYANCIES]
abeyant	ABEYANT marked by abeyance [adj]
abfarad	ABFARAD a unit of capacitance [n -S]
abfarads	ABFARADS <abfarad=n> [n]
abhenries	ABHENRIES <abhenry=n> [n]
abhenry	ABHENRY a unit of inductance [n ABHENRIES or ABHENRYS]
abhenrys	ABHENRYS <abhenry=n> [n]
abhominable	ABHOMINABLE Abominable.
abhor	ABHOR to {loathe=v} [v ABHORRED, ABHORRING, ABHORS]
abhorred	ABHORRED <abhor=v> [v]
abhorrence	ABHORRENCE extreme hatred or detestation; the feeling of utter dislike.
abhorrences	ABHORRENCES <abhorrence=n> [n]
abhorrencies	ABHORRENCIES <abhorrency=n> [n]
abhorrency	ABHORRENCY Abhorrence.
abhorrent	ABHORRENT abhorring (loathing; detesting) [adj]
abhorrently	ABHORRENTLY with abhorrence.
abhorrer	ABHORRER one who {abhors=v} [n -S]
abhorrers	ABHORRERS <abhorrer=n> [n]
abhorring	ABHORRING <abhor=v> [v]
abhorrings	ABHORRINGS <abhorring=n> [n]
abhors	ABHORS <abhor=v> [v]
